anc	n_people	frac_passing_strict
AFR	3020	0.49205298013245036
AMR	2656	0.45707831325301207
EAS	1460	0.8397260273972603
EUR	2974	0.32447881640887694
MID	487	0.2053388090349076
SAS	1236	0.9263754045307443
