gene,ancestry,method,field_level,n_true,n_false,n_na
C,EAS,sh,2,18,2,0
C,EAS,sh,3,18,2,0
C,EAS,sh,4,10,10,0
DRB1,EAS,aou,1,18,2,0
DRB1,EAS,aou,2,16,4,0
DRB1,EAS,aou,3,16,4,0
DRB1,EAS,aou,4,0,4,16
DQA1,EAS,aou,1,20,0,0
DQA1,EAS,aou,2,9,11,0
DQA1,EAS,aou,3,9,11,0
DQA1,EAS,aou,4,0,11,9
DQA1,EAS,sh,1,20,0,0
DQA1,EAS,sh,2,20,0,0
DQA1,EAS,sh,3,19,1,0
DQA1,EAS,sh,4,8,12,0
DQB1,EAS,aou,1,19,1,0
DQB1,EAS,aou,2,19,1,0
DQB1,EAS,aou,3,19,1,0
DQB1,EAS,aou,4,0,1,19
DQB1,EAS,sh,1,19,1,0
DQB1,EAS,sh,2,19,1,0
DQB1,EAS,sh,3,19,1,0
DQB1,EAS,sh,4,13,6,1
DPA1,EAS,aou,1,20,0,0
DPA1,EAS,aou,2,18,2,0
DPA1,EAS,aou,3,18,2,0
DPA1,EAS,aou,4,0,2,18
DPA1,EAS,sh,1,20,0,0
DPA1,EAS,sh,2,17,3,0
DPA1,EAS,sh,3,16,4,0
DPA1,EAS,sh,4,9,11,0
DPB1,EAS,aou,1,18,2,0
DPB1,EAS,aou,2,18,2,0
DPB1,EAS,aou,3,18,2,0
DPB1,EAS,aou,4,0,2,18
DPB1,EAS,sh,1,16,4,0
DPB1,EAS,sh,2,16,4,0
DPB1,EAS,sh,3,15,5,0
DPB1,EAS,sh,4,11,9,0
DRB1,EAS,sh,1,8,4,0
DRB1,EAS,sh,2,7,5,0
DRB1,EAS,sh,3,7,5,0
DRB1,EAS,sh,4,5,7,0
DPA1,EUR,aou,1,20,0,0
DPA1,EUR,aou,2,20,0,0
DPA1,EUR,aou,3,17,3,0
DPA1,EUR,aou,4,0,3,17
DPA1,EUR,sh,1,20,0,0
DPA1,EUR,sh,2,19,1,0
DPA1,EUR,sh,3,17,3,0
DPA1,EUR,sh,4,6,14,0
DQB1,EUR,aou,1,19,1,0
DQB1,EUR,aou,2,16,4,0
DQB1,EUR,aou,3,16,4,0
DQB1,EUR,aou,4,0,4,16
DQB1,EUR,sh,1,19,1,0
DQB1,EUR,sh,2,19,1,0
DQB1,EUR,sh,3,19,1,0
DQB1,EUR,sh,4,15,5,0
DQA1,EUR,aou,1,20,0,0
DQA1,EUR,aou,2,11,9,0
DQA1,EUR,aou,3,10,10,0
DQA1,EUR,aou,4,0,10,10
DQA1,EUR,sh,1,20,0,0
DQA1,EUR,sh,2,19,1,0
DQA1,EUR,sh,3,19,1,0
DQA1,EUR,sh,4,13,5,2
DPB1,EUR,aou,1,18,2,0
DPB1,EUR,aou,2,18,2,0
DPB1,EUR,aou,3,18,2,0
DPB1,EUR,aou,4,0,2,18
DPB1,EUR,sh,1,19,1,0
DPB1,EUR,sh,2,19,1,0
DPB1,EUR,sh,3,19,1,0
DPB1,EUR,sh,4,11,8,1
C,EUR,aou,1,20,0,0
C,EUR,aou,2,19,1,0
C,EUR,aou,3,19,1,0
C,EUR,aou,4,0,1,19
C,EUR,sh,1,20,0,0
C,EUR,sh,2,18,2,0
C,EUR,sh,3,18,2,0
C,EUR,sh,4,13,7,0
B,EUR,aou,1,20,0,0
B,EUR,aou,2,20,0,0
B,EUR,aou,3,19,1,0
B,EUR,aou,4,0,1,19
B,EUR,sh,1,20,0,0
B,EUR,sh,2,19,1,0
B,EUR,sh,3,16,4,0
B,EUR,sh,4,9,11,0
A,EUR,aou,1,17,3,0
A,EUR,aou,2,16,4,0
A,EUR,aou,3,16,4,0
A,EUR,aou,4,0,4,16
A,EUR,sh,1,17,3,0
A,EUR,sh,2,16,4,0
A,EUR,sh,3,15,5,0
A,EUR,sh,4,14,6,0
DRB1,EUR,aou,1,20,0,0
DRB1,EUR,aou,2,17,3,0
DRB1,EUR,aou,3,17,3,0
DRB1,EUR,aou,4,0,3,17
DRB1,EUR,sh,1,12,6,0
DRB1,EUR,sh,2,11,7,0
DRB1,EUR,sh,3,11,7,0
DRB1,EUR,sh,4,8,9,1
DPA1,MID,aou,1,19,1,0
DPA1,MID,aou,2,19,1,0
DPA1,MID,aou,3,19,1,0
DPA1,MID,aou,4,0,1,19
DPA1,MID,sh,1,20,0,0
DPA1,MID,sh,2,20,0,0
DPA1,MID,sh,3,20,0,0
DPA1,MID,sh,4,7,13,0
DQB1,MID,aou,1,20,0,0
DQB1,MID,aou,2,15,5,0
DQB1,MID,aou,3,15,5,0
DQB1,MID,aou,4,0,5,15
DQB1,MID,sh,1,20,0,0
DQB1,MID,sh,2,19,1,0
DQB1,MID,sh,3,19,1,0
DQB1,MID,sh,4,14,5,1
DQA1,MID,aou,1,20,0,0
DQA1,MID,aou,2,11,9,0
DQA1,MID,aou,3,9,11,0
DQA1,MID,aou,4,0,11,9
DQA1,MID,sh,1,20,0,0
DQA1,MID,sh,2,18,2,0
DQA1,MID,sh,3,18,2,0
DQA1,MID,sh,4,7,11,2
DPB1,MID,aou,1,13,7,0
DPB1,MID,aou,2,13,7,0
DPB1,MID,aou,3,13,7,0
DPB1,MID,aou,4,0,7,13
DPB1,MID,sh,1,12,8,0
DPB1,MID,sh,2,12,8,0
DPB1,MID,sh,3,11,9,0
DPB1,MID,sh,4,5,15,0
DRB1,MID,aou,1,20,0,0
DRB1,MID,aou,2,16,4,0
DRB1,MID,aou,3,16,4,0
DRB1,MID,aou,4,0,4,16
DRB1,MID,sh,1,10,2,0
DRB1,MID,sh,2,8,4,0
DRB1,MID,sh,3,8,4,0
DRB1,MID,sh,4,7,5,0
B,MID,aou,1,18,2,0
B,MID,aou,2,17,3,0
B,MID,aou,3,16,4,0
B,MID,aou,4,0,4,16
B,MID,sh,1,18,2,0
B,MID,sh,2,17,3,0
B,MID,sh,3,14,6,0
B,MID,sh,4,7,12,1
A,MID,aou,1,19,1,0
A,MID,aou,2,18,2,0
A,MID,aou,3,18,2,0
A,MID,aou,4,0,2,18
A,MID,sh,1,19,1,0
A,MID,sh,2,18,2,0
A,MID,sh,3,18,2,0
A,MID,sh,4,18,2,0
C,MID,aou,1,19,1,0
C,MID,aou,2,18,2,0
C,MID,aou,3,16,4,0
C,MID,aou,4,0,4,16
C,MID,sh,1,19,1,0
C,MID,sh,2,19,1,0
C,MID,sh,3,18,2,0
