gene,group_2field,catalogued_3field_variants,observed_3field_variants,n_individuals,dominant_ancestry,dominant_ancestry_share
B,07:16,0,0,1,eur,100.0
B,40:28,0,0,1,amr,100.0
B,39:29,0,0,1,eur,100.0
B,51:79,0,0,1,eur,100.0
B,18:142,0,0,1,sas,100.0
B,35:214,0,0,1,eur,100.0
B,07:359,0,0,1,afr,100.0
B,15:123,0,1,1,mid,100.0
B,37:05,0,0,1,eas,100.0
B,15:556,0,0,1,eur,100.0
B,13:08,0,0,1,eur,100.0
B,35:121,0,0,1,amr,100.0
B,39:58,2,1,1,amr,100.0
B,44:68,0,0,1,eur,100.0
B,15:113,0,0,1,sas,100.0
B,08:124,0,0,1,eur,100.0
B,50:04,2,1,1,sas,100.0
B,55:18,0,0,1,eas,100.0
B,39:40,2,1,1,eur,100.0
B,39:34,0,0,1,amr,100.0
B,07:479N,0,0,1,eur,100.0
B,44:206,0,0,1,eur,100.0
B,40:07,0,0,1,eur,100.0
B,15:654,0,0,1,afr,100.0
B,08:02,0,0,1,eur,100.0
B,53:46,0,0,1,amr,100.0
B,15:446,0,0,1,eur,100.0
B,35:170,0,0,1,eur,100.0
B,56:74,0,0,1,eur,100.0
B,51:73,0,0,1,eur,100.0
B,51:404,0,0,1,eur,100.0
B,27:35,0,0,1,eur,100.0
B,27:127,0,0,1,eur,100.0
B,07:43,0,0,1,afr,100.0
B,52:37,0,0,1,amr,100.0
B,35:426,0,0,1,eur,100.0
B,15:108,0,0,1,amr,100.0
B,51:356,0,0,1,eur,100.0
B,52:03,0,0,1,amr,100.0
B,07:372,0,0,1,eur,100.0
B,27:47,0,0,1,eur,100.0
B,40:129,0,0,1,amr,100.0
B,35:624,0,0,1,eur,100.0
B,44:166,0,0,1,afr,100.0
B,51:49,0,0,1,eur,100.0
B,35:321,0,0,1,amr,100.0
B,44:416,0,0,1,eur,100.0
B,35:178,0,0,1,amr,100.0
B,53:13,0,0,1,eur,100.0
B,51:127,0,0,1,amr,100.0
B,44:216,0,0,1,eur,100.0
B,07:27,0,0,1,eur,100.0
B,35:72,0,0,1,amr,100.0
B,40:226,0,0,1,amr,100.0
B,53:35,0,0,1,afr,100.0
B,15:106,0,0,1,eas,100.0
B,35:122,0,0,1,eur,100.0
B,39:174,0,0,1,amr,100.0
B,35:140,0,0,1,afr,100.0
B,39:117,0,0,1,eur,100.0
B,44:16,0,0,1,eur,100.0
B,35:141,0,0,1,amr,100.0
B,27:19,2,1,1,eur,100.0
B,15:225,0,0,1,eur,100.0
B,15:189,2,1,1,eur,100.0
B,40:533,0,0,1,eas,100.0
B,13:160,0,0,1,eur,100.0
B,53:02,0,0,1,afr,100.0
B,35:135,0,0,1,amr,100.0
B,15:68,0,0,1,eas,100.0
B,27:53,0,0,1,eur,100.0
B,15:652,0,0,1,eur,100.0
B,49:02,0,0,1,eur,100.0
B,46:08,0,0,1,eas,100.0
B,18:15,0,0,1,eur,100.0
B,44:85,2,1,1,amr,100.0
B,08:78,0,0,1,eur,100.0
B,08:255,0,0,1,eur,100.0
B,41:06,0,0,1,amr,100.0
B,15:44,0,0,1,eas,100.0
B,58:33,0,0,1,eur,100.0
B,15:315,0,0,1,eur,100.0
