threshold	n_pairs	n_gene_comparisons	n_discordant	discordance_rate	ci_lo	ci_hi
0.5	566	21241	2607	0.12273433454168825	0.11838959533054925	0.1272155119346421
0.8	532	19970	2176	0.10896344516775162	0.10471670909549763	0.11336059857675304
0.9	483	18150	1783	0.09823691460055096	0.09399142263991683	0.10265244363684964
0.95	356	13390	1126	0.08409260642270351	0.07951027102888306	0.08891352158936028
