n_resolved_genes	n_testable_transitions	n_switches_observed	eligible	detected	n_genes_swapped	n_switches_simulated
6	2	0	True	True	14.0	1.0
24	11	0	True	True	14.0	1.0
3	0	0	False			
19	10	0	True	True	33.0	1.0
18	10	0	True	True	7.0	1.0
16	5	0	True	True	3.0	1.0
19	8	0	True	True	16.0	1.0
5	1	0	True	True	3.0	1.0
15	4	0	True	True	2.0	1.0
17	5	0	True	True	3.0	1.0
16	8	0	True	True	1.0	1.0
16	6	0	True	True	9.0	1.0
16	2	0	True	True	19.0	1.0
7	2	0	True	True	15.0	1.0
13	3	0	True	True	2.0	1.0
17	9	0	True	True	11.0	1.0
19	10	0	True	True	29.0	1.0
9	2	0	True	True	4.0	1.0
12	2	0	True	True	2.0	1.0
11	2	0	True	True	10.0	1.0
5	2	0	True	True	14.0	1.0
12	3	0	True	True	7.0	1.0
14	7	0	True	True	1.0	1.0
18	9	0	True	True	10.0	1.0
18	8	0	True	True	25.0	1.0
14	5	0	True	True	2.0	1.0
14	5	0	True	True	8.0	1.0
15	4	0	True	True	1.0	1.0
13	3	0	True	True	2.0	1.0
18	7	0	True	True	10.0	1.0
20	12	0	True	True	14.0	1.0
15	7	0	True	True	5.0	1.0
16	2	0	True	True	6.0	1.0
13	7	0	True	True	33.0	1.0
8	2	0	True	True	1.0	1.0
17	5	0	True	True	17.0	1.0
10	5	0	True	True	10.0	1.0
16	6	0	True	True	2.0	1.0
14	4	0	True	True	7.0	1.0
24	8	0	True	True	2.0	1.0
21	11	0	True	True	10.0	1.0
14	5	0	True	True	10.0	1.0
13	8	0	True	True	3.0	1.0
16	5	0	True	True	2.0	1.0
23	7	0	True	True	10.0	1.0
10	4	0	True	True	10.0	1.0
15	5	0	True	True	19.0	1.0
13	7	0	True	True	4.0	1.0
12	4	0	True	True	1.0	1.0
13	3	0	True	True	3.0	1.0
15	6	0	True	True	2.0	1.0
9	5	0	True	True	9.0	1.0
15	4	0	True	True	17.0	1.0
21	9	0	True	True	3.0	1.0
14	2	0	True	True	1.0	1.0
16	1	0	True	True	1.0	1.0
10	1	0	True	True	6.0	1.0
14	2	0	True	True	29.0	1.0
14	5	0	True	True	10.0	1.0
17	6	0	True	True	1.0	1.0
17	7	0	True	True	2.0	1.0
18	12	0	True	True	11.0	1.0
15	5	0	True	True	3.0	1.0
11	5	0	True	True	1.0	1.0
12	4	0	True	True	31.0	1.0
9	5	0	True	True	29.0	1.0
17	5	0	True	True	3.0	1.0
5	2	0	True	True	10.0	1.0
11	5	0	True	True	28.0	1.0
7	0	0	False			
21	7	0	True	True	3.0	1.0
19	5	0	True	True	2.0	1.0
17	5	0	True	True	6.0	1.0
13	5	0	True	True	3.0	1.0
13	3	0	True	True	10.0	1.0
20	7	0	True	True	13.0	1.0
2	0	0	False			
21	9	0	True	True	11.0	1.0
13	5	0	True	True	9.0	1.0
13	2	0	True	True	6.0	1.0
4	1	0	True	True	27.0	1.0
17	9	0	True	True	10.0	1.0
14	6	0	True	True	8.0	1.0
10	0	0	False			
12	6	0	True	True	2.0	2.0
10	2	0	True	True	11.0	1.0
17	7	0	True	True	11.0	1.0
15	4	0	True	True	6.0	1.0
22	9	0	True	True	3.0	1.0
10	1	0	True	True	5.0	1.0
16	6	0	True	True	6.0	1.0
11	4	0	True	True	29.0	1.0
17	7	0	True	True	4.0	1.0
10	3	0	True	True	5.0	1.0
9	0	0	False			
18	5	0	True	True	7.0	1.0
14	5	0	True	True	32.0	1.0
21	7	0	True	True	5.0	1.0
12	6	0	True	True	13.0	1.0
12	5	0	True	True	2.0	1.0
7	4	0	True	True	10.0	1.0
15	8	0	True	True	3.0	1.0
26	10	0	True	True	2.0	1.0
15	7	0	True	True	26.0	3.0
19	8	0	True	True	20.0	1.0
17	5	0	True	True	4.0	1.0
12	8	0	True	True	26.0	1.0
16	6	0	True	True	5.0	1.0
10	2	0	True	True	13.0	2.0
15	6	0	True	True	2.0	1.0
15	5	0	True	True	6.0	1.0
12	3	0	True	True	21.0	1.0
9	3	0	True	True	10.0	1.0
20	12	0	True	True	2.0	1.0
24	8	0	True	True	6.0	1.0
16	6	0	True	True	3.0	1.0
17	7	0	True	True	14.0	1.0
21	8	0	True	True	29.0	1.0
20	12	0	True	True	19.0	1.0
9	5	0	True	True	26.0	1.0
20	10	0	True	True	13.0	1.0
16	5	0	True	True	22.0	1.0
18	6	0	True	True	2.0	1.0
15	5	0	True	True	9.0	1.0
17	3	0	True	True	10.0	1.0
11	6	0	True	True	14.0	1.0
18	4	0	True	True	1.0	1.0
11	1	0	True	True	11.0	1.0
12	6	0	True	True	20.0	1.0
18	3	0	True	True	1.0	1.0
12	4	0	True	True	10.0	1.0
17	3	0	True	True	1.0	1.0
16	7	0	True	True	8.0	1.0
12	3	0	True	True	3.0	1.0
20	10	0	True	True	2.0	1.0
12	6	0	True	True	2.0	1.0
12	0	0	False			
13	3	0	True	True	3.0	1.0
18	9	0	True	True	10.0	1.0
9	4	0	True	True	3.0	1.0
19	6	0	True	True	9.0	1.0
23	21	0	True	True	1.0	1.0
16	9	0	True	True	3.0	1.0
7	3	0	True	True	9.0	1.0
18	6	0	True	True	3.0	1.0
20	10	0	True	True	10.0	1.0
17	6	0	True	True	10.0	1.0
12	4	0	True	True	1.0	1.0
21	7	0	True	True	14.0	1.0
16	5	0	True	True	8.0	1.0
21	9	0	True	True	3.0	1.0
17	10	0	True	True	3.0	1.0
15	2	0	True	True	6.0	1.0
3	1	0	True	True	6.0	1.0
19	6	0	True	True	14.0	1.0
10	4	0	True	True	19.0	1.0
2	0	0	False			
14	4	0	True	True	18.0	1.0
13	3	0	True	True	10.0	1.0
15	8	0	True	True	33.0	1.0
20	4	0	True	True	6.0	1.0
9	4	0	True	True	23.0	1.0
12	4	0	True	True	8.0	1.0
17	6	0	True	True	6.0	1.0
20	11	0	True	True	28.0	1.0
23	8	0	True	True	2.0	1.0
12	4	0	True	True	13.0	1.0
10	5	0	True	True	25.0	1.0
20	9	0	True	True	22.0	1.0
10	3	0	True	True	11.0	1.0
17	8	0	True	True	13.0	1.0
16	5	0	True	True	2.0	1.0
17	5	0	True	True	3.0	1.0
15	4	0	True	True	7.0	1.0
19	6	0	True	True	16.0	1.0
15	2	0	True	True	2.0	1.0
17	5	0	True	True	10.0	1.0
18	6	0	True	True	2.0	1.0
15	8	0	True	True	3.0	1.0
11	1	0	True	True	7.0	1.0
14	6	0	True	True	26.0	1.0
17	9	0	True	True	4.0	1.0
20	12	0	True	True	18.0	1.0
22	9	0	True	True	19.0	1.0
10	1	0	True	True	2.0	1.0
11	10	0	True	True	18.0	1.0
15	5	0	True	True	6.0	1.0
17	5	0	True	True	19.0	1.0
13	6	0	True	True	19.0	1.0
21	10	0	True	True	2.0	1.0
15	6	0	True	True	19.0	1.0
22	8	0	True	True	17.0	1.0
13	5	0	True	True	11.0	1.0
16	8	0	True	True	28.0	1.0
12	3	0	True	True	2.0	1.0
16	15	0	True	True	12.0	1.0
13	1	0	True	True	1.0	1.0
14	2	0	True	True	7.0	1.0
8	0	0	False			
9	0	0	False			
19	14	0	True	True	4.0	1.0
5	2	0	True	True	16.0	1.0
16	8	0	True	True	4.0	1.0
11	5	0	True	True	8.0	1.0
24	11	0	True	True	22.0	1.0
12	3	0	True	True	11.0	1.0
9	1	0	True	True	4.0	1.0
11	6	0	True	True	6.0	1.0
20	10	0	True	True	7.0	1.0
17	7	0	True	True	33.0	1.0
21	9	0	True	True	9.0	1.0
22	12	0	True	True	13.0	1.0
18	9	0	True	True	22.0	1.0
5	0	0	False			
11	6	0	True	True	17.0	1.0
21	9	0	True	True	29.0	1.0
18	6	0	True	True	13.0	1.0
23	9	0	True	True	9.0	1.0
16	8	0	True	True	18.0	1.0
15	3	0	True	True	3.0	1.0
17	9	0	True	True	4.0	1.0
11	1	0	True	True	12.0	1.0
22	8	0	True	True	3.0	1.0
17	1	0	True	True	3.0	1.0
11	3	0	True	True	6.0	1.0
14	1	0	True	True	8.0	1.0
20	7	0	True	True	7.0	1.0
18	7	0	True	True	11.0	2.0
6	1	0	True	True	1.0	1.0
13	3	0	True	True	3.0	1.0
15	7	0	True	True	2.0	1.0
12	5	0	True	True	15.0	1.0
20	5	0	True	True	2.0	1.0
18	5	0	True	True	10.0	1.0
9	3	0	True	True	2.0	1.0
21	11	0	True	True	33.0	1.0
11	4	0	True	True	33.0	1.0
19	13	0	True	True	2.0	1.0
15	3	0	True	True	9.0	1.0
23	10	0	True	True	11.0	1.0
7	2	0	True	True	11.0	1.0
21	10	0	True	True	20.0	1.0
10	3	0	True	True	4.0	1.0
18	6	0	True	True	7.0	1.0
11	9	0	True	True	14.0	1.0
11	6	0	True	True	3.0	1.0
15	3	0	True	True	3.0	1.0
10	5	0	True	True	33.0	1.0
11	2	0	True	True	8.0	1.0
14	7	0	True	True	13.0	1.0
20	10	0	True	True	33.0	1.0
13	10	0	True	True	29.0	1.0
5	0	0	False			
7	1	0	True	True	3.0	1.0
16	6	0	True	True	8.0	1.0
9	3	0	True	True	3.0	1.0
12	2	0	True	True	1.0	1.0
10	1	0	True	True	2.0	1.0
3	0	0	False			
11	5	0	True	True	10.0	1.0
11	4	0	True	True	5.0	1.0
11	3	0	True	True	11.0	1.0
20	6	0	True	True	2.0	1.0
18	7	0	True	True	20.0	1.0
22	12	0	True	True	10.0	1.0
18	8	0	True	True	27.0	1.0
18	6	0	True	True	20.0	1.0
6	1	0	True	True	23.0	1.0
15	4	0	True	True	6.0	1.0
26	22	0	True	True	30.0	1.0
20	10	0	True	True	1.0	1.0
18	7	0	True	True	5.0	1.0
2	0	0	False			
6	2	0	True	True	1.0	1.0
5	2	0	True	True	19.0	1.0
17	7	0	True	True	1.0	1.0
14	4	0	True	True	14.0	1.0
2	0	0	False			
19	8	0	True	True	4.0	1.0
12	5	0	True	True	11.0	1.0
15	7	0	True	True	2.0	1.0
8	7	0	True	True	15.0	1.0
17	2	0	True	True	12.0	1.0
4	0	0	False			
8	3	0	True	True	7.0	1.0
4	1	0	True	True	2.0	1.0
4	0	0	False			
5	3	0	True	True	4.0	1.0
4	1	0	True	True	10.0	1.0
