condition_name,n_people,prevalence_pct,mean_codes_per_affected
Degeneration of lumbar intervertebral disc,465,6.0,5.8
Carpal tunnel syndrome,464,6.0,10.2
Bronchitis,461,6.0,3.8
Pruritic rash,461,6.0,3.6
Atrial fibrillation,456,5.9,25.0
Hemorrhage of rectum and anus,454,5.9,4.0
Sleep disorder,454,5.9,4.5
Disorder of bone and articular cartilage,454,5.9,6.6
Chronic kidney disease,453,5.9,11.6
Spinal stenosis of lumbar region,449,5.8,10.9
Benign prostatic hyperplasia with outflow obstruction,449,5.8,11.1
Disorder of lower leg,449,5.8,5.5
Solitary nodule of lung,448,5.8,7.0
Breast lump,445,5.8,5.3
Pain of knee region,444,5.7,4.1
Pain in pelvis,444,5.7,4.4
Inflammatory disorder of digestive tract,443,5.7,4.4
Pneumonia,442,5.7,6.2
Disorder of musculoskeletal system,442,5.7,4.0
Astigmatism,441,5.7,3.9
Left lower quadrant pain,439,5.7,3.4
Injury of head,437,5.7,2.4
Disorder of kidney and/or ureter,435,5.6,7.7
Low blood pressure,431,5.6,3.1
Hypo-osmolality and or hyponatremia,431,5.6,5.1
Snoring,428,5.5,3.1
Chronic rhinitis,426,5.5,5.1
Vomiting,426,5.5,2.6
Pain in thoracic spine,424,5.5,5.1
Chronic obstructive pulmonary disease,411,5.3,16.6
Pain of breast,411,5.3,4.7
Musculoskeletal finding,411,5.3,5.6
Discoloration of skin,411,5.3,2.7
"Abdominal distension, gaseous",407,5.3,3.9
Urogenital finding,406,5.3,4.2
Bradycardia,406,5.3,3.8
Gastritis,404,5.2,3.3
Complication occurring during pregnancy,402,5.2,5.3
Disease of liver,402,5.2,5.9
Lower abdominal pain,400,5.2,2.6
Lumbosacral spondylosis without myelopathy,399,5.2,5.0
Vitreous degeneration,399,5.2,7.1
Genitourinary tract hemorrhage,398,5.2,4.7
Erectile dysfunction,392,5.1,6.7
Pain of ear,390,5.0,2.4
"Localized, primary osteoarthritis of the shoulder region",389,5.0,5.5
Disorder of digestive system,389,5.0,3.7
Third trimester pregnancy,388,5.0,15.1
Acne,388,5.0,6.7
Knee joint effusion,387,5.0,3.5
Plantar fascial fibromatosis,387,5.0,6.8
Cardiomegaly,386,5.0,3.7
Hair follicle disorder,383,5.0,3.4
Disorder of teeth AND/OR supporting structures,379,4.9,3.1
Acquired renal cystic disease,379,4.9,3.8
Persistent pain following procedure,379,4.9,2.8
Cervical radiculopathy,379,4.9,7.2
Osteoarthritis of hip,378,4.9,7.3
Hyperpigmentation of skin,378,4.9,4.0
