condition_name,n_people,prevalence_pct,mean_codes_per_affected
Disorder of gallbladder,124,1.6,2.4
Acute gastritis,123,1.6,3.9
"Moderate major depression, single episode",123,1.6,8.9
Open angle glaucoma suspect,123,1.6,6.5
Tietze's disease,123,1.6,2.2
Chondromalacia of patella,123,1.6,3.2
Hypertrophy of breast,123,1.6,6.4
Dysfunction of eustachian tube,122,1.6,2.0
Generalized enlarged lymph nodes,122,1.6,3.6
Chronic pulmonary edema,122,1.6,3.0
Tubulointerstitial nephritis,122,1.6,3.6
Tear of medial meniscus of knee,121,1.6,5.3
Chronic kidney disease stage 4,121,1.6,21.8
Conjunctival hemorrhage,121,1.6,2.0
Chronic allergic conjunctivitis,121,1.6,3.5
Acute pancreatitis,121,1.6,9.3
Ptosis of eyelid,120,1.6,5.3
Venous varices,120,1.6,3.6
Simple goiter,119,1.5,3.8
Soft tissue injury,119,1.5,2.4
Spinal stenosis of lumbosacral region,119,1.5,2.5
Uterine scar from previous surgery affecting pregnancy,119,1.5,6.4
Post-term pregnancy,119,1.5,2.5
Intestinal obstruction,118,1.5,10.0
Psychotic disorder,118,1.5,10.9
"Gestation period, 19 weeks",118,1.5,1.6
Neoplastic disease of uncertain behavior,118,1.5,3.2
Polycystic ovary syndrome,118,1.5,11.3
Polyp of corpus uteri,117,1.5,4.1
Epidermoid cyst of skin,117,1.5,2.6
Spondylolisthesis,117,1.5,3.9
Bacteremia,117,1.5,6.5
Cellulitis of left lower limb,117,1.5,3.5
Disorder of plasma protein metabolism,117,1.5,2.5
Cellulitis of finger,117,1.5,2.4
Uncomplicated mild persistent asthma,116,1.5,4.8
Disorder of lumbar spine,116,1.5,3.9
Ventricular tachycardia,116,1.5,11.8
Tinea corporis,115,1.5,2.8
Acute non-ST segment elevation myocardial infarction,115,1.5,9.1
Drusen stage macular degeneration,115,1.5,6.3
Pulmonary embolism,115,1.5,18.1
Intertrigo,114,1.5,3.4
Opioid-induced organic mental disorder,114,1.5,6.1
Cramp in limb,114,1.5,2.3
Cirrhosis of liver,114,1.5,16.7
Cellulitis and abscess of lower leg,114,1.5,2.6
Herpes simplex without complication,114,1.5,6.6
"Recurrent major depressive episodes, moderate",114,1.5,16.6
Temporomandibular joint disorder,114,1.5,4.1
"Attention deficit hyperactivity disorder, predominantly inattentive type",114,1.5,18.1
Cerebral infarction due to thrombosis of cerebral arteries,113,1.5,15.2
Mass of right breast,113,1.5,3.5
Disorder of biliary tract,113,1.5,3.5
Minimal cognitive impairment,112,1.4,6.2
Nonvenomous insect bite without infection,112,1.4,1.8
Common cold,112,1.4,2.2
Poisoning by drug AND/OR medicinal substance,112,1.4,2.4
"Gestation period, 33 weeks",112,1.4,2.3
Disorder associated with menstruation AND/OR menopause,112,1.4,2.8
Contusion of chest,112,1.4,2.1
Disorder of vein,112,1.4,2.7
End-stage renal disease,111,1.4,36.5
Gastric polyp,111,1.4,2.7
Radial styloid tenosynovitis,111,1.4,4.9
Post-inflammatory hyperpigmentation,111,1.4,2.6
Disorder of hematopoietic structure,111,1.4,5.3
Alcohol intoxication,111,1.4,6.6
Noninflammatory disorder of the female genital organs,111,1.4,3.3
Benign neoplasm of skin of upper limb,111,1.4,3.1
Disorder of nervous system due to diabetes mellitus,110,1.4,10.1
Contusion of knee,110,1.4,2.8
Incontinence of feces,110,1.4,5.7
Adjustment disorder with anxious mood,110,1.4,5.8
Hyperparathyroidism due to renal insufficiency,110,1.4,11.7
Organic mental disorder,109,1.4,6.9
Injury of foot,109,1.4,2.0
Intestinal infectious disease,109,1.4,1.7
Injury of musculoskeletal system,109,1.4,2.3
Achilles tendinitis,109,1.4,7.0
"Gestation period, 40 weeks",109,1.4,2.4
Chronic hepatitis C,108,1.4,11.3
Chronic kidney disease stage 3B,108,1.4,9.3
Radiculopathy due to cervical spondylosis,108,1.4,2.9
Metabolic syndrome X,108,1.4,7.2
Atrophic gastritis,108,1.4,2.3
Benign lipomatous tumor,107,1.4,2.9
Lymphedema,107,1.4,13.8
Hemorrhagic complication of pregnancy,107,1.4,2.4
Pain due to varicose veins of lower extremity,107,1.4,5.0
Dermatophytosis,107,1.4,3.1
Ankle joint effusion,107,1.4,2.6
Secondary diabetes mellitus,106,1.4,7.7
Mitral valve regurgitation,106,1.4,5.9
Inflammation of sacroiliac joint,106,1.4,6.9
Acute postoperative pain,106,1.4,2.3
Benign neoplasm of skin of lower limb,106,1.4,3.4
Benign neoplasm of skin of face,105,1.4,2.6
Disorder of endocrine system,105,1.4,7.7
Accidental poisoning,105,1.4,2.8
Hypertensive heart disease without congestive heart failure,105,1.4,4.1
Sprain of wrist,105,1.4,2.3
Senile osteoporosis,104,1.3,7.6
Psychophysiologic insomnia,104,1.3,5.5
Hemangioma,104,1.3,2.6
Infection caused by Escherichia coli,104,1.3,1.8
Vulval and/or perineal noninflammatory disorders,104,1.3,3.1
Disorder of fluid AND/OR electrolyte,104,1.3,3.2
Disorder of lip,103,1.3,4.4
Non-rheumatic heart valve disorder,103,1.3,4.2
Acute tonsillitis,103,1.3,2.1
Pericardial effusion - noninflammatory,102,1.3,5.1
Peritoneal adhesion,102,1.3,2.4
Uncertain viability of pregnancy,102,1.3,3.4
Threatened miscarriage,102,1.3,2.1
Cerebral ischemia,102,1.3,2.7
Dysplasia of cervix,102,1.3,3.9
Nonulcer dyspepsia,102,1.3,3.7
Headache disorder,102,1.3,3.6
"Localized, primary osteoarthritis of the wrist",101,1.3,3.1
Genital herpes simplex,101,1.3,3.7
Slow transit constipation,101,1.3,5.1
Acute deep vein thrombosis of lower limb,101,1.3,11.3
Hemoptysis,101,1.3,5.2
Opioid abuse,101,1.3,5.1
Fetal condition affecting obstetrical care of mother,101,1.3,3.7
Dyspareunia,100,1.3,5.1
Jaw pain,100,1.3,2.4
Disorder of joint of shoulder region,100,1.3,3.5
"Gestation period, 21 weeks",100,1.3,1.4
Atrial premature complex,100,1.3,2.8
Herpesvirus infection,100,1.3,5.8
Incipient senile cataract,99,1.3,4.5
Inflammatory polyarthropathy,99,1.3,7.6
Injury of muscle and tendon at neck level,99,1.3,2.1
Dermatochalasis of right upper eyelid,99,1.3,3.4
Anal fissure,99,1.3,7.6
Mental disorder,98,1.3,3.5
Neuropathy,98,1.3,4.5
Irritable bowel syndrome with diarrhea,98,1.3,4.0
Schizophrenia,97,1.3,18.0
Duodenitis,97,1.3,2.4
Sprain of hip,97,1.3,3.5
Hypoglycemia due to type 2 diabetes mellitus,97,1.3,3.8
Closed fracture,97,1.3,2.6
Candidiasis of mouth,97,1.3,3.0
Miscarriage without complication,96,1.2,3.8
Chronic atrial fibrillation,96,1.2,15.7
Abnormal auditory perception,96,1.2,5.7
Periumbilical pain,96,1.2,2.7
Displacement of cervical intervertebral disc,95,1.2,4.1
Hypertensive urgency,95,1.2,4.1
Disorder of patellofemoral joint,95,1.2,4.4
Dermatochalasis of left upper eyelid,95,1.2,3.2
Malignant neoplastic disease,94,1.2,27.0
Severe protein-calorie malnutrition (Gomez: less than 60 percent of standard weight),94,1.2,3.4
Goiter,94,1.2,3.5
Gastrointestinal infection,94,1.2,2.5
Sprain of shoulder,94,1.2,1.7
Allergic contact dermatitis,93,1.2,3.3
Late effect of injury,93,1.2,2.3
Disorder of kidney due to diabetes mellitus,93,1.2,8.6
Injury of finger,93,1.2,1.9
Bronchiectasis,93,1.2,11.6
Inflammatory disease of liver,93,1.2,4.6
Acute myocardial infarction,92,1.2,12.8
Condyloma acuminatum of the anogenital region,92,1.2,5.8
Arthralgia of temporomandibular joint,92,1.2,5.1
Degenerative joint disease of pelvis,92,1.2,4.1
Primary malignant neoplasm,92,1.2,6.1
Degenerative joint disease of shoulder region,92,1.2,3.1
Lipoma,92,1.2,3.4
Basal cell carcinoma of skin,92,1.2,10.3
Enthesopathy of ankle AND/OR tarsus,92,1.2,2.9
Tibialis tendinitis,91,1.2,5.4
Intestinal malabsorption,91,1.2,5.7
Conductive hearing loss,91,1.2,4.2
Disorder of penis,91,1.2,2.9
Acute frontal sinusitis,91,1.2,2.5
Acute on chronic systolic heart failure,91,1.2,7.5
Internal hemorrhoids grade I,91,1.2,1.7
Subserous leiomyoma of uterus,91,1.2,2.3
Shoulder stiff,91,1.2,10.9
Disorder in remission,90,1.2,5.5
Spinal cord disease,90,1.2,5.0
Diffuse spasm of esophagus,90,1.2,10.3
Acute laryngitis,90,1.2,2.4
"Gestation period, 13 weeks",90,1.2,1.7
Thyrotoxicosis without goiter or other cause,90,1.2,5.2
Malposition of uterus,90,1.2,1.6
Respiratory failure,90,1.2,2.8
Disorder caused by psychoactive substance,90,1.2,2.4
Localized swelling of left lower limb,89,1.2,2.4
"Gestation period, 31 weeks",89,1.2,1.8
Persistent atrial fibrillation,89,1.2,11.3
Glaucomatous atrophy of optic disc,89,1.2,6.4
Raynaud's disease,89,1.2,8.0
Chronic periodontitis,89,1.2,4.0
Follicular cysts of skin and subcutaneous tissue,89,1.2,2.1
Disturbance in speech,89,1.2,3.4
Lobar pneumonia,89,1.2,2.8
Hyperplasia of prostate,88,1.1,5.3
Contusion,88,1.1,1.8
Adhesive capsulitis of shoulder,88,1.1,4.8
Human immunodeficiency virus infection,88,1.1,96.6
Asymmetrical sensorineural hearing loss,88,1.1,3.2
Biceps tendinitis,88,1.1,4.1
Left bundle branch block,88,1.1,7.0
Non-rheumatic mitral valve disease,88,1.1,5.0
Bodily distress disorder,88,1.1,3.4
Synovial cyst of knee,87,1.1,3.1
Finding of length of gestation,87,1.1,1.8
Cyst of kidney,87,1.1,5.9
Open wound without complication,87,1.1,1.4
Disorders of initiating and maintaining sleep,87,1.1,7.9
Accretion on teeth,87,1.1,7.5
Nonexudative age-related macular degeneration,87,1.1,11.3
Renal failure syndrome,87,1.1,2.9
Closed fracture of distal end of radius,87,1.1,12.9
Thoracic aortic aneurysm without rupture,87,1.1,8.0
"Severe major depression, single episode, without psychotic features",87,1.1,7.0
Disorder of eye due to diabetes mellitus,87,1.1,13.6
Antepartum hemorrhage,87,1.1,2.3
"Gestation period, 22 weeks",86,1.1,1.6
Generalized ischemic myocardial dysfunction,86,1.1,14.1
Status migrainosus,86,1.1,6.6
Nutritional anemia,86,1.1,3.4
Abnormal cytological finding in specimen from female genital organ,86,1.1,3.9
Acute on chronic diastolic heart failure,86,1.1,8.0
Injury of ankle,85,1.1,1.9
Hearing loss of left ear,85,1.1,2.3
Laceration of head,85,1.1,2.0
"Gestation period, 28 weeks",85,1.1,2.1
Cellulitis of toe,85,1.1,3.5
Degenerative joint disease involving multiple joints,84,1.1,4.0
Premature beats,84,1.1,3.4
Anemia of pregnancy,84,1.1,4.9
"Aortic incompetence, non-rheumatic",84,1.1,6.0
Visual field defect,84,1.1,4.3
Gastric ulcer without hemorrhage AND without perforation,84,1.1,2.5
Childhood emotional disorder,84,1.1,8.3
"Gestation period, 30 weeks",84,1.1,2.0
Recurrent major depression in full remission,84,1.1,13.9
Neurosis,84,1.1,5.5
Systemic lupus erythematosus,84,1.1,47.2
Jaundice,84,1.1,3.6
Allergic reaction to drug,84,1.1,1.7
Congenital anomaly of skin,84,1.1,2.1
Injury of conjunctiva,84,1.1,2.8
Noninflammatory disorder of uterus,83,1.1,1.6
Benign hypertensive renal disease with renal failure,83,1.1,4.0
Angioedema,83,1.1,4.1
Missed miscarriage,83,1.1,3.9
Nonalcoholic steatohepatitis,83,1.1,8.0
Chronic angle-closure glaucoma,83,1.1,12.2
Strain of rotator cuff of shoulder,83,1.1,3.4
Chronic ulcer of foot,83,1.1,13.1
Disorder of adrenal gland,82,1.1,8.6
Contusion of head,82,1.1,1.8
Genuine stress incontinence,82,1.1,4.2
Closed fracture of lower leg,82,1.1,5.8
Ganglion cyst,82,1.1,4.3
Primary cardiomyopathy,82,1.1,7.3
Monoclonal gammopathy (clinical),82,1.1,28.7
Complication associated with device,82,1.1,3.1
Disorder of eye due to type 2 diabetes mellitus,81,1.0,7.6
Contusion of head and/or neck,81,1.0,1.6
"Mild major depression, single episode",81,1.0,11.2
Disorder of head,81,1.0,2.4
Pleurisy,81,1.0,2.6
"Gestation period, 23 weeks",81,1.0,1.8
Lichen simplex chronicus,81,1.0,3.1
Primary gout,81,1.0,9.0
Lichen,81,1.0,2.8
Primary ovarian failure,81,1.0,3.8
Chronic ulcer of skin,81,1.0,3.2
Stimulant abuse,81,1.0,6.8
Fibrosis of lung,81,1.0,9.3
"Mental disorders during pregnancy, childbirth and the puerperium",81,1.0,5.1
Pityriasis versicolor,80,1.0,2.9
Diverticulitis of large intestine,80,1.0,4.7
Pulmonary congestion and hypostasis,80,1.0,2.1
Atherosclerosis of artery of lower limb,80,1.0,5.4
Polyuria,80,1.0,2.4
Visual discomfort,80,1.0,2.1
Disorder of eye,80,1.0,1.8
Disorder of vocal cord,80,1.0,6.5
Eczema,80,1.0,3.3
Cataract due to diabetes mellitus type 2,79,1.0,4.4
Polyneuropathy due to diabetes mellitus,79,1.0,6.7
Varicella,79,1.0,28.0
Mixed conductive AND sensorineural hearing loss,79,1.0,3.5
Abnormal chest sounds,79,1.0,1.8
Sore throat,79,1.0,2.1
Gestation less than 9 weeks,79,1.0,1.7
Disorder of oral soft tissues,79,1.0,2.2
Sjögren's syndrome,79,1.0,17.2
Retinal lattice degeneration,79,1.0,6.3
"Primary coxarthrosis, bilateral",78,1.0,3.3
Moderate protein-calorie malnutrition (weight for age 60-74 percent of standard),78,1.0,3.5
Sprain of shoulder rotator cuff,78,1.0,5.9
Delay when starting to pass urine,78,1.0,3.1
Tinea cruris,78,1.0,2.1
Disorder of integument,78,1.0,2.2
Strain of muscle and/or tendon of lower leg,78,1.0,4.4
Aortic valve regurgitation,78,1.0,7.1
Arthropathy of joint of hand,78,1.0,2.7
Barrett's esophagus,78,1.0,9.2
Splenomegaly,77,1.0,4.5
Anemia due to chronic blood loss,77,1.0,5.5
Enthesopathy of lower limb,77,1.0,3.5
Irritant contact dermatitis,77,1.0,2.7
"Bipolar affective disorder, current episode depression",77,1.0,11.5
External hordeolum,77,1.0,2.0
Somatic dysfunction of lumbar region,77,1.0,17.7
Weakness of face muscles,77,1.0,2.4
Xerostomia,77,1.0,2.9
Bilateral earache,77,1.0,2.1
Hydronephrosis due to calculus of kidney and ureter,76,1.0,2.7
Diverticulitis of colon,76,1.0,15.2
Polycystic ovary,76,1.0,8.3
"Gestation period, 27 weeks",76,1.0,2.1
Iliotibial band friction syndrome,76,1.0,3.5
"Peptic ulcer without hemorrhage, without perforation AND without obstruction",76,1.0,3.4
Septic shock,76,1.0,2.8
Obstruction of esophagus,76,1.0,5.1
Interstitial lung disease,76,1.0,27.1
Cervicitis and endocervicitis,76,1.0,1.5
Secondary hypertension,76,1.0,7.7
Joint stiffness,75,1.0,5.4
Iridocyclitis,75,1.0,11.1
Megaloblastic anemia due to vitamin B-12 deficiency,75,1.0,10.0
Hypertensive renal failure,75,1.0,8.1
Chronic alcoholism in remission,75,1.0,23.7
Endometriosis (clinical),75,1.0,10.8
Cyst of pancreas,75,1.0,7.7
Arthritis of spine,75,1.0,2.5
IgE-mediated allergic asthma,75,1.0,7.3
Peptic ulcer,74,1.0,5.4
Hearing loss of right ear,74,1.0,2.5
Complication associated with orthopedic device,74,1.0,3.5
Conduction disorder of the heart,74,1.0,3.3
Acquired keratoderma,74,1.0,1.8
Rheumatic tricuspid valve regurgitation,74,1.0,3.3
Vitamin deficiency,74,1.0,7.6
Premature labor,74,1.0,2.2
Acute bronchospasm,73,0.9,2.3
Disorder of the urinary system,73,0.9,3.4
Bilateral cataracts,73,0.9,3.4
Sprain of foot,73,0.9,2.6
Subjective visual disturbance,73,0.9,2.2
Arthritis of shoulder region joint,73,0.9,3.6
Metatarsalgia,73,0.9,4.4
Cervical disc disorder with radiculopathy,73,0.9,3.0
Hematemesis,73,0.9,2.3
Candidal vulvovaginitis,73,0.9,2.2
Corneal abrasion,73,0.9,2.9
Kidney disease,73,0.9,4.8
Incoordination,73,0.9,4.3
Vomiting of pregnancy,73,0.9,3.1
Arteriosclerosis of coronary artery bypass graft,72,0.9,7.9
Periodontal disease,72,0.9,4.1
Stricture of artery,72,0.9,3.5
Secondary thrombocytopenia,72,0.9,2.1
Aphasia,72,0.9,6.1
Viral hepatitis B without hepatic coma,72,0.9,11.9
Human papilloma virus infection,72,0.9,5.8
Sick sinus syndrome,72,0.9,11.3
"Gestation period, 10 weeks",72,0.9,2.2
Asymptomatic human immunodeficiency virus infection,72,0.9,21.7
Sensory disorder of smell and/or taste,72,0.9,2.3
Dementia,72,0.9,5.7
Toxic encephalopathy,72,0.9,1.9
Exacerbation of intermittent asthma,72,0.9,2.4
Non-suppurative otitis media,72,0.9,2.6
"Gestation period, 29 weeks",72,0.9,1.8
Osteomyelitis,72,0.9,10.2
Primary malignant neoplasm of respiratory tract,72,0.9,47.6
Localized swelling of left upper limb,72,0.9,2.8
Degenerative joint disease of ankle AND/OR foot,72,0.9,2.4
Non-rheumatic aortic sclerosis,71,0.9,17.8
False labor,71,0.9,2.2
Vesicular eczema,71,0.9,3.0
Concussion with no loss of consciousness,71,0.9,3.5
Gastroparesis syndrome,71,0.9,17.0
Hand joint stiff,71,0.9,6.5
Hyperosmolality and or hypernatremia,71,0.9,2.3
Hashimoto thyroiditis,71,0.9,10.0
Closed fracture of one rib,70,0.9,2.3
Loss of all teeth,70,0.9,9.7
Immune defect,70,0.9,8.0
Chronic post-traumatic stress disorder,70,0.9,33.3
Spontaneous ecchymosis,70,0.9,2.2
Intervertebral disc disorder with myelopathy,70,0.9,2.0
Male pattern alopecia,70,0.9,4.3
Bacteriuria,70,0.9,2.2
Organic mental disorder caused by cocaine,70,0.9,3.9
Gestation less than 24 weeks,70,0.9,1.9
Incisional hernia,70,0.9,9.3
Disease,70,0.9,5.7
"Gestation period, 26 weeks",70,0.9,2.1
Optic disc disorder,70,0.9,4.7
Poor fetal growth affecting management,70,0.9,5.4
Chlamydial infection,69,0.9,3.6
Pneumothorax,69,0.9,8.0
Acquired absence of cervix and uterus,69,0.9,2.8
Drug abuse,69,0.9,7.9
Chalazion,69,0.9,3.4
Dislocations/sprains/strains,69,0.9,1.5
Eating disorder,69,0.9,7.8
Acute tubular necrosis,69,0.9,3.6
Degenerative disorder of macula,69,0.9,8.0
Single episode of major depression in full remission,69,0.9,5.7
Disorder of pericardium,69,0.9,6.0
Mild nonproliferative retinopathy due to type 2 diabetes mellitus,69,0.9,12.1
Metabolic encephalopathy,69,0.9,1.9
Disorder of pituitary gland,68,0.9,7.8
Cholecystitis,68,0.9,4.3
Chronic ethmoidal sinusitis,68,0.9,4.9
Degeneration of thoracic intervertebral disc,68,0.9,2.6
Tricuspid valve disorder,68,0.9,1.6
Calculus of bile duct,68,0.9,3.4
Somatic dysfunction of thoracic region,68,0.9,15.7
Disorder of cervical spine,68,0.9,6.7
Degenerative joint disease of hand,68,0.9,3.2
Injury of neck,68,0.9,1.7
Hallucinations,68,0.9,3.5
Open angle with borderline intraocular pressure,68,0.9,3.4
Recurrent major depression in remission,68,0.9,8.5
Malignant essential hypertension,68,0.9,2.2
Hypercholesterolemia,68,0.9,8.1
Torticollis,67,0.9,2.7
Hirsutism,67,0.9,4.4
Panic disorder,67,0.9,5.3
Dehiscence of external surgical incision wound,67,0.9,2.4
Unstable angina co-occurrent and due to coronary arteriosclerosis,67,0.9,3.3
Gestational diabetes mellitus,67,0.9,16.1
Acquired deformity of toe,67,0.9,4.6
Contusion of lower leg,67,0.9,1.9
Injury of face and neck,67,0.9,1.6
Disturbance of salivary secretion,67,0.9,2.6
Localized swelling of right lower limb,67,0.9,2.6
Exacerbation of moderate persistent asthma,67,0.9,3.8
Acute pyelonephritis,66,0.9,3.1
Acute non-suppurative serous otitis media,66,0.9,2.5
Contusion of foot,66,0.9,1.7
Bell's palsy,66,0.9,9.0
Cellulitis and abscess of trunk,66,0.9,3.1
Contusion of hand,66,0.9,1.8
Chronic low back pain,66,0.9,4.3
Cholesterolosis of gallbladder,66,0.9,7.2
Primary malignant neoplasm of upper outer quadrant of female breast,66,0.9,36.0
Varicose vein of lower limb with phlebitis,66,0.9,4.9
Ulcerative colitis,66,0.9,21.1
Somnolence syndrome,66,0.9,2.7
Dysarthria,66,0.9,5.1
Melanocytic nevus of upper limb,66,0.9,4.0
Photodermatitis,66,0.9,2.1
Refractory migraine without aura,66,0.9,7.0
Acute appendicitis,65,0.8,6.0
Drug-induced immunodeficiency,65,0.8,7.5
Joint derangement,65,0.8,3.3
Acute suppurative otitis media without spontaneous rupture of ear drum,65,0.8,2.4
Abnormal posture,65,0.8,6.8
"Gestation period, 16 weeks",65,0.8,2.0
Acute ischemic heart disease,65,0.8,2.3
Essential tremor,65,0.8,6.8
Disorder of the larynx,65,0.8,3.7
Inflammatory disorder of breast,65,0.8,4.3
Verruca plantaris,65,0.8,4.6
Complication of medical care,64,0.8,3.2
Seborrheic keratosis,64,0.8,5.6
Pneumonitis caused by inhaled substance,64,0.8,4.2
Shock,64,0.8,2.7
Neoplasm of digestive system,64,0.8,3.8
Retinal hemorrhage,64,0.8,6.7
Intervertebral disc prolapse,64,0.8,2.3
Sequelae of injuries of lower limb,64,0.8,2.6
Type 1 diabetes mellitus,64,0.8,29.7
Paroxysmal ventricular tachycardia,64,0.8,13.3
Herpes simplex,64,0.8,4.4
Chronic ulcer of skin of lower leg,64,0.8,6.1
Anorexia nervosa,64,0.8,2.5
Medial epicondylitis,64,0.8,4.7
Cellulitis and abscess of face,64,0.8,2.0
Pain in upper limb,64,0.8,1.8
Acute cholecystitis,64,0.8,3.0
Burn,64,0.8,4.5
Primary localized osteoarthrosis of pelvic region,63,0.8,4.0
Arthropathy of pelvis,63,0.8,2.0
Changes in skin texture,63,0.8,2.9
Chronic kidney disease stage 1,63,0.8,7.0
Methicillin resistant Staphylococcus aureus infection,63,0.8,1.9
Apnea,63,0.8,2.3
Laceration of finger,63,0.8,2.4
Closed fracture of phalanx of foot,63,0.8,2.8
Benign mammary dysplasia,63,0.8,10.3
Drug-induced constipation,63,0.8,2.9
Partial edentulism,63,0.8,5.6
Hyperuricemia without signs of inflammatory arthritis and tophaceous disease,63,0.8,10.3
Mononeuropathy of lower limb,63,0.8,5.0
Centriacinar emphysema,63,0.8,9.2
"Abnormal glucose tolerance in mother complicating pregnancy, childbirth AND/OR puerperium",63,0.8,5.8
Personality disorder,62,0.8,10.5
Benign neoplasm of rectum,62,0.8,1.7
Herpesviral vesicular dermatitis,62,0.8,2.7
Calculus of gallbladder with cholecystitis,62,0.8,1.9
Low compliance urinary bladder,62,0.8,6.8
Cervico-occipital neuralgia,62,0.8,11.0
Spondylosis,62,0.8,2.5
Obstruction of bile duct,62,0.8,9.6
Renal colic,62,0.8,2.5
Parkinson's disease,62,0.8,31.1
Chronic cor pulmonale,62,0.8,8.1
Submucous leiomyoma of uterus,62,0.8,2.8
Enthesopathy of foot region,62,0.8,2.5
Disorder of pharynx,62,0.8,2.5
Disorder of magnesium metabolism,62,0.8,5.9
Chronic intractable migraine without aura,62,0.8,14.0
Melanocytic nevus of lower limb,62,0.8,4.1
Respiratory finding,62,0.8,4.0
Acute systolic heart failure,62,0.8,4.6
Borderline personality disorder,62,0.8,28.5
Delirium,62,0.8,1.8
Essential thrombocythemia,62,0.8,17.9
Atherosclerosis of artery,62,0.8,3.3
Child-Pugh score class A,61,0.8,14.9
Adult failure to thrive syndrome,61,0.8,3.6
Otalgia of right ear,61,0.8,2.9
Sprain of spinal ligament,61,0.8,1.8
Arthritis,61,0.8,3.2
Cartilage disorder,61,0.8,4.8
Open wound of lower leg,61,0.8,3.1
Pruritus of genital organs,61,0.8,1.8
Chest injury,61,0.8,1.7
Metabolic disease,61,0.8,2.8
Crohn's disease,61,0.8,53.8
Post-inflammatory pulmonary fibrosis,61,0.8,9.5
Upper respiratory infection,61,0.8,1.4
Adhesive capsulitis of left shoulder,61,0.8,7.3
Hypertensive retinopathy,61,0.8,6.3
Spondylolisthesis L5/S1 level,61,0.8,2.1
Microcalcifications of the breast,60,0.8,3.0
Basal cell carcinoma of face,60,0.8,3.8
Prostatitis,60,0.8,6.5
Hypertensive heart and chronic kidney disease,60,0.8,3.8
Connective tissue and disc stenosis of intervertebral foramina,60,0.8,1.9
Chronic pancreatitis,60,0.8,16.7
Cervical disc disorder,60,0.8,5.7
Injury of trunk,60,0.8,1.5
Sprain of knee,60,0.8,2.1
Cystoid macular retinal degeneration,60,0.8,11.0
Contusion of scalp,60,0.8,1.8
Chronic bronchitis,60,0.8,4.2
Bacterial pneumonia,60,0.8,5.2
Benign tumor of breast,60,0.8,3.8
Acquired hallux malleus,59,0.8,3.8
"Muscle, ligament and fascia disorders",59,0.8,2.0
Chronic obstructive pulmonary disease with acute lower respiratory infection,59,0.8,1.9
Dilated cardiomyopathy,59,0.8,12.1
Multiple benign melanocytic nevi,59,0.8,3.0
Deficiency of macronutrients,59,0.8,4.0
Chest pain on breathing,59,0.8,2.1
Postconcussion syndrome,59,0.8,5.1
Dyspnea on exertion,59,0.8,4.4
Abrasion of skin of knee,59,0.8,1.8
Postoperative infection,59,0.8,2.1
Aneurysm,59,0.8,10.9
Strain of muscle and/or tendon of thigh,59,0.8,4.0
Closed fracture of multiple ribs,59,0.8,3.3
Cervical somatic dysfunction,59,0.8,20.5
Lipoma of skin and subcutaneous tissue (excluding face),59,0.8,2.9
Lumbosacral spondylosis with radiculopathy,59,0.8,2.6
"Gestation period, 17 weeks",59,0.8,2.1
Bipolar I disorder,59,0.8,16.8
Skin lesion,59,0.8,1.5
Excessive fetal growth affecting management of mother,59,0.8,2.4
Unstable knee,59,0.8,3.6
Herniation of rectum into vagina,58,0.8,4.4
Periodic limb movement disorder,58,0.8,5.7
Alcohol withdrawal,58,0.8,6.5
Hyperosmolarity,58,0.8,6.5
Pruritus ani,58,0.8,4.4
Scalp laceration,58,0.8,2.5
Secondary polycythemia,58,0.8,7.6
Foreign body in ear,58,0.8,1.9
Sciatic nerve lesion,58,0.8,3.5
Acquired hallux rigidus,58,0.8,2.9
Polyp of nasal cavity and/or nasal sinus,58,0.8,11.3
Hidradenitis suppurativa,58,0.8,10.7
Intestinal obstruction co-occurrent and due to decreased peristalsis,58,0.8,2.3
Viral conjunctivitis,58,0.8,2.0
Disorder of limb,57,0.7,1.9
Pancytopenia,57,0.7,4.9
Primary malignant neoplasm of skin,57,0.7,5.7
"Infection AND/OR inflammatory reaction due to internal prosthetic device, implant AND/OR graft",57,0.7,7.5
Hypertrophy of tonsils,57,0.7,2.7
Acute non-infective otitis externa,57,0.7,2.3
Non-infectious systemic inflammatory response syndrome without acute organ failure,57,0.7,1.7
Atherosclerosis of arteries of the extremities,57,0.7,7.8
Lipoma of skin and subcutaneous tissue of trunk,57,0.7,4.9
Mycosis,57,0.7,2.4
Myelopathy due to cervical spondylosis,57,0.7,7.0
Cervical spine sprain,57,0.7,2.4
Pain in forearm,57,0.7,2.6
Rheumatic disease of heart valve,56,0.7,1.5
Obstruction of neck of urinary bladder,56,0.7,5.2
Organic anxiety disorder caused by psychoactive substance,56,0.7,4.1
Exercise induced bronchospasm,56,0.7,6.9
Thromboembolism of vein,56,0.7,5.8
Pain due to neoplastic disease,56,0.7,10.1
Abrasion and/or friction burn of skin,56,0.7,1.6
Muscle atrophy,56,0.7,5.6
Sexually transmitted infectious disease,56,0.7,12.8
Full thickness rotator cuff tear,56,0.7,4.3
Gallbladder calculus with acute cholecystitis and no obstruction,56,0.7,2.3
Noninflammatory cervical disorder,56,0.7,1.4
Cellulitis and abscess of forearm,56,0.7,4.0
Refractory migraine,56,0.7,4.6
Disorders of both mitral and tricuspid valves,56,0.7,1.5
Bipolar II disorder,56,0.7,20.6
Peripheral vertigo,56,0.7,2.6
Disorder of prostate,56,0.7,2.2
