icd3,n_people,n_distinct_concepts,commonest_name,prevalence_pct
F84,26,2,Autism spectrum disorder,0.3
N05,26,5,Nephritic syndrome,0.3
F53,26,2,Postpartum depression,0.3
K61,26,5,Rectal abscess,0.3
I60,26,1,Spontaneous subarachnoid hemorrhage,0.3
H49,26,5,Abducens nerve palsy,0.3
H46,26,4,Optic neuritis,0.3
H55,26,5,Nystagmus,0.3
J41,25,3,Simple chronic bronchitis,0.3
E63,25,2,Nutritional deficiency disorder,0.3
T15,25,5,Foreign body on external eye,0.3
L05,25,4,Pilonidal cyst,0.3
S21,25,12,Open wound of breast,0.3
B25,25,2,Cytomegalovirus infection,0.3
G37,25,3,Demyelinating disease of central nervous system,0.3
C91,24,6,"Chronic lymphoid leukemia, disease",0.3
J92,24,2,Pleural plaque,0.3
H27,24,5,Disorder of lens,0.3
N35,24,4,Urethral stricture,0.3
D33,24,4,Benign neoplasm of cranial nerve,0.3
Q14,24,2,Congenital anomaly of retina,0.3
S10,24,5,Contusion of neck,0.3
T22,24,21,Partial thickness burn of forearm,0.3
D03,23,7,Melanoma in situ of skin (clinical),0.3
E09,23,5,Drug-induced diabetes mellitus,0.3
R48,23,5,Dyslexia AND/OR speech dysfunction,0.3
B08,23,3,Molluscum contagiosum infection,0.3
B27,23,2,Infectious mononucleosis,0.3
O9A,23,6,Complication occurring during pregnancy,0.3
E67,23,3,Hypervitaminosis D,0.3
Q25,23,13,Pulmonary artery stenosis,0.3
N02,23,9,Persistent hematuria,0.3
R81,23,1,Glycosuria,0.3
T18,23,8,Foreign body in stomach,0.3
G70,23,5,Myasthenia gravis without exacerbation,0.3
C56,22,2,Primary malignant neoplasm of ovary,0.3
S96,22,7,Injury of muscle and tendon at ankle and foot level,0.3
G63,22,1,Polyneuropathy associated with another disorder,0.3
M45,22,1,Ankylosing spondylitis,0.3
F01,22,6,Vascular dementia without behavioral disturbance,0.3
L93,22,3,Discoid lupus erythematosus,0.3
E85,22,7,Amyloidosis,0.3
T31,22,7,Burn any degree involving less than 10 percent of body surface,0.3
Z88,22,1,Allergic condition,0.3
T43,21,10,Intentional poisoning by drug,0.3
J37,21,1,Chronic laryngitis,0.3
Z18,21,1,Retained foreign body,0.3
C54,21,3,Primary malignant neoplasm of endometrium,0.3
S79,21,6,Injury of hip region,0.3
N21,21,2,Urinary bladder stone,0.3
Q79,21,7,Ehlers-Danlos syndrome,0.3
R34,21,2,Finding of urine output,0.3
D09,21,3,Carcinoma in situ,0.3
G82,21,7,Paraplegia,0.3
G61,21,5,Guillain-Barré syndrome,0.3
K00,21,5,Anodontia,0.3
H59,21,5,Postoperative cystoid macular edema,0.3
D27,20,3,Benign neoplasm of right ovary,0.3
I88,20,3,Lymphadenitis,0.3
T42,20,7,Intentional self poisoning,0.3
O60,20,3,Preterm labor without delivery,0.3
C25,20,6,Primary malignant neoplasm of pancreas,0.3
N70,20,5,Chronic salpingitis,0.3
N49,20,3,Inflammation of scrotum,0.3
S66,20,14,Muscle and tendon injury,0.3
