icd3,n_people,n_distinct_concepts,commonest_name,prevalence_pct
H11,195,14,Conjunctival hemorrhage,2.5
R45,193,2,Suicidal thoughts,2.5
N85,190,10,Noninflammatory disorder of uterus,2.5
H54,188,14,Blindness AND/OR vision impairment level,2.4
K86,187,6,Disorder of pancreas,2.4
Y83,187,4,Complication of surgical procedure,2.4
R69,186,1,Illness,2.4
A04,185,7,Bacterial enteritis of intestine,2.4
M99,183,16,Segmental and somatic dysfunction,2.4
N50,181,8,Disorder of male genital organ,2.3
D84,181,4,Immunodeficiency disorder,2.3
K40,180,6,Inguinal hernia,2.3
H00,179,13,Chalazion of upper eyelid,2.3
R65,179,4,Septic shock,2.3
S82,178,32,Closed fracture of lower leg,2.3
G57,178,9,Mononeuropathy of lower limb,2.3
M46,178,13,Inflammation of sacroiliac joint,2.3
I13,177,4,Hypertensive heart and renal disease with (congestive) heart failure,2.3
S99,177,7,Injury of foot,2.3
R56,177,2,Seizure,2.3
K56,176,8,Intestinal obstruction,2.3
S06,175,24,Concussion with no loss of consciousness,2.3
S69,175,2,Injury of upper extremity,2.3
L20,175,3,Atopic dermatitis,2.3
M15,173,7,Osteoarthritis,2.2
B02,172,11,Herpes zoster without complication,2.2
L40,171,7,Psoriasis,2.2
D89,170,11,Disorder of immune function,2.2
I78,170,3,Non-neoplastic nevus,2.2
O34,170,11,Uterine scar from previous surgery affecting pregnancy,2.2
L25,169,3,Contact dermatitis,2.2
J43,168,3,Pulmonary emphysema,2.2
R47,167,5,Disturbance in speech,2.2
B95,167,7,Infection caused by Enterococcus,2.2
K82,166,7,Disorder of gallbladder,2.1
G40,166,16,Epilepsy,2.1
E07,164,3,Disorder of thyroid gland,2.1
M06,164,9,Rheumatoid arthritis,2.1
B19,163,4,Viral hepatitis C,2.1
C50,162,12,Primary malignant neoplasm of female breast,2.1
C61,162,1,Primary malignant neoplasm of prostate,2.1
R61,161,1,Generalized hyperhidrosis,2.1
H16,161,22,Keratoconjunctivitis sicca (excluding Sjögren syndrome),2.1
M24,160,36,Joint derangement,2.1
M35,159,13,Sjögren's syndrome,2.1
F14,158,11,Cocaine abuse,2.0
S90,158,23,Contusion of foot,2.0
D75,158,7,Disorder of hematopoietic structure,2.0
R68,157,4,Jaw pain,2.0
M23,157,16,Derangement of knee,2.0
H18,157,23,Corneal endothelial dystrophy,2.0
M18,156,3,Osteoarthrosis of the carpometacarpal joint of the thumb,2.0
K74,153,6,Cirrhosis of liver,2.0
M12,153,16,Arthropathy,2.0
K42,152,2,Umbilical hernia,2.0
E05,152,8,Thyrotoxicosis,2.0
S22,152,19,Closed fracture of multiple ribs,2.0
S62,152,80,Closed fracture of carpal bone,2.0
S92,151,42,Metatarsal bone fracture,2.0
S02,151,53,Closed fracture,2.0
S60,151,25,Contusion of hand,2.0
M26,150,24,Arthralgia of temporomandibular joint,1.9
M22,148,5,Disorder of patellofemoral joint,1.9
G31,148,10,Minimal cognitive impairment,1.9
K20,147,3,Esophagitis,1.9
E89,147,9,Postoperative hypothyroidism,1.9
E21,147,4,Hyperparathyroidism,1.9
M71,147,12,Synovial cyst of knee,1.9
J11,146,4,Upper respiratory tract infection caused by Influenza virus,1.9
E06,145,6,Autoimmune thyroiditis,1.9
I08,145,6,Rheumatic disease of heart valve,1.9
J38,145,9,Disorder of vocal cord,1.9
R18,144,2,Ascites,1.9
G45,144,7,Transient cerebral ischemia,1.9
J81,144,2,Chronic pulmonary edema,1.9
L23,143,10,Allergic contact dermatitis,1.9
S89,142,5,Injury of lower leg,1.8
J84,141,12,Fibrosis of lung,1.8
L71,140,2,Rosacea,1.8
I71,138,12,Thoracic aortic aneurysm without rupture,1.8
I36,138,2,"Tricuspid incompetence, non-rheumatic",1.8
L97,136,13,Chronic ulcer of foot,1.8
K43,135,7,Hernia of anterior abdominal wall,1.7
D36,132,11,Benign neoplastic disease,1.7
S05,131,10,Injury of conjunctiva,1.7
I89,129,3,Lymphedema,1.7
K12,129,6,Recurrent aphthous stomatitis,1.7
K75,129,5,Nonalcoholic steatohepatitis,1.7
S76,129,10,Injury of muscle and tendon at hip and thigh level,1.7
T82,128,21,Complication associated with device,1.7
S43,128,15,Injury of superior glenoid labrum of shoulder joint,1.7
K83,128,6,Disorder of biliary tract,1.7
S63,127,24,Sprain of wrist,1.6
I15,127,4,Secondary hypertension,1.6
L28,125,3,Lichen simplex chronicus,1.6
D47,125,9,Monoclonal gammopathy (clinical),1.6
I31,125,5,Pericardial effusion - noninflammatory,1.6
O20,124,4,Early stage of pregnancy,1.6
N81,119,11,Cystocele,1.5
S29,119,3,Muscle strain,1.5
B18,118,4,Chronic hepatitis C,1.5
I26,118,5,Pulmonary embolism,1.5
S52,117,29,Closed fracture of distal end of radius,1.5
N48,117,9,Disorder of penis,1.5
E16,117,4,Hypoglycemia,1.5
N12,117,1,Tubulointerstitial nephritis,1.5
K91,116,16,Gastrointestinal complication,1.5
I16,116,3,Hypertensive urgency,1.5
R89,115,1,Abnormal finding on evaluation procedure,1.5
R87,115,5,Abnormal cytological finding in specimen from female genital organ,1.5
E27,114,6,Disorder of adrenal gland,1.5
J10,114,4,Upper respiratory tract infection caused by Influenza virus,1.5
T83,114,13,Mechanical complication of intrauterine contraceptive device,1.5
N25,112,3,Hyperparathyroidism due to renal insufficiency,1.4
K11,112,10,Disturbance of salivary secretion,1.4
F45,111,5,Bodily distress disorder,1.4
S16,111,3,Muscle strain,1.4
S86,111,10,Strain of muscle and/or tendon of lower leg,1.4
F15,111,16,Stimulant abuse,1.4
T85,110,28,Mechanical complication of device,1.4
T78,109,6,Angioedema,1.4
E10,109,26,Type 1 diabetes mellitus without complication,1.4
E13,109,18,Diabetes mellitus without complication,1.4
N90,108,6,Vulval and/or perineal noninflammatory disorders,1.4
G60,108,4,Neuropathy,1.4
K66,108,3,Peritoneal adhesion,1.4
T84,108,21,Complication associated with orthopedic device,1.4
S40,107,12,Contusion of shoulder region,1.4
H65,107,7,Acute non-suppurative serous otitis media,1.4
S20,107,9,Contusion of chest,1.4
N84,107,5,Polyp of corpus uteri,1.4
E44,105,2,Moderate protein-calorie malnutrition (weight for age 60-74 percent of standard),1.4
G90,104,12,Disorder of autonomic nervous system,1.3
H33,104,16,Horseshoe retinal tear without detachment,1.3
F40,103,10,Claustrophobia,1.3
S42,103,40,Closed fracture of upper end of humerus,1.3
D35,102,6,Benign neoplasm of pituitary gland,1.3
R82,102,8,Bacteriuria,1.3
N97,102,4,Female infertility,1.3
S30,101,17,Contusion of anterior abdominal wall,1.3
K03,101,8,Accretion on teeth,1.3
B36,101,2,Pityriasis versicolor,1.3
O35,100,10,Suspected fetal abnormality affecting management of mother,1.3
R40,100,3,Somnolence syndrome,1.3
E08,100,34,Secondary diabetes mellitus,1.3
K30,100,1,Nonulcer dyspepsia,1.3
L53,100,2,Erythema of skin,1.3
K25,99,7,Gastric ulcer without hemorrhage AND without perforation,1.3
R44,99,4,Hallucinations,1.3
S81,99,10,Open wound of lower leg,1.3
L24,98,10,Irritant contact dermatitis,1.3
K81,98,4,Acute cholecystitis,1.3
R27,97,3,Ataxia,1.3
F34,97,4,Dysthymia,1.3
O48,97,1,Post-term pregnancy,1.3
E29,96,2,Testicular hypofunction,1.2
R15,96,2,Incontinence of feces,1.2
D21,96,8,Benign neoplasm of soft tissue,1.2
G95,96,4,Spinal cord disease,1.2
D24,96,3,Benign neoplasm of left breast,1.2
N80,95,17,Endometriosis (clinical),1.2
K90,94,4,Intestinal malabsorption,1.2
A49,94,7,Bacterial infectious disease,1.2
K85,94,6,Acute pancreatitis,1.2
N62,94,1,Hypertrophy of breast,1.2
R78,93,1,Bacteremia,1.2
F60,93,10,Borderline personality disorder,1.2
M13,91,13,Inflammatory polyarthropathy,1.2
K60,90,6,Anal fissure,1.2
E43,90,1,Severe protein-calorie malnutrition (Gomez: less than 60 percent of standard weight),1.2
A60,90,6,Genital herpes simplex,1.2
O47,90,5,False labor before 37 completed weeks of gestation,1.2
J12,90,6,Pneumonia caused by SARS-CoV-2,1.2
I69,90,18,Paralytic syndrome on one side of the body as late effect of cerebrovascular accident,1.2
S32,90,49,"Closed fracture lumbar vertebra, wedge",1.2
E46,89,4,Deficiency of macronutrients,1.2
S91,89,12,Open wound of foot,1.2
R57,87,3,Shock,1.1
D53,87,4,Nutritional anemia,1.1
S50,87,10,Contusion of elbow,1.1
F20,86,7,Schizophrenia,1.1
S49,86,2,Injury of shoulder and upper arm,1.1
A09,85,1,Gastrointestinal infection,1.1
F98,84,5,Childhood emotional disorder,1.1
O23,84,9,Urinary tract infection in pregnancy,1.1
J47,84,2,Bronchiectasis,1.1
E23,83,3,Disorder of pituitary gland,1.1
A08,83,5,Intestinal infectious disease,1.1
S70,82,8,Contusion of hip,1.1
O21,82,6,Vomiting of pregnancy,1.1
J35,81,6,Hypertrophy of tonsils,1.0
F99,79,1,Mental disorder,1.0
M86,79,27,Osteomyelitis,1.0
I72,79,9,Aneurysm,1.0
R63,78,4,Anorexia nervosa,1.0
O03,78,11,Miscarriage without complication,1.0
O24,78,13,Gestational diabetes mellitus,1.0
J15,78,10,Bacterial pneumonia,1.0
O98,77,13,Third trimester pregnancy,1.0
K51,77,20,Ulcerative colitis,1.0
F29,77,2,Psychotic disorder,1.0
I07,77,3,Rheumatic tricuspid valve regurgitation,1.0
H50,77,20,Manifest vertical squint,1.0
N87,76,3,Dysplasia of cervix,1.0
K27,76,4,Peptic ulcer,1.0
B20,75,1,Human immunodeficiency virus infection,1.0
N43,75,3,Hydrocele of tunica vaginalis,1.0
K50,75,24,Crohn's disease,1.0
J69,75,2,Pneumonitis caused by inhaled substance,1.0
M96,75,9,Post-laminectomy syndrome,1.0
F03,74,8,Dementia,1.0
J39,74,4,Disorder of pharynx,1.0
O46,74,4,Antepartum hemorrhage,1.0
J00,73,1,Common cold,0.9
M84,73,30,Stress fracture of foot,0.9
D31,73,9,Benign neoplasm of choroid,0.9
G92,72,1,Toxic encephalopathy,0.9
J95,72,12,Pneumothorax due to and following procedure,0.9
C34,72,6,Primary malignant neoplasm of respiratory tract,0.9
L64,71,2,Male pattern alopecia,0.9
R58,71,1,Bleeding,0.9
I99,71,1,Disorder of cardiovascular system,0.9
S19,70,3,Injury of neck,0.9
I24,70,3,Acute ischemic heart disease,0.9
M32,70,8,Systemic lupus erythematosus,0.9
I86,70,5,Varicocele,0.9
M1A,70,20,Chronic gout without tophus,0.9
C80,69,2,Primary malignant neoplasm,0.9
M40,69,10,Kyphosis of thoracic spine,0.9
E34,69,3,Disorder of endocrine system,0.9
R17,68,1,Jaundice,0.9
G51,68,5,Bell's palsy,0.9
D51,68,5,Megaloblastic anemia due to vitamin B-12 deficiency,0.9
T50,68,6,Poisoning by drug AND/OR medicinal substance,0.9
A63,66,2,Condyloma acuminatum of the anogenital region,0.9
K14,66,8,Disorder of tongue,0.9
N10,66,1,Acute pyelonephritis,0.9
E80,66,5,Disorder of bilirubin metabolism,0.9
E22,66,4,Syndrome of inappropriate vasopressin secretion,0.9
S72,65,28,Closed fracture of neck of femur,0.8
H05,65,21,Exophthalmos,0.8
F02,65,7,Dementia associated with another disease,0.8
D05,65,7,Ductal carcinoma in situ of right breast,0.8
O43,65,9,Third trimester pregnancy,0.8
L89,64,43,Pressure injury of buttock,0.8
Z21,64,1,Asymptomatic human immunodeficiency virus infection,0.8
L76,63,6,Disorder of skin and/or subcutaneous tissue,0.8
E79,63,1,Hyperuricemia without signs of inflammatory arthritis and tophaceous disease,0.8
S13,63,3,Cervical spine sprain,0.8
N41,63,5,Prostatitis,0.8
H20,63,7,Iridocyclitis,0.8
F50,62,9,Eating disorder,0.8
D61,62,8,Pancytopenia,0.8
E56,62,3,Vitamin deficiency,0.8
K70,61,7,Alcoholic cirrhosis,0.8
J03,61,3,Acute tonsillitis,0.8
T86,61,22,Disorder of transplanted kidney,0.8
I80,61,5,Thrombophlebitis,0.8
J93,60,5,Pneumothorax,0.8
B99,60,1,Infectious disease,0.8
N73,59,3,Female pelvic peritoneal adhesions,0.8
G24,59,9,Dystonia,0.8
J04,59,3,Acute laryngitis,0.8
R62,59,3,Adult failure to thrive syndrome,0.8
B01,58,2,Varicella,0.8
Y84,58,4,Complication of procedure,0.8
Z16,58,4,Drug resistance,0.8
F06,58,8,Mood disorder with depressive features due to general medical condition,0.8
K72,57,3,Hepatic failure,0.7
M11,57,13,Chondrocalcinosis of knee joint,0.7
G81,57,7,Hemiplegia of nondominant side,0.7
F42,57,4,Obsessive-compulsive disorder,0.7
T88,56,8,Complication of medical care,0.7
F07,56,2,Postconcussion syndrome,0.7
R94,55,2,Abnormal finding on evaluation procedure,0.7
K35,55,6,Acute appendicitis,0.7
J33,55,4,Polyp of nasal cavity and/or nasal sinus,0.7
G54,55,7,Brachial plexus disorder,0.7
G20,55,3,Parkinson's disease,0.7
M27,55,10,Disorder of jaw,0.7
N88,55,3,Noninflammatory cervical disorder,0.7
Z89,54,9,Acquired absence of organ,0.7
I97,54,18,Vascular complication of medical care,0.7
C85,53,15,Non-Hodgkin's lymphoma (clinical),0.7
H44,52,19,Degenerative progressive high myopia,0.7
F25,52,3,Schizoaffective disorder,0.7
Q21,52,6,Atrial septal defect,0.7
O02,51,3,Missed miscarriage,0.7
Z22,51,2,Inactive tuberculosis,0.7
K06,51,7,Edentulous alveolar ridge,0.7
T40,51,21,Accidental poisoning by opiate agonist,0.7
L68,50,2,Hirsutism,0.6
M95,50,8,Acquired deformity of nose,0.6
Q82,50,4,Congenital anomaly of skin,0.6
F05,50,1,Delirium,0.6
Q76,50,7,Congenital anomaly of spine,0.6
N19,50,1,Renal failure syndrome,0.6
M80,50,7,Osteoporotic fracture,0.6
C64,50,1,Primary malignant neoplasm of kidney,0.6
N42,50,6,Disorder of prostate,0.6
H83,49,4,Labyrinthine dysfunction,0.6
O42,49,8,Premature rupture of membranes,0.6
O72,49,3,Postpartum hemorrhage,0.6
D32,49,3,Benign neoplasm of meninges,0.6
F52,49,7,Erectile dysfunction,0.6
M05,48,13,Seropositive rheumatoid arthritis,0.6
Q66,48,9,Congenital pes planus,0.6
F09,48,1,Organic mental disorder,0.6
C18,48,10,Primary malignant neoplasm of colon,0.6
G50,48,3,Trigeminal neuralgia,0.6
I05,48,4,Rheumatic disease of mitral valve,0.6
O28,47,5,Finding related to pregnancy,0.6
L74,47,7,Primary focal hyperhidrosis,0.6
O16,47,5,Maternal hypertension,0.6
O13,47,6,Pregnancy-induced hypertension,0.6
J22,47,1,Acute lower respiratory tract infection,0.6
T30,47,2,Burn,0.6
N45,47,4,Epididymitis,0.6
N61,47,2,Inflammatory disorder of breast,0.6
D04,47,8,Carcinoma in situ of skin of upper limb,0.6
H21,46,17,Intraoperative floppy iris syndrome,0.6
L27,46,3,Generalized skin eruption caused by drug and medicament,0.6
G35,46,1,Multiple sclerosis,0.6
F22,46,1,Delusional disorder,0.6
D80,46,7,Hypogammaglobulinemia,0.6
S51,45,8,Laceration of forearm,0.6
O32,45,1,Fetal condition affecting obstetrical care of mother,0.6
B30,45,3,Viral conjunctivitis,0.6
I37,45,2,"Pulmonary incompetence, non-rheumatic",0.6
O14,45,7,Pre-eclampsia,0.6
J42,45,1,Chronic bronchitis,0.6
K65,44,5,Abscess of peritoneum,0.6
A74,44,1,Chlamydial infection,0.6
T80,44,11,CLABSI - central line associated bloodstream infection,0.6
A59,44,3,Infection by Trichomonas,0.6
L80,44,1,Vitiligo,0.6
N26,44,2,Atrophy of kidney,0.6
C73,44,1,Primary malignant neoplasm of thyroid gland,0.6
S31,43,25,Open wound of anterior abdominal wall,0.6
K26,43,6,Ulcer of duodenum,0.6
O41,42,7,Disorder of amniotic cavity AND/OR membrane,0.5
N99,42,16,Disorder of the genitourinary system,0.5
Q24,42,6,Congenital heart disease,0.5
