model,dim,wall_seconds,same_vgene_cos_sim,diff_vgene_cos_sim,gap
SCEPTR,64,23.39958906173706,0.16947245597839355,0.15012693405151367,0.019345521926879883
ESMC-300M,960,3665.9578819274902,0.9829319715499878,0.9823178648948669,0.0006141066551208496
