gene	unrelated_only	carrier_haplotypes_bin	n_signatures
HLA-DRB1	True	11-20	69
HLA-DRB1	True	21-50	62
HLA-DRB1	True	51-100	21
HLA-DRB1	True	101-1000	<20
HLA-DRB1	True	>1000	0
ALL	True	1	9460
ALL	True	2	856
ALL	True	3	300
ALL	True	4	162
ALL	True	5	117
ALL	True	6-10	255
ALL	True	11-20	127
ALL	True	21-50	93
ALL	True	51-100	28
ALL	True	101-1000	<20
ALL	True	>1000	0
