gene	series	occurrence_bin	n_alleles	alleles_per_k
HLA-DPA1	cds_changing	9-16	0	0.0
HLA-DPA1	cds_changing	17-32	0	0.0
HLA-DPA1	cds_changing	33-64	0	0.0
HLA-DPA1	cds_changing	65-128	0	0.0
HLA-DPA1	cds_changing	129-256	0	0.0
HLA-DPA1	cds_changing	257-512	0	0.0
HLA-DPA1	cds_changing	513-1024	0	0.0
HLA-DPA1	cds_changing	>1024	0	0.0
HLA-DPA1	noncoding_only	1	28	28.0
HLA-DPA1	noncoding_only	2	9	9.0
HLA-DPA1	noncoding_only	3-4	5	2.5
HLA-DPA1	noncoding_only	5-8	4	1.0
HLA-DPA1	noncoding_only	9-16	4	0.5
HLA-DPA1	noncoding_only	17-32	2	0.125
HLA-DPA1	noncoding_only	33-64	0	0.0
HLA-DPA1	noncoding_only	65-128	2	0.03125
HLA-DPA1	noncoding_only	129-256	0	0.0
HLA-DPA1	noncoding_only	257-512	2	0.0078125
HLA-DPA1	noncoding_only	513-1024	0	0.0
HLA-DPA1	noncoding_only	>1024	1	0.0009765625
HLA-DPA1	flagged_artifact	1	296	296.0
HLA-DPA1	flagged_artifact	2	25	25.0
HLA-DPA1	flagged_artifact	3-4	5	2.5
HLA-DPA1	flagged_artifact	5-8	3	0.75
HLA-DPA1	flagged_artifact	9-16	2	0.25
HLA-DPA1	flagged_artifact	17-32	0	0.0
HLA-DPA1	flagged_artifact	33-64	0	0.0
HLA-DPA1	flagged_artifact	65-128	0	0.0
HLA-DPA1	flagged_artifact	129-256	0	0.0
HLA-DPA1	flagged_artifact	257-512	0	0.0
HLA-DPA1	flagged_artifact	513-1024	0	0.0
HLA-DPA1	flagged_artifact	>1024	0	0.0
HLA-DPB1	known	1	66	66.0
HLA-DPB1	known	2	29	29.0
HLA-DPB1	known	3-4	32	16.0
HLA-DPB1	known	5-8	36	9.0
HLA-DPB1	known	9-16	40	5.0
HLA-DPB1	known	17-32	26	1.625
HLA-DPB1	known	33-64	29	0.90625
HLA-DPB1	known	65-128	17	0.265625
HLA-DPB1	known	129-256	13	0.1015625
HLA-DPB1	known	257-512	9	0.03515625
HLA-DPB1	known	513-1024	6	0.01171875
HLA-DPB1	known	>1024	2	0.001953125
HLA-DPB1	cds_changing	1	39	39.0
HLA-DPB1	cds_changing	2	3	3.0
HLA-DPB1	cds_changing	3-4	0	0.0
HLA-DPB1	cds_changing	5-8	0	0.0
HLA-DPB1	cds_changing	9-16	0	0.0
HLA-DPB1	cds_changing	17-32	0	0.0
HLA-DPB1	cds_changing	33-64	0	0.0
HLA-DPB1	cds_changing	65-128	0	0.0
HLA-DPB1	cds_changing	129-256	0	0.0
HLA-DPB1	cds_changing	257-512	0	0.0
