gene	resolution	design	target_ancestry	total_n	size_used	coverage	note
HLA-C	protein	actual_aou_composition	MID	22064	567	0.9999999999999998	
HLA-C	protein	actual_aou_composition	SAS	22064	2153	1.0000000000000002	
HLA-C	protein	actual_aou_composition	UNASSIGNED	22064	7285	1.0000000000000002	
HLA-C	protein	actual_aou_composition	GLOBAL_MEAN	22064	22064	1.0	
HLA-C	protein	equal_allocation	AFR	22064	3152	0.998521301199725	
HLA-C	protein	equal_allocation	AMR	22064	2946	1.0000000000000002	
HLA-C	protein	equal_allocation	EAS	22064	2349	0.9999999999999999	
HLA-C	protein	equal_allocation	EUR	22064	2408	1.0000000000000002	
HLA-C	protein	equal_allocation	MID	22064	567	0.9999999999999998	
HLA-C	protein	equal_allocation	SAS	22064	2153	1.0000000000000002	
HLA-C	protein	equal_allocation	UNASSIGNED	22064	3152	0.9977662527047327	
HLA-C	protein	equal_allocation	GLOBAL_MEAN	22064	16727	0.9989705374809636	
HLA-C	protein	94pct_eur_ukb_like	AFR	22064	3276	0.9986906840216205	
HLA-C	protein	94pct_eur_ukb_like	AMR	22064	2946	1.0000000000000002	
HLA-C	protein	94pct_eur_ukb_like	EAS	22064	2349	0.9999999999999999	
HLA-C	protein	94pct_eur_ukb_like	EUR	22064	2408	1.0000000000000002	
HLA-C	protein	94pct_eur_ukb_like	MID	22064	567	0.9999999999999998	
HLA-C	protein	94pct_eur_ukb_like	SAS	22064	2153	1.0000000000000002	
HLA-C	protein	94pct_eur_ukb_like	UNASSIGNED	22064	3276	0.9978401207388922	
HLA-C	protein	94pct_eur_ukb_like	GLOBAL_MEAN	22064	16975	0.9990283674393133	
HLA-C	protein	greedy_max_mean_coverage	AFR	22064	4356	0.9999999999999996	
HLA-C	protein	greedy_max_mean_coverage	AMR	22064	2946	1.0000000000000002	
HLA-C	protein	greedy_max_mean_coverage	EAS	22064	2349	0.9999999999999999	
HLA-C	protein	greedy_max_mean_coverage	EUR	22064	2408	1.0000000000000002	
HLA-C	protein	greedy_max_mean_coverage	MID	22064	567	0.9999999999999998	
HLA-C	protein	greedy_max_mean_coverage	SAS	22064	2153	1.0000000000000002	
HLA-C	protein	greedy_max_mean_coverage	UNASSIGNED	22064	7285	1.0000000000000002	
HLA-C	protein	greedy_max_mean_coverage	GLOBAL_MEAN	22064	22064	1.0	
HLA-DMA	protein	actual_aou_composition	AFR	22576	4398	1.0	
HLA-DMA	protein	actual_aou_composition	AMR	22576	3004	1.0	
HLA-DMA	protein	actual_aou_composition	EAS	22576	2438	0.9999999999999999	
HLA-DMA	protein	actual_aou_composition	EUR	22576	2455	1.0	
HLA-DMA	protein	actual_aou_composition	MID	22576	588	1.0	
HLA-DMA	protein	actual_aou_composition	SAS	22576	2208	1.0	
HLA-DMA	protein	actual_aou_composition	UNASSIGNED	22576	7485	1.0	
HLA-DMA	protein	actual_aou_composition	GLOBAL_MEAN	22576	22576	1.0	
HLA-DMA	protein	equal_allocation	AFR	22576	3225	0.9995908899767059	
HLA-DMA	protein	equal_allocation	AMR	22576	3004	1.0	
HLA-DMA	protein	equal_allocation	EAS	22576	2438	0.9999999999999999	
HLA-DMA	protein	equal_allocation	EUR	22576	2455	1.0	
HLA-DMA	protein	equal_allocation	MID	22576	588	1.0	
HLA-DMA	protein	equal_allocation	SAS	22576	2208	1.0	
HLA-DMA	protein	equal_allocation	UNASSIGNED	22576	3225	0.9996093087067326	
HLA-DMA	protein	equal_allocation	GLOBAL_MEAN	22576	17143	0.999790769391719	
HLA-DMA	protein	94pct_eur_ukb_like	AFR	22576	3353	0.9996410557104435	
HLA-DMA	protein	94pct_eur_ukb_like	AMR	22576	3004	1.0	
HLA-DMA	protein	94pct_eur_ukb_like	EAS	22576	2438	0.9999999999999999	
HLA-DMA	protein	94pct_eur_ukb_like	EUR	22576	2455	1.0	
HLA-DMA	protein	94pct_eur_ukb_like	MID	22576	588	1.0	
HLA-DMA	protein	94pct_eur_ukb_like	SAS	22576	2208	1.0	
HLA-DMA	protein	94pct_eur_ukb_like	UNASSIGNED	22576	3353	0.999623570588238	
HLA-DMA	protein	94pct_eur_ukb_like	GLOBAL_MEAN	22576	17399	0.9998052705912248	
HLA-DMA	protein	greedy_max_mean_coverage	AFR	22576	4398	1.0	
HLA-DMA	protein	greedy_max_mean_coverage	AMR	22576	3004	1.0	
HLA-DMA	protein	greedy_max_mean_coverage	EAS	22576	2438	0.9999999999999999	
HLA-DMA	protein	greedy_max_mean_coverage	EUR	22576	2455	1.0	
HLA-DMA	protein	greedy_max_mean_coverage	MID	22576	588	1.0	
HLA-DMA	protein	greedy_max_mean_coverage	SAS	22576	2208	1.0	
HLA-DMA	protein	greedy_max_mean_coverage	UNASSIGNED	22576	7485	1.0	
HLA-DMA	protein	greedy_max_mean_coverage	GLOBAL_MEAN	22576	22576	1.0	
HLA-DMB	protein	actual_aou_composition	AFR	22588	4414	1.0	
HLA-DMB	protein	actual_aou_composition	AMR	22588	3020	1.0	
HLA-DMB	protein	actual_aou_composition	EAS	22588	2428	1.0	
HLA-DMB	protein	actual_aou_composition	EUR	22588	2473	1.0	
HLA-DMB	protein	actual_aou_composition	MID	22588	583	1.0	
HLA-DMB	protein	actual_aou_composition	SAS	22588	2211	0.9999999999999999	
HLA-DMB	protein	actual_aou_composition	UNASSIGNED	22588	7459	1.0000000000000002	
