gene	resolution	ancestry	n_haplotypes	frac_in_imgt_today
HLA-DRA	protein	SAS	2174	0.9981600735970562
HLA-DRA	protein	UNASSIGNED	7330	0.9983628922237381
HLA-DRB1	protein	AFR	4308	0.9981429897864438
HLA-DRB1	protein	AMR	2944	1.0
HLA-DRB1	protein	EAS	2366	0.9991546914623838
HLA-DRB1	protein	EUR	2386	0.9983235540653814
HLA-DRB1	protein	MID	566	0.9964664310954063
HLA-DRB1	protein	SAS	2164	1.0
HLA-DRB1	protein	UNASSIGNED	7252	0.999034749034749
HLA-DRB3	protein	AFR	2186	0.9995425434583715
HLA-DRB3	protein	AMR	1068	1.0
HLA-DRB3	protein	EAS	912	1.0
HLA-DRB3	protein	EUR	960	0.996875
HLA-DRB3	protein	MID	284	0.9964788732394366
HLA-DRB3	protein	SAS	844	0.9988151658767772
HLA-DRB3	protein	UNASSIGNED	3265	1.0
HLA-DRB4	protein	AFR	712	1.0
HLA-DRB4	protein	AMR	947	0.9989440337909187
HLA-DRB4	protein	EAS	696	0.9985632183908046
HLA-DRB4	protein	EUR	664	1.0
HLA-DRB4	protein	MID	155	1.0
HLA-DRB4	protein	SAS	466	1.0
HLA-DRB4	protein	UNASSIGNED	1823	0.9994514536478333
HLA-DRB5	protein	AFR	713	0.9985974754558204
HLA-DRB5	protein	AMR	307	0.993485342019544
HLA-DRB5	protein	EAS	447	1.0
HLA-DRB5	protein	EUR	378	1.0
HLA-DRB5	protein	MID	56	1.0
HLA-DRB5	protein	SAS	520	1.0
HLA-DRB5	protein	UNASSIGNED	929	1.0
HLA-E	protein	AFR	4318	0.9965261695229273
HLA-E	protein	AMR	2965	0.9973018549747049
HLA-E	protein	EAS	2358	0.9978795589482612
HLA-E	protein	EUR	2411	0.9991704686851929
HLA-E	protein	MID	563	1.0
HLA-E	protein	SAS	2153	0.9986065954482118
HLA-E	protein	UNASSIGNED	7252	0.9982073910645339
HLA-F	protein	AFR	4349	0.9928719245803633
HLA-F	protein	AMR	2975	0.9926050420168068
HLA-F	protein	EAS	2362	0.9953429297205758
HLA-F	protein	EUR	2393	0.9991642290012537
HLA-F	protein	MID	570	0.9947368421052631
HLA-F	protein	SAS	2163	0.9953767914932964
HLA-F	protein	UNASSIGNED	7288	0.9943743139407245
HLA-G	protein	AFR	4053	0.997039230199852
HLA-G	protein	AMR	2938	0.998638529611981
HLA-G	protein	EAS	2341	0.9953011533532679
HLA-G	protein	EUR	2405	0.997920997920998
HLA-G	protein	MID	546	1.0
HLA-G	protein	SAS	2179	0.9949518127581459
HLA-G	protein	UNASSIGNED	7200	0.99625
HLA-H	protein	AFR	376	1.0
HLA-H	protein	AMR	173	1.0
HLA-H	protein	EAS	31	1.0
HLA-H	protein	EUR	364	1.0
HLA-H	protein	MID	50	1.0
HLA-H	protein	SAS	165	1.0
HLA-H	protein	UNASSIGNED	761	1.0
