gene	resolution	ancestry_ref	ancestry_target	m_ref	cross_coverage	unseen_in_target	is_diagonal
HLA-DQB2	protein	AFR	EAS	584.0	0.9437104211883527	0.0016333194497842873	False
HLA-DQB2	protein	AFR	EUR	584.0	0.9908614888787719	0.002024946952463913	False
HLA-DQB2	protein	AFR	MID	584.0	0.9600544905013629	0.005131118812733204	False
HLA-DQB2	protein	AFR	SAS	584.0	0.913492857667526	0.0013548092051894889	False
HLA-DQB2	protein	AFR	UNASSIGNED	584.0	0.9808447583533979	0.0016052079890513937	False
HLA-DQB2	protein	AMR	AFR	584.0	0.9837409923492136	0.0022577440391096104	False
HLA-DQB2	protein	AMR	AMR	584.0	0.995243233322153	0.002312847962885334	True
HLA-DQB2	protein	AMR	EAS	584.0	0.9904864637952385	0.0016333194497842873	False
HLA-DQB2	protein	AMR	EUR	584.0	0.9951435113680032	0.002024946952463913	False
HLA-DQB2	protein	AMR	MID	584.0	0.9862641857905402	0.005131118812733204	False
HLA-DQB2	protein	AMR	SAS	584.0	0.9907376178070899	0.0013548092051894889	False
HLA-DQB2	protein	AMR	UNASSIGNED	584.0	0.9907210058882148	0.0016052079890513937	False
HLA-DQB2	protein	EAS	AFR	584.0	0.961640748832987	0.0022577440391096104	False
HLA-DQB2	protein	EAS	AMR	584.0	0.987223085272307	0.002312847962885334	False
HLA-DQB2	protein	EAS	EAS	584.0	0.997655290701064	0.0016333194497842873	True
HLA-DQB2	protein	EAS	EUR	584.0	0.9875197512821625	0.002024946952463913	False
HLA-DQB2	protein	EAS	MID	584.0	0.9733406386629395	0.005131118812733204	False
HLA-DQB2	protein	EAS	SAS	584.0	0.9883981074651047	0.0013548092051894889	False
HLA-DQB2	protein	EAS	UNASSIGNED	584.0	0.978078505922706	0.0016052079890513937	False
HLA-DQB2	protein	EUR	AFR	584.0	0.9652869906696049	0.0022577440391096104	False
HLA-DQB2	protein	EUR	AMR	584.0	0.9895708337694178	0.002312847962885334	False
HLA-DQB2	protein	EUR	EAS	584.0	0.98325912372377	0.0016333194497842873	False
HLA-DQB2	protein	EUR	EUR	584.0	0.9964725082829461	0.002024946952463913	True
HLA-DQB2	protein	EUR	MID	584.0	0.9792222641560931	0.005131118812733204	False
HLA-DQB2	protein	EUR	SAS	584.0	0.982209934323717	0.0013548092051894889	False
HLA-DQB2	protein	EUR	UNASSIGNED	584.0	0.9867644281219102	0.0016052079890513937	False
HLA-DQB2	protein	MID	AFR	584.0	0.9907428313389026	0.0022577440391096104	False
HLA-DQB2	protein	MID	AMR	584.0	0.9973562458691342	0.002312847962885334	False
HLA-DQB2	protein	MID	EAS	584.0	0.9922385620915033	0.0016333194497842873	False
HLA-DQB2	protein	MID	EUR	584.0	0.9975688816855753	0.002024946952463913	False
HLA-DQB2	protein	MID	MID	584.0	0.9999999999999999	0.005131118812733204	True
HLA-DQB2	protein	MID	SAS	584.0	0.9936737460460913	0.0013548092051894889	False
HLA-DQB2	protein	MID	UNASSIGNED	584.0	0.9962541806020067	0.0016052079890513937	False
HLA-DQB2	protein	SAS	AFR	584.0	0.9624587397571134	0.0022577440391096104	False
HLA-DQB2	protein	SAS	AMR	584.0	0.9897061820867546	0.002312847962885334	False
HLA-DQB2	protein	SAS	EAS	584.0	0.9918245457130297	0.0016333194497842873	False
HLA-DQB2	protein	SAS	EUR	584.0	0.9956144555240061	0.002024946952463913	False
HLA-DQB2	protein	SAS	MID	584.0	0.9802401197387192	0.005131118812733204	False
HLA-DQB2	protein	SAS	SAS	584.0	0.9976271936722213	0.0013548092051894889	True
HLA-DQB2	protein	SAS	UNASSIGNED	584.0	0.9865652974236536	0.0016052079890513937	False
HLA-DQB2	protein	UNASSIGNED	AFR	584.0	0.9852680582211771	0.0022577440391096104	False
HLA-DQB2	protein	UNASSIGNED	AMR	584.0	0.9951643509704771	0.002312847962885334	False
HLA-DQB2	protein	UNASSIGNED	EAS	584.0	0.9924792078706128	0.0016333194497842873	False
HLA-DQB2	protein	UNASSIGNED	EUR	584.0	0.9968339937689057	0.002024946952463913	False
HLA-DQB2	protein	UNASSIGNED	MID	584.0	0.9919045765061606	0.005131118812733204	False
HLA-DQB2	protein	UNASSIGNED	SAS	584.0	0.993111807972718	0.0013548092051894889	False
HLA-DQB2	protein	UNASSIGNED	UNASSIGNED	584.0	0.9941834464615529	0.0016052079890513937	True
HLA-DRA	protein	AFR	AFR	581.0	0.9970196019170018	0.0018496040444048178	True
HLA-DRA	protein	AFR	AMR	581.0	0.9981523195242218	0.001343860162654531	False
HLA-DRA	protein	AFR	EAS	581.0	0.9930006901178613	0.0041785056203520465	False
HLA-DRA	protein	AFR	EUR	581.0	0.9986633557021095	0.0004111840713147963	False
HLA-DRA	protein	AFR	MID	581.0	1.0	0.0	False
HLA-DRA	protein	AFR	SAS	581.0	0.9972401103955841	0.0018395031394511374	False
HLA-DRA	protein	AFR	UNASSIGNED	581.0	0.9981229408763826	0.0010913679564505951	False
HLA-DRA	protein	AMR	AFR	581.0	0.9943252152892965	0.0018496040444048178	False
HLA-DRA	protein	AMR	AMR	581.0	0.9983815176014222	0.001343860162654531	True
HLA-DRA	protein	AMR	EAS	581.0	0.9920591594917826	0.0041785056203520465	False
HLA-DRA	protein	AMR	EUR	581.0	0.9987562271365241	0.0004111840713147963	False
HLA-DRA	protein	AMR	MID	581.0	0.9999178434093651	0.0	False
HLA-DRA	protein	AMR	SAS	581.0	0.9971522852269387	0.0018395031394511374	False
HLA-DRA	protein	AMR	UNASSIGNED	581.0	0.9975207768200679	0.0010913679564505951	False
HLA-DRA	protein	EAS	AFR	581.0	0.995256782185035	0.0018496040444048178	False
HLA-DRA	protein	EAS	AMR	581.0	0.9981470372816786	0.001343860162654531	False
HLA-DRA	protein	EAS	EAS	581.0	0.9964194039339911	0.0041785056203520465	True
HLA-DRA	protein	EAS	EUR	581.0	0.9986536520269192	0.0004111840713147963	False
HLA-DRA	protein	EAS	MID	581.0	1.0	0.0	False
HLA-DRA	protein	EAS	SAS	581.0	0.9980291390278172	0.0018395031394511374	False
HLA-DRA	protein	EAS	UNASSIGNED	581.0	0.9980980361964513	0.0010913679564505951	False
HLA-DRA	protein	EUR	AFR	581.0	0.9796773786751617	0.0018496040444048178	False
HLA-DRA	protein	EUR	AMR	581.0	0.9967336221198835	0.001343860162654531	False
HLA-DRA	protein	EUR	EAS	581.0	0.9773751171628575	0.0041785056203520465	False
HLA-DRA	protein	EUR	EUR	581.0	0.9986190478598056	0.0004111840713147963	True
HLA-DRA	protein	EUR	MID	581.0	0.9986846663845976	0.0	False
HLA-DRA	protein	EUR	SAS	581.0	0.9958340223908946	0.0018395031394511374	False
HLA-DRA	protein	EUR	UNASSIGNED	581.0	0.9937326559373348	0.0010913679564505951	False
HLA-DRA	protein	MID	AFR	581.0	0.9951445086705203	0.0018496040444048178	False
HLA-DRA	protein	MID	AMR	581.0	0.9979838709677419	0.001343860162654531	False
HLA-DRA	protein	MID	EAS	581.0	0.992895946510656	0.0041785056203520465	False
HLA-DRA	protein	MID	EUR	581.0	0.9983539094650206	0.0004111840713147963	False
HLA-DRA	protein	MID	MID	581.0	1.0	0.0	True
HLA-DRA	protein	MID	SAS	581.0	0.9972401103955841	0.0018395031394511374	False
HLA-DRA	protein	MID	UNASSIGNED	581.0	0.9976807639836289	0.0010913679564505951	False
HLA-DRA	protein	SAS	AFR	581.0	0.9936817552536623	0.0018496040444048178	False
HLA-DRA	protein	SAS	AMR	581.0	0.9978325961474187	0.001343860162654531	False
HLA-DRA	protein	SAS	EAS	581.0	0.9927853708927221	0.0041785056203520465	False
HLA-DRA	protein	SAS	EUR	581.0	0.9983051555268266	0.0004111840713147963	False
HLA-DRA	protein	SAS	MID	581.0	0.9998776536284223	0.0	False
HLA-DRA	protein	SAS	SAS	581.0	0.9980271377009686	0.0018395031394511374	True
HLA-DRA	protein	SAS	UNASSIGNED	581.0	0.9974888893296685	0.0010913679564505951	False
HLA-DRA	protein	UNASSIGNED	AFR	581.0	0.9957320168327177	0.0018496040444048178	False
HLA-DRA	protein	UNASSIGNED	AMR	581.0	0.9980858473855347	0.001343860162654531	False
HLA-DRA	protein	UNASSIGNED	EAS	581.0	0.9935982172551399	0.0041785056203520465	False
HLA-DRA	protein	UNASSIGNED	EUR	581.0	0.9985417661234303	0.0004111840713147963	False
HLA-DRA	protein	UNASSIGNED	MID	581.0	0.9999997211811825	0.0	False
HLA-DRA	protein	UNASSIGNED	SAS	581.0	0.9974417142568386	0.0018395031394511374	False
HLA-DRA	protein	UNASSIGNED	UNASSIGNED	581.0	0.9980513077522786	0.0010913679564505951	True
HLA-DRB1	protein	AFR	AFR	566.0	0.9861800125294639	0.003945284570301522	True
HLA-DRB1	protein	AFR	AMR	566.0	0.7755226746744577	0.004415299247541915	False
HLA-DRB1	protein	AFR	EAS	566.0	0.7937232353463418	0.007605275690797164	False
HLA-DRB1	protein	AFR	EUR	566.0	0.9549124027294252	0.006704378208451711	False
HLA-DRB1	protein	AFR	MID	566.0	0.8765787288111309	0.008802762041866918	False
HLA-DRB1	protein	AFR	SAS	566.0	0.8329345741681772	0.004618509808664295	False
HLA-DRB1	protein	AFR	UNASSIGNED	566.0	0.8982712675539891	0.0037228446455996878	False
HLA-DRB1	protein	AMR	AFR	566.0	0.9854233001870102	0.003945284570301522	False
HLA-DRB1	protein	AMR	AMR	566.0	0.9890028723987939	0.004415299247541915	True
HLA-DRB1	protein	AMR	EAS	566.0	0.8552833550812861	0.007605275690797164	False
HLA-DRB1	protein	AMR	EUR	566.0	0.9859009206666843	0.006704378208451711	False
HLA-DRB1	protein	AMR	MID	566.0	0.9727188754005273	0.008802762041866918	False
HLA-DRB1	protein	AMR	SAS	566.0	0.9054953405903327	0.004618509808664295	False
HLA-DRB1	protein	AMR	UNASSIGNED	566.0	0.9799071514159278	0.0037228446455996878	False
HLA-DRB1	protein	EAS	AFR	566.0	0.6074864659789104	0.003945284570301522	False
HLA-DRB1	protein	EAS	AMR	566.0	0.7557985294372813	0.004415299247541915	False
HLA-DRB1	protein	EAS	EAS	566.0	0.986275094201148	0.007605275690797164	True
HLA-DRB1	protein	EAS	EUR	566.0	0.8958562039802402	0.006704378208451711	False
HLA-DRB1	protein	EAS	MID	566.0	0.7686329209479694	0.008802762041866918	False
HLA-DRB1	protein	EAS	SAS	566.0	0.9467330230993527	0.004618509808664295	False
HLA-DRB1	protein	EAS	UNASSIGNED	566.0	0.7540406018033415	0.0037228446455996878	False
HLA-DRB1	protein	EUR	AFR	566.0	0.7505290675649581	0.003945284570301522	False
HLA-DRB1	protein	EUR	AMR	566.0	0.7688970532509306	0.004415299247541915	False
HLA-DRB1	protein	EUR	EAS	566.0	0.7760947319796625	0.007605275690797164	False
HLA-DRB1	protein	EUR	EUR	566.0	0.9891110549323864	0.006704378208451711	True
HLA-DRB1	protein	EUR	MID	566.0	0.9452433661339507	0.008802762041866918	False
HLA-DRB1	protein	EUR	SAS	566.0	0.8857643910916183	0.004618509808664295	False
HLA-DRB1	protein	EUR	UNASSIGNED	566.0	0.9009599158424108	0.0037228446455996878	False
HLA-DRB1	protein	MID	AFR	566.0	0.9700557103064068	0.003945284570301522	False
HLA-DRB1	protein	MID	AMR	566.0	0.7741168478260867	0.004415299247541915	False
HLA-DRB1	protein	MID	EAS	566.0	0.7447168216398985	0.007605275690797164	False
HLA-DRB1	protein	MID	EUR	566.0	0.9769488683989942	0.006704378208451711	False
HLA-DRB1	protein	MID	MID	566.0	1.0	0.008802762041866918	True
HLA-DRB1	protein	MID	SAS	566.0	0.925600739371534	0.004618509808664295	False
HLA-DRB1	protein	MID	UNASSIGNED	566.0	0.9509100937672366	0.0037228446455996878	False
HLA-DRB1	protein	SAS	AFR	566.0	0.7402585528348562	0.003945284570301522	False
HLA-DRB1	protein	SAS	AMR	566.0	0.7366920247791326	0.004415299247541915	False
HLA-DRB1	protein	SAS	EAS	566.0	0.9517640905787275	0.007605275690797164	False
HLA-DRB1	protein	SAS	EUR	566.0	0.9429686890357206	0.006704378208451711	False
HLA-DRB1	protein	SAS	MID	566.0	0.913070902762759	0.008802762041866918	False
HLA-DRB1	protein	SAS	SAS	566.0	0.986419754978288	0.004618509808664295	True
HLA-DRB1	protein	SAS	UNASSIGNED	566.0	0.8633035023855478	0.0037228446455996878	False
HLA-DRB1	protein	UNASSIGNED	AFR	566.0	0.9871404347801211	0.003945284570301522	False
HLA-DRB1	protein	UNASSIGNED	AMR	566.0	0.9607718092743756	0.004415299247541915	False
HLA-DRB1	protein	UNASSIGNED	EAS	566.0	0.9334346781693356	0.007605275690797164	False
HLA-DRB1	protein	UNASSIGNED	EUR	566.0	0.9916534775279346	0.006704378208451711	False
HLA-DRB1	protein	UNASSIGNED	MID	566.0	0.9843035275658466	0.008802762041866918	False
HLA-DRB1	protein	UNASSIGNED	SAS	566.0	0.9479412601099362	0.004618509808664295	False
HLA-DRB1	protein	UNASSIGNED	UNASSIGNED	566.0	0.9860076711031011	0.0037228446455996878	True
HLA-DRB3	protein	AFR	AFR	284.0	0.9980098757040824	0.0022868640602597967	True
HLA-DRB3	protein	AFR	AMR	284.0	0.9954399978069521	0.0028072347904176675	False
HLA-DRB3	protein	AFR	EAS	284.0	0.9978070175438596	0.0	False
HLA-DRB3	protein	AFR	EUR	284.0	0.9885416666666667	0.004164495396908108	False
HLA-DRB3	protein	AFR	MID	284.0	0.9612676056338028	0.007017456853798842	False
HLA-DRB3	protein	AFR	SAS	284.0	0.9928909952606635	0.004736527164797999	False
HLA-DRB3	protein	AFR	UNASSIGNED	284.0	0.9911577083178637	0.0015312059203627104	False
HLA-DRB3	protein	AMR	AFR	284.0	0.997739850053663	0.0022868640602597967	False
HLA-DRB3	protein	AMR	AMR	284.0	0.9969130596050345	0.0028072347904176675	True
HLA-DRB3	protein	AMR	EAS	284.0	0.9978070175438596	0.0	False
HLA-DRB3	protein	AMR	EUR	284.0	0.9923851034254201	0.004164495396908108	False
HLA-DRB3	protein	AMR	MID	284.0	0.9758811855651249	0.007017456853798842	False
HLA-DRB3	protein	AMR	SAS	284.0	0.9939841373988866	0.004736527164797999	False
HLA-DRB3	protein	AMR	UNASSIGNED	284.0	0.9944465190031435	0.0015312059203627104	False
HLA-DRB3	protein	EAS	AFR	284.0	0.8714547118023788	0.0022868640602597967	False
HLA-DRB3	protein	EAS	AMR	284.0	0.9737827715355806	0.0028072347904176675	False
HLA-DRB3	protein	EAS	EAS	284.0	0.9989606803782234	0.0	True
HLA-DRB3	protein	EAS	EUR	284.0	0.9874999999999999	0.004164495396908108	False
HLA-DRB3	protein	EAS	MID	284.0	0.954225352112676	0.007017456853798842	False
HLA-DRB3	protein	EAS	SAS	284.0	0.9928909952606635	0.004736527164797999	False
HLA-DRB3	protein	EAS	UNASSIGNED	284.0	0.9589586523736601	0.0015312059203627104	False
HLA-DRB3	protein	EUR	AFR	284.0	0.9088060384264159	0.0022868640602597967	False
HLA-DRB3	protein	EUR	AMR	284.0	0.9819145564832604	0.0028072347904176675	False
HLA-DRB3	protein	EUR	EAS	284.0	0.9978070175438596	0.0	False
HLA-DRB3	protein	EUR	EUR	284.0	0.9965683874615716	0.004164495396908108	True
HLA-DRB3	protein	EUR	MID	284.0	0.98610660255339	0.007017456853798842	False
HLA-DRB3	protein	EUR	SAS	284.0	0.9951191702102409	0.004736527164797999	False
HLA-DRB3	protein	EUR	UNASSIGNED	284.0	0.9748082316177433	0.0015312059203627104	False
HLA-DRB3	protein	MID	AFR	284.0	0.9977127172918572	0.0022868640602597967	False
HLA-DRB3	protein	MID	AMR	284.0	0.9971910112359551	0.0028072347904176675	False
HLA-DRB3	protein	MID	EAS	284.0	0.9978070175438596	0.0	False
HLA-DRB3	protein	MID	EUR	284.0	0.996875	0.004164495396908108	False
HLA-DRB3	protein	MID	MID	284.0	1.0	0.007017456853798842	True
HLA-DRB3	protein	MID	SAS	284.0	0.995260663507109	0.004736527164797999	False
HLA-DRB3	protein	MID	UNASSIGNED	284.0	0.9978560490045941	0.0015312059203627104	False
HLA-DRB3	protein	SAS	AFR	284.0	0.8714547118023788	0.0022868640602597967	False
HLA-DRB3	protein	SAS	AMR	284.0	0.9748315040497999	0.0028072347904176675	False
HLA-DRB3	protein	SAS	EAS	284.0	0.9978070175438596	0.0	False
HLA-DRB3	protein	SAS	EUR	284.0	0.9921668596882757	0.004164495396908108	False
HLA-DRB3	protein	SAS	MID	284.0	0.971972565011753	0.007017456853798842	False
HLA-DRB3	protein	SAS	SAS	284.0	0.9958128174042239	0.004736527164797999	True
HLA-DRB3	protein	SAS	UNASSIGNED	284.0	0.9629382834177757	0.0015312059203627104	False
HLA-DRB3	protein	UNASSIGNED	AFR	284.0	0.9977449093450852	0.0022868640602597967	False
HLA-DRB3	protein	UNASSIGNED	AMR	284.0	0.9971757699412331	0.0028072347904176675	False
HLA-DRB3	protein	UNASSIGNED	EAS	284.0	0.9978070175438596	0.0	False
HLA-DRB3	protein	UNASSIGNED	EUR	284.0	0.9957570158412746	0.004164495396908108	False
HLA-DRB3	protein	UNASSIGNED	MID	284.0	0.9887060719924555	0.007017456853798842	False
HLA-DRB3	protein	UNASSIGNED	SAS	284.0	0.9951488923669882	0.004736527164797999	False
HLA-DRB3	protein	UNASSIGNED	UNASSIGNED	284.0	0.9971853392717088	0.0015312059203627104	True
HLA-DRB4	protein	AFR	AFR	155.0	1.0	0.0	True
HLA-DRB4	protein	AFR	AMR	155.0	0.9989440337909187	0.001053738432268858	False
HLA-DRB4	protein	AFR	EAS	155.0	0.9870689655172413	0.0014326588499150583	False
HLA-DRB4	protein	AFR	EUR	155.0	0.9969879518072289	0.0030075119756133306	False
HLA-DRB4	protein	AFR	MID	155.0	0.9935483870967743	0.006368899917287063	False
HLA-DRB4	protein	AFR	SAS	155.0	0.997854077253219	0.0021367324994715498	False
HLA-DRB4	protein	AFR	UNASSIGNED	155.0	0.9961601755348327	0.001645037140239669	False
HLA-DRB4	protein	AMR	AFR	155.0	1.0	0.0	False
HLA-DRB4	protein	AMR	AMR	155.0	0.9991168688093013	0.001053738432268858	True
HLA-DRB4	protein	AMR	EAS	155.0	0.9870689655172413	0.0014326588499150583	False
HLA-DRB4	protein	AMR	EUR	155.0	0.9969879518072289	0.0030075119756133306	False
HLA-DRB4	protein	AMR	MID	155.0	0.9935483870967743	0.006368899917287063	False
HLA-DRB4	protein	AMR	SAS	155.0	0.997854077253219	0.0021367324994715498	False
HLA-DRB4	protein	AMR	UNASSIGNED	155.0	0.9961601755348327	0.001645037140239669	False
HLA-DRB4	protein	EAS	AFR	155.0	0.7977518036320346	0.0	False
HLA-DRB4	protein	EAS	AMR	155.0	0.9053306161791759	0.001053738432268858	False
HLA-DRB4	protein	EAS	EAS	155.0	0.9932363079889863	0.0014326588499150583	True
HLA-DRB4	protein	EAS	EUR	155.0	0.8816058489002966	0.0030075119756133306	False
HLA-DRB4	protein	EAS	MID	155.0	0.9501669799918541	0.006368899917287063	False
HLA-DRB4	protein	EAS	SAS	155.0	0.9904705704772079	0.0021367324994715498	False
HLA-DRB4	protein	EAS	UNASSIGNED	155.0	0.886205253037951	0.001645037140239669	False
HLA-DRB4	protein	EUR	AFR	155.0	1.0	0.0	False
HLA-DRB4	protein	EUR	AMR	155.0	0.9989440337909187	0.001053738432268858	False
HLA-DRB4	protein	EUR	EAS	155.0	0.9890813253012091	0.0014326588499150583	False
HLA-DRB4	protein	EUR	EUR	155.0	0.9976910654666875	0.0030075119756133306	True
HLA-DRB4	protein	EUR	MID	155.0	0.995054411193163	0.006368899917287063	False
HLA-DRB4	protein	EUR	SAS	155.0	0.9983550080148933	0.0021367324994715498	False
HLA-DRB4	protein	EUR	UNASSIGNED	155.0	0.9966723724299292	0.001645037140239669	False
HLA-DRB4	protein	MID	AFR	155.0	1.0	0.0	False
HLA-DRB4	protein	MID	AMR	155.0	0.9989440337909187	0.001053738432268858	False
HLA-DRB4	protein	MID	EAS	155.0	0.9956896551724138	0.0014326588499150583	False
HLA-DRB4	protein	MID	EUR	155.0	0.9984939759036144	0.0030075119756133306	False
HLA-DRB4	protein	MID	MID	155.0	1.0	0.006368899917287063	True
HLA-DRB4	protein	MID	SAS	155.0	1.0	0.0021367324994715498	False
HLA-DRB4	protein	MID	UNASSIGNED	155.0	0.9983543609434997	0.001645037140239669	False
HLA-DRB4	protein	SAS	AFR	155.0	0.989109475992793	0.0	False
HLA-DRB4	protein	SAS	AMR	155.0	0.9939032018319403	0.001053738432268858	False
HLA-DRB4	protein	SAS	EAS	155.0	0.989827493748148	0.0014326588499150583	False
HLA-DRB4	protein	SAS	EUR	155.0	0.9912125454924205	0.0030075119756133306	False
HLA-DRB4	protein	SAS	MID	155.0	0.9930870838376697	0.006368899917287063	False
HLA-DRB4	protein	SAS	SAS	155.0	0.9980800440093626	0.0021367324994715498	True
HLA-DRB4	protein	SAS	UNASSIGNED	155.0	0.9908769699750446	0.001645037140239669	False
HLA-DRB4	protein	UNASSIGNED	AFR	155.0	1.0	0.0	False
HLA-DRB4	protein	UNASSIGNED	AMR	155.0	0.9989440337909187	0.001053738432268858	False
HLA-DRB4	protein	UNASSIGNED	EAS	155.0	0.9896495219621334	0.0014326588499150583	False
HLA-DRB4	protein	UNASSIGNED	EUR	155.0	0.9974387719090474	0.0030075119756133306	False
HLA-DRB4	protein	UNASSIGNED	MID	155.0	0.995479642242629	0.006368899917287063	False
HLA-DRB4	protein	UNASSIGNED	SAS	155.0	0.9984964475270547	0.0021367324994715498	False
HLA-DRB4	protein	UNASSIGNED	UNASSIGNED	155.0	0.9969569129150847	0.001645037140239669	True
HLA-DRB5	protein	AFR	AFR	56.0	0.9780069367130942	0.005606161265716891	True
HLA-DRB5	protein	AFR	AMR	56.0	0.8006276821732256	0.0064934375961548385	False
HLA-DRB5	protein	AFR	EAS	56.0	0.8122100376249767	0.0067013923670239395	False
HLA-DRB5	protein	AFR	EUR	56.0	0.9185605187101812	0.005277007922510513	False
HLA-DRB5	protein	AFR	MID	56.0	0.6023684901846496	0.017230576441102707	False
HLA-DRB5	protein	AFR	SAS	56.0	0.6070706280404023	0.0	False
HLA-DRB5	protein	AFR	UNASSIGNED	56.0	0.814580951904013	0.0	False
HLA-DRB5	protein	AMR	AFR	56.0	0.9610276300342564	0.005606161265716891	False
HLA-DRB5	protein	AMR	AMR	56.0	0.9838154053586697	0.0064934375961548385	True
HLA-DRB5	protein	AMR	EAS	56.0	0.9565220239332037	0.0067013923670239395	False
HLA-DRB5	protein	AMR	EUR	56.0	0.9857392436087736	0.005277007922510513	False
HLA-DRB5	protein	AMR	MID	56.0	0.9816794744321611	0.017230576441102707	False
HLA-DRB5	protein	AMR	SAS	56.0	0.9768859933389369	0.0	False
HLA-DRB5	protein	AMR	UNASSIGNED	56.0	0.9875615128678106	0.0	False
HLA-DRB5	protein	EAS	AFR	56.0	0.9121359728564111	0.005606161265716891	False
HLA-DRB5	protein	EAS	AMR	56.0	0.9235233374924441	0.0064934375961548385	False
HLA-DRB5	protein	EAS	EAS	56.0	0.9776955388181157	0.0067013923670239395	True
HLA-DRB5	protein	EAS	EUR	56.0	0.9720488831799161	0.005277007922510513	False
HLA-DRB5	protein	EAS	MID	56.0	0.9741546576889346	0.017230576441102707	False
HLA-DRB5	protein	EAS	SAS	56.0	0.9843036223318833	0.0	False
HLA-DRB5	protein	EAS	UNASSIGNED	56.0	0.9587936270678189	0.0	False
HLA-DRB5	protein	EUR	AFR	56.0	0.9141718038151087	0.005606161265716891	False
HLA-DRB5	protein	EUR	AMR	56.0	0.964758129008592	0.0064934375961548385	False
HLA-DRB5	protein	EUR	EAS	56.0	0.9436616761707066	0.0067013923670239395	False
HLA-DRB5	protein	EUR	EUR	56.0	0.9862355529583857	0.005277007922510513	True
HLA-DRB5	protein	EUR	MID	56.0	0.9420968721913444	0.017230576441102707	False
HLA-DRB5	protein	EUR	SAS	56.0	0.9435176832887918	0.0	False
HLA-DRB5	protein	EUR	UNASSIGNED	56.0	0.9660797011430258	0.0	False
HLA-DRB5	protein	MID	AFR	56.0	0.9186535764375876	0.005606161265716891	False
HLA-DRB5	protein	MID	AMR	56.0	0.9739413680781759	0.0064934375961548385	False
HLA-DRB5	protein	MID	EAS	56.0	0.9574944071588367	0.0067013923670239395	False
HLA-DRB5	protein	MID	EUR	56.0	0.9841269841269842	0.005277007922510513	False
HLA-DRB5	protein	MID	MID	56.0	1.0	0.017230576441102707	True
HLA-DRB5	protein	MID	SAS	56.0	0.9788461538461538	0.0	False
HLA-DRB5	protein	MID	UNASSIGNED	56.0	0.977395048439182	0.0	False
HLA-DRB5	protein	SAS	AFR	56.0	0.9122384042717883	0.005606161265716891	False
HLA-DRB5	protein	SAS	AMR	56.0	0.9157379704296298	0.0064934375961548385	False
HLA-DRB5	protein	SAS	EAS	56.0	0.9640574181887578	0.0067013923670239395	False
HLA-DRB5	protein	SAS	EUR	56.0	0.9728547339672553	0.005277007922510513	False
HLA-DRB5	protein	SAS	MID	56.0	0.9726836300251341	0.017230576441102707	False
HLA-DRB5	protein	SAS	SAS	56.0	0.9836761979218447	0.0	True
HLA-DRB5	protein	SAS	UNASSIGNED	56.0	0.9572105246418467	0.0	False
HLA-DRB5	protein	UNASSIGNED	AFR	56.0	0.9583541207188068	0.005606161265716891	False
HLA-DRB5	protein	UNASSIGNED	AMR	56.0	0.9815226983471265	0.0064934375961548385	False
HLA-DRB5	protein	UNASSIGNED	EAS	56.0	0.9581768396264596	0.0067013923670239395	False
HLA-DRB5	protein	UNASSIGNED	EUR	56.0	0.9873999950976708	0.005277007922510513	False
HLA-DRB5	protein	UNASSIGNED	MID	56.0	0.9821100761880298	0.017230576441102707	False
HLA-DRB5	protein	UNASSIGNED	SAS	56.0	0.9818218490962008	0.0	False
HLA-DRB5	protein	UNASSIGNED	UNASSIGNED	56.0	0.9892031104669127	0.0	True
HLA-E	protein	AFR	AFR	563.0	0.9941194577237531	0.003473723188888389	True
HLA-E	protein	AFR	AMR	563.0	0.9948412576330609	0.003709721847405145	False
HLA-E	protein	AFR	EAS	563.0	0.9761712575560091	0.0025438097571347518	False
HLA-E	protein	AFR	EUR	563.0	0.9860189083534254	0.0012439528635347363	False
HLA-E	protein	AFR	MID	563.0	0.998664179560239	0.0017699003564994875	False
HLA-E	protein	AFR	SAS	563.0	0.9928002965427898	0.0027863775085471554	False
HLA-E	protein	AFR	UNASSIGNED	563.0	0.9918967229993411	0.0023441428820257793	False
HLA-E	protein	AMR	AFR	563.0	0.9857737020219087	0.003473723188888389	False
HLA-E	protein	AMR	AMR	563.0	0.9947237446506134	0.003709721847405145	True
HLA-E	protein	AMR	EAS	563.0	0.9741895557479525	0.0025438097571347518	False
HLA-E	protein	AMR	EUR	563.0	0.9856666336939761	0.0012439528635347363	False
HLA-E	protein	AMR	MID	563.0	0.9979691497803017	0.0017699003564994875	False
HLA-E	protein	AMR	SAS	563.0	0.9923026769796388	0.0027863775085471554	False
HLA-E	protein	AMR	UNASSIGNED	563.0	0.9902929963919443	0.0023441428820257793	False
HLA-E	protein	EAS	AFR	563.0	0.9749754718173295	0.003473723188888389	False
HLA-E	protein	EAS	AMR	563.0	0.99112390327968	0.003709721847405145	False
HLA-E	protein	EAS	EAS	563.0	0.9970106251057215	0.0025438097571347518	True
HLA-E	protein	EAS	EUR	563.0	0.9804097409311283	0.0012439528635347363	False
HLA-E	protein	EAS	MID	563.0	0.9961655179611466	0.0017699003564994875	False
HLA-E	protein	EAS	SAS	563.0	0.9916725914627594	0.0027863775085471554	False
HLA-E	protein	EAS	UNASSIGNED	563.0	0.9872684030491862	0.0023441428820257793	False
HLA-E	protein	EUR	AFR	563.0	0.9813241363625053	0.003473723188888389	False
