gene	resolution	ancestry_ref	ancestry_target	m_ref	cross_coverage	unseen_in_target	is_diagonal
HLA-B	protein	EAS	EAS	580.0	0.980505323543645	0.009727482601489146	True
HLA-B	protein	EAS	EUR	580.0	0.869217570175646	0.009462310622671444	False
HLA-B	protein	EAS	MID	580.0	0.6248347663485976	0.029298438523198023	False
HLA-B	protein	EAS	SAS	580.0	0.9130937612612506	0.007336924211702622	False
HLA-B	protein	EAS	UNASSIGNED	580.0	0.7002287434685412	0.008728338902187605	False
HLA-B	protein	EUR	AFR	580.0	0.650571634294179	0.00786587171602493	False
HLA-B	protein	EUR	AMR	580.0	0.7564437144316555	0.009748689292209844	False
HLA-B	protein	EUR	EAS	580.0	0.5071634997704365	0.009727482601489146	False
HLA-B	protein	EUR	EUR	580.0	0.9835814307048265	0.009462310622671444	True
HLA-B	protein	EUR	MID	580.0	0.8947383645740654	0.029298438523198023	False
HLA-B	protein	EUR	SAS	580.0	0.8105060779125447	0.007336924211702622	False
HLA-B	protein	EUR	UNASSIGNED	580.0	0.8589502881039147	0.008728338902187605	False
HLA-B	protein	MID	AFR	580.0	0.9250347061545581	0.00786587171602493	False
HLA-B	protein	MID	AMR	580.0	0.7686617350369872	0.009748689292209844	False
HLA-B	protein	MID	EAS	580.0	0.5046531302876479	0.009727482601489146	False
HLA-B	protein	MID	EUR	580.0	0.9806584362139917	0.009462310622671444	False
HLA-B	protein	MID	MID	580.0	0.9999999999999996	0.029298438523198023	True
HLA-B	protein	MID	SAS	580.0	0.896788990825688	0.007336924211702622	False
HLA-B	protein	MID	UNASSIGNED	580.0	0.9323513366066556	0.008728338902187605	False
HLA-B	protein	SAS	AFR	580.0	0.525267673597061	0.00786587171602493	False
HLA-B	protein	SAS	AMR	580.0	0.6931827545606182	0.009748689292209844	False
HLA-B	protein	SAS	EAS	580.0	0.7136399849781957	0.009727482601489146	False
HLA-B	protein	SAS	EUR	580.0	0.9375673110672479	0.009462310622671444	False
HLA-B	protein	SAS	MID	580.0	0.8202068274762666	0.029298438523198023	False
HLA-B	protein	SAS	SAS	580.0	0.9848611157808529	0.007336924211702622	True
HLA-B	protein	SAS	UNASSIGNED	580.0	0.7877268164396046	0.008728338902187605	False
HLA-B	protein	UNASSIGNED	AFR	580.0	0.9548722899346342	0.00786587171602493	False
HLA-B	protein	UNASSIGNED	AMR	580.0	0.897498797550178	0.009748689292209844	False
HLA-B	protein	UNASSIGNED	EAS	580.0	0.7480526657095334	0.009727482601489146	False
HLA-B	protein	UNASSIGNED	EUR	580.0	0.9843354909982786	0.009462310622671444	False
HLA-B	protein	UNASSIGNED	MID	580.0	0.9514973998049893	0.029298438523198023	False
HLA-B	protein	UNASSIGNED	SAS	580.0	0.9232221581213526	0.007336924211702622	False
HLA-B	protein	UNASSIGNED	UNASSIGNED	580.0	0.9625996846041855	0.008728338902187605	True
HLA-C	protein	AFR	AFR	567.0	0.988178504294259	0.005738577789294208	True
HLA-C	protein	AFR	AMR	567.0	0.932336037241399	0.00475151491683623	False
HLA-C	protein	AFR	EAS	567.0	0.8453509031744131	0.005107831700426058	False
HLA-C	protein	AFR	EUR	567.0	0.9797721397380513	0.00747439299573005	False
HLA-C	protein	AFR	MID	567.0	0.9021260124229907	0.010563347424017655	False
HLA-C	protein	AFR	SAS	567.0	0.8572873451900416	0.0069648651179503585	False
HLA-C	protein	AFR	UNASSIGNED	567.0	0.9502564312896935	0.0054905836283482	False
HLA-C	protein	AMR	AFR	567.0	0.9728762208222795	0.005738577789294208	False
HLA-C	protein	AMR	AMR	567.0	0.9884487718487396	0.00475151491683623	True
HLA-C	protein	AMR	EAS	567.0	0.9318068540801676	0.005107831700426058	False
HLA-C	protein	AMR	EUR	567.0	0.9897809112306776	0.00747439299573005	False
