fst	gst_prime	hs	ht	n_pops	gene	ancestries	min_n_disp
0.03254086213857294	0.41729425500395406	0.9078602857399075	0.9383965174454157	6	A	AFR,AMR,EAS,EUR,MID,SAS	579
0.02004660511732735	0.5183969169637067	0.9539516866538957	0.9734663828253893	6	B	AFR,AMR,EAS,EUR,MID,SAS	579
0.02193486824483262	0.308986158436591	0.9160047904597873	0.9365478440234232	6	C	AFR,AMR,EAS,EUR,MID,SAS	571
0.13074239646125296	0.3063045000725959	0.528081005460548	0.6075080658607191	6	DPA1	AFR,AMR,EAS,EUR,MID,SAS	590
0.07093037295671062	0.48303775266715093	0.8288166357244923	0.8920931344641558	6	DPB1	AFR,AMR,EAS,EUR,MID,SAS	580
0.028454581110892024	0.2704248953409228	0.8763363201123051	0.9020024211676407	6	DQA1	AFR,AMR,EAS,EUR,MID,SAS	588
0.030800091959575376	0.3135729614452303	0.8844031967852802	0.9125085438497508	6	DQB1	AFR,AMR,EAS,EUR,MID,SAS	580
0.025198680582912376	0.44374564936962674	0.9326216546317905	0.9567299880035864	6	DRB1	AFR,AMR,EAS,EUR,MID,SAS	574
0.0516114278723365	0.1396927020358766	0.5871498279380365	0.6191025969669737	6	DRB3	AFR,AMR,EAS,EUR,MID,SAS	284
0.14630893882417176	0.2068561242971398	0.25642775232179815	0.3003753512056321	6	DRB4	AFR,AMR,EAS,EUR,MID,SAS	167
0.16462695858105925	0.2804185500113692	0.36007614749860867	0.43103635100193516	5	DRB5	AFR,AMR,EAS,EUR,SAS	306
0.010029466660651389	0.02251445024370849	0.5091683786747276	0.5143268021899714	6	E	AFR,AMR,EAS,EUR,MID,SAS	568
0.036420950266827935	0.04914776111721774	0.22552491250779225	0.23404920703728782	6	F	AFR,AMR,EAS,EUR,MID,SAS	576
0.02763861972237637	0.0587446164755824	0.48397174507587537	0.4977282673831557	6	G	AFR,AMR,EAS,EUR,MID,SAS	554
0.014074598501145714	0.02887698492916937	0.46707153139330254	0.4737392207191705	6	DRA	AFR,AMR,EAS,EUR,MID,SAS	587
