gene	category	ancestry	n_haplotypes_observed	factor	n_haplotypes_target	S_obs	extrapolated_richness	additional_alleles_projected
HLA-B	all	SAS	2449	5	12245	251	536.03	285.03
HLA-B	all	SAS	2449	10	24490	251	604.77	353.77
HLA-B	all	POOLED	23630	2	47260	1431	2322.31	891.31
HLA-B	all	POOLED	23630	5	118150	1431	4134.53	2703.53
HLA-B	all	POOLED	23630	10	236300	1431	5521.55	4090.55
HLA-B	known	AFR	5141	2	10282	227	275.21	48.21
HLA-B	known	AFR	5141	5	25705	227	303.43	76.43
HLA-B	known	AFR	5141	10	51410	227	305.1	78.1
HLA-B	known	AMR	4662	2	9324	262	324.25	62.25
HLA-B	known	AMR	4662	5	23310	262	381.75	119.75
HLA-B	known	AMR	4662	10	46620	262	390.65	128.65
HLA-B	known	EAS	2501	2	5002	156	187.9	31.9
HLA-B	known	EAS	2501	5	12505	156	212.19	56.19
HLA-B	known	EAS	2501	10	25010	156	214.7	58.7
HLA-B	known	EUR	5304	2	10608	225	298.15	73.15
HLA-B	known	EUR	5304	5	26520	225	379.1	154.1
HLA-B	known	EUR	5304	10	53040	225	397.27	172.27
HLA-B	known	MID	848	2	1696	110	130.07	20.07
HLA-B	known	MID	848	5	4240	110	139.83	29.83
HLA-B	known	MID	848	10	8480	110	140.21	30.21
HLA-B	known	SAS	2129	2	4258	135	169.41	34.41
HLA-B	known	SAS	2129	5	10645	135	194.93	59.93
HLA-B	known	SAS	2129	10	21290	135	197.42	62.42
HLA-B	known	POOLED	20625	2	41250	502	619.55	117.55
HLA-B	known	POOLED	20625	5	103125	502	715.92	213.92
HLA-B	known	POOLED	20625	10	206250	502	727.56	225.56
HLA-B	novel	AFR	896	2	1792	294	531.24	237.24
HLA-B	novel	AFR	896	5	4480	294	1137.78	843.78
HLA-B	novel	AFR	896	10	8960	294	1871.95	1577.95
HLA-B	novel	AMR	728	2	1456	249	424.92	175.92
HLA-B	novel	AMR	728	5	3640	249	799.01	550.01
HLA-B	novel	AMR	728	10	7280	249	1112.21	863.21
HLA-B	novel	EAS	391	2	782	156	259.99	103.99
HLA-B	novel	EAS	391	5	1955	156	456.82	300.82
HLA-B	novel	EAS	391	10	3910	156	587.33	431.33
HLA-B	novel	EUR	662	2	1324	248	443.35	195.35
HLA-B	novel	EUR	662	5	3310	248	918.35	670.35
HLA-B	novel	EUR	662	10	6620	248	1438.42	1190.42
HLA-B	novel	MID	123	2	246	64	104.28	40.28
HLA-B	novel	MID	123	5	615	64	182.81	118.81
HLA-B	novel	MID	123	10	1230	64	238.06	174.06
HLA-B	novel	SAS	327	2	654	116	198.23	82.23
HLA-B	novel	SAS	327	5	1635	116	387.06	271.06
HLA-B	novel	SAS	327	10	3270	116	571.46	455.46
HLA-B	novel	POOLED	3133	2	6266	929	1710.13	781.13
HLA-B	novel	POOLED	3133	5	15665	929	3661.62	2732.62
HLA-B	novel	POOLED	3133	10	31330	929	5917.22	4988.22
HLA-C	all	AFR	6013	2	12026	408	670.29	262.29
HLA-C	all	AFR	6013	5	30065	408	1237.42	829.42
HLA-C	all	AFR	6013	10	60130	408	1728.39	1320.39
HLA-C	all	AMR	5357	2	10714	418	675.31	257.31
HLA-C	all	AMR	5357	5	26785	418	1228.52	810.52
HLA-C	all	AMR	5357	10	53570	418	1702.03	1284.03
HLA-C	all	EAS	2874	2	5748	267	413.95	146.95
HLA-C	all	EAS	2874	5	14370	267	675.28	408.28
HLA-C	all	EAS	2874	10	28740	267	828.21	561.21
HLA-C	all	EUR	5922	2	11844	401	662.29	261.29
HLA-C	all	EUR	5922	5	29610	401	1226.63	825.63
HLA-C	all	EUR	5922	10	59220	401	1714.1	1313.1
HLA-C	all	MID	953	2	1906	127	184.6	57.6
HLA-C	all	MID	953	5	4765	127	292.33	165.33
HLA-C	all	MID	953	10	9530	127	362.06	235.06
HLA-C	all	SAS	2442	2	4884	212	324.71	112.71
HLA-C	all	SAS	2442	5	12210	212	518.53	306.53
HLA-C	all	SAS	2442	10	24420	212	624.57	412.57
HLA-C	all	POOLED	23605	2	47210	1303	2284.03	981.03
HLA-C	all	POOLED	23605	5	118025	1303	4655.25	3352.25
HLA-C	all	POOLED	23605	10	236050	1303	7220.63	5917.63
HLA-C	known	AFR	5323	2	10646	154	200.07	46.07
HLA-C	known	AFR	5323	5	26615	154	247.59	93.59
HLA-C	known	AFR	5323	10	53230	154	256.83	102.83
HLA-C	known	AMR	4818	2	9636	163	214.41	51.41
HLA-C	known	AMR	4818	5	24090	163	289.1	126.1
HLA-C	known	AMR	4818	10	48180	163	318.22	155.22
HLA-C	known	EAS	2518	2	5036	114	136.75	22.75
HLA-C	known	EAS	2518	5	12590	114	149.33	35.33
HLA-C	known	EAS	2518	10	25180	114	149.98	35.98
HLA-C	known	EUR	5400	2	10800	150	191.27	41.27
HLA-C	known	EUR	5400	5	27000	150	225.66	75.66
HLA-C	known	EUR	5400	10	54000	150	229.96	79.96
HLA-C	known	MID	859	2	1718	75	97.56	22.56
HLA-C	known	MID	859	5	4295	75	131.29	56.29
HLA-C	known	MID	859	10	8590	75	145.23	70.23
HLA-C	known	SAS	2167	2	4334	100	122.02	22.02
HLA-C	known	SAS	2167	5	10835	100	135.27	35.27
HLA-C	known	SAS	2167	10	21670	100	136.1	36.1
HLA-C	known	POOLED	21124	2	42248	354	472.89	118.89
HLA-C	known	POOLED	21124	5	105620	354	622.71	268.71
HLA-C	known	POOLED	21124	10	211240	354	666.52	312.52
HLA-C	novel	AFR	716	2	1432	254	472.09	218.09
HLA-C	novel	AFR	716	5	3580	254	1060.36	806.36
HLA-C	novel	AFR	716	10	7160	254	1852.99	1598.99
HLA-C	novel	AMR	564	2	1128	255	461.39	206.39
HLA-C	novel	AMR	564	5	2820	255	960.02	705.02
HLA-C	novel	AMR	564	10	5640	255	1499.0	1244.0
HLA-C	novel	EAS	370	2	740	153	280.1	127.1
HLA-C	novel	EAS	370	5	1850	153	608.29	455.29
HLA-C	novel	EAS	370	10	3700	153	1013.51	860.51
HLA-C	novel	EUR	564	2	1128	251	474.02	223.02
HLA-C	novel	EUR	564	5	2820	251	1108.56	857.56
HLA-C	novel	EUR	564	10	5640	251	2059.84	1808.84
HLA-C	novel	MID	96	2	192	52	87.1	35.1
HLA-C	novel	MID	96	5	480	52	164.29	112.29
HLA-C	novel	MID	96	10	960	52	233.44	181.44
HLA-C	novel	SAS	279	2	558	112	205.04	93.04
HLA-C	novel	SAS	279	5	1395	112	451.58	339.58
HLA-C	novel	SAS	279	10	2790	112	772.15	660.15
HLA-C	novel	POOLED	2594	2	5188	949	1814.34	865.34
HLA-C	novel	POOLED	2594	5	12970	949	4167.02	3218.02
HLA-C	novel	POOLED	2594	10	25940	949	7387.49	6438.49
HLA-DMA	all	AFR	6008	2	12016	159	269.43	110.43
HLA-DMA	all	AFR	6008	5	30040	159	516.11	357.11
HLA-DMA	all	AFR	6008	10	60080	159	744.02	585.02
HLA-DMA	all	AMR	5357	2	10714	146	233.06	87.06
HLA-DMA	all	AMR	5357	5	26785	146	391.09	245.09
HLA-DMA	all	AMR	5357	10	53570	146	487.45	341.45
HLA-DMA	all	EAS	2907	2	5814	79	127.2	48.2
HLA-DMA	all	EAS	2907	5	14535	79	234.32	155.32
HLA-DMA	all	EAS	2907	10	29070	79	332.31	253.31
HLA-DMA	all	EUR	5979	2	11958	160	270.43	110.43
HLA-DMA	all	EUR	5979	5	29895	160	517.11	357.11
HLA-DMA	all	EUR	5979	10	59790	160	745.02	585.02
HLA-DMA	all	MID	965	2	1930	41	53.59	12.59
HLA-DMA	all	MID	965	5	4825	41	68.65	27.65
HLA-DMA	all	MID	965	10	9650	41	72.61	31.61
HLA-DMA	all	SAS	2456	2	4912	78	127.29	49.29
HLA-DMA	all	SAS	2456	5	12280	78	230.55	152.55
HLA-DMA	all	SAS	2456	10	24560	78	314.46	236.46
HLA-DMA	all	POOLED	23718	2	47436	460	787.39	327.39
HLA-DMA	all	POOLED	23718	5	118590	460	1449.09	989.09
HLA-DMA	all	POOLED	23718	10	237180	460	1949.52	1489.52
HLA-DMA	known	AFR	5354	2	10708	28	30.53	2.53
HLA-DMA	known	AFR	5354	5	26770	28	31.93	3.93
HLA-DMA	known	AFR	5354	10	53540	28	32.0	4.0
HLA-DMA	known	AMR	4912	2	9824	31	32.66	1.66
HLA-DMA	known	AMR	4912	5	24560	31	33.24	2.24
HLA-DMA	known	AMR	4912	10	49120	31	33.25	2.25
HLA-DMA	known	EAS	2609	2	5218	23	27.94	4.94
HLA-DMA	known	EAS	2609	5	13045	23	34.97	11.97
HLA-DMA	known	EAS	2609	10	26090	23	37.59	14.59
HLA-DMA	known	EUR	5486	2	10972	32	34.53	2.53
HLA-DMA	known	EUR	5486	5	27430	32	35.93	3.93
HLA-DMA	known	EUR	5486	10	54860	32	36.0	4.0
HLA-DMA	known	MID	902	2	1804	25	28.44	3.44
HLA-DMA	known	MID	902	5	4510	25	30.99	5.99
HLA-DMA	known	MID	902	10	9020	25	31.24	6.24
HLA-DMA	known	SAS	2247	2	4494	20	23.93	3.93
HLA-DMA	known	SAS	2247	5	11235	20	28.64	8.64
HLA-DMA	known	SAS	2247	10	22470	20	29.88	9.88
HLA-DMA	known	POOLED	21553	2	43106	36	39.15	3.15
HLA-DMA	known	POOLED	21553	5	107765	36	42.92	6.92
HLA-DMA	known	POOLED	21553	10	215530	36	43.91	7.91
HLA-DMA	novel	AFR	690	2	1380	131	239.26	108.26
HLA-DMA	novel	AFR	690	5	3450	131	495.02	364.02
HLA-DMA	novel	AFR	690	10	6900	131	759.39	628.39
HLA-DMA	novel	AMR	470	2	940	115	200.76	85.76
HLA-DMA	novel	AMR	470	5	2350	115	366.16	251.16
HLA-DMA	novel	AMR	470	10	4700	115	480.08	365.08
HLA-DMA	novel	EAS	313	2	626	56	98.2	42.2
HLA-DMA	novel	EAS	313	5	1565	56	188.42	132.42
HLA-DMA	novel	EAS	313	10	3130	56	264.79	208.79
HLA-DMA	novel	EUR	520	2	1040	128	236.25	108.25
HLA-DMA	novel	EUR	520	5	2600	128	491.98	363.98
HLA-DMA	novel	EUR	520	10	5200	128	756.24	628.24
HLA-DMA	novel	MID	67	2	134	16	25.18	9.18
HLA-DMA	novel	MID	67	5	335	16	38.96	22.96
HLA-DMA	novel	MID	67	10	670	16	44.71	28.71
HLA-DMA	novel	SAS	218	2	436	58	102.28	44.28
HLA-DMA	novel	SAS	218	5	1090	58	191.7	133.7
HLA-DMA	novel	SAS	218	10	2180	58	259.21	201.21
HLA-DMA	novel	POOLED	2281	2	4562	424	748.27	324.27
HLA-DMA	novel	POOLED	2281	5	11405	424	1407.61	983.61
HLA-DMA	novel	POOLED	2281	10	22810	424	1912.31	1488.31
HLA-DMB	all	AFR	6003	2	12006	164	249.93	85.93
HLA-DMB	all	AFR	6003	5	30015	164	410.3	246.3
HLA-DMB	all	AFR	6003	10	60030	164	513.71	349.71
HLA-DMB	all	AMR	5371	2	10742	171	254.43	83.43
HLA-DMB	all	AMR	5371	5	26855	171	393.59	222.59
HLA-DMB	all	AMR	5371	10	53710	171	465.2	294.2
HLA-DMB	all	EAS	2914	2	5828	133	195.79	62.79
HLA-DMB	all	EAS	2914	5	14570	133	285.8	152.8
HLA-DMB	all	EAS	2914	10	29140	133	319.96	186.96
HLA-DMB	all	EUR	5984	2	11968	171	263.87	92.87
HLA-DMB	all	EUR	5984	5	29920	171	442.6	271.6
HLA-DMB	all	EUR	5984	10	59840	171	565.14	394.14
HLA-DMB	all	MID	960	2	1920	67	85.44	18.44
HLA-DMB	all	MID	960	5	4800	67	113.34	46.34
HLA-DMB	all	MID	960	10	9600	67	125.15	58.15
HLA-DMB	all	SAS	2461	2	4922	106	161.17	55.17
HLA-DMB	all	SAS	2461	5	12305	106	288.14	182.14
HLA-DMB	all	SAS	2461	10	24610	106	412.64	306.64
HLA-DMB	all	POOLED	23738	2	47476	486	811.94	325.94
HLA-DMB	all	POOLED	23738	5	118690	486	1495.24	1009.24
HLA-DMB	all	POOLED	23738	10	237380	486	2051.25	1565.25
HLA-DMB	known	AFR	3588	2	7176	55	58.79	3.79
HLA-DMB	known	AFR	3588	5	17940	55	60.89	5.89
HLA-DMB	known	AFR	3588	10	35880	55	61.0	6.0
HLA-DMB	known	AMR	4041	2	8082	58	61.79	3.79
HLA-DMB	known	AMR	4041	5	20205	58	63.89	5.89
HLA-DMB	known	AMR	4041	10	40410	58	64.0	6.0
HLA-DMB	known	EAS	1876	2	3752	51	54.61	3.61
HLA-DMB	known	EAS	1876	5	9380	51	55.05	4.05
HLA-DMB	known	EAS	1876	10	18760	51	55.05	4.05
HLA-DMB	known	EUR	4694	2	9388	60	66.57	6.57
HLA-DMB	known	EUR	4694	5	23470	60	72.56	12.56
HLA-DMB	known	EUR	4694	10	46940	60	73.46	13.46
HLA-DMB	known	MID	725	2	1450	47	50.31	3.31
HLA-DMB	known	MID	725	5	3625	47	51.47	4.47
HLA-DMB	known	MID	725	10	7250	47	51.49	4.49
HLA-DMB	known	SAS	1763	2	3526	47	52.63	5.63
HLA-DMB	known	SAS	1763	5	8815	47	57.13	10.13
HLA-DMB	known	SAS	1763	10	17630	47	57.65	10.65
HLA-DMB	known	POOLED	16726	2	33452	68	68.0	0.0
HLA-DMB	known	POOLED	16726	5	83630	68	68.0	0.0
HLA-DMB	known	POOLED	16726	10	167260	68	68.0	0.0
HLA-DMB	novel	AFR	2463	2	4926	109	191.56	82.56
HLA-DMB	novel	AFR	2463	5	12315	109	360.47	251.47
HLA-DMB	novel	AFR	2463	10	24630	109	491.38	382.38
HLA-DMB	novel	AMR	1378	2	2756	113	192.97	79.97
HLA-DMB	novel	AMR	1378	5	6890	113	337.81	224.81
HLA-DMB	novel	AMR	1378	10	13780	113	425.72	312.72
HLA-DMB	novel	EAS	1054	2	2108	82	144.23	62.23
HLA-DMB	novel	EAS	1054	5	5270	82	283.74	201.74
HLA-DMB	novel	EAS	1054	10	10540	82	413.57	331.57
HLA-DMB	novel	EUR	1324	2	2648	111	197.53	86.53
HLA-DMB	novel	EUR	1324	5	6620	111	377.33	266.33
HLA-DMB	novel	EUR	1324	10	13240	111	521.07	410.07
HLA-DMB	novel	MID	238	2	476	20	34.97	14.97
HLA-DMB	novel	MID	238	5	1190	20	69.54	49.54
HLA-DMB	novel	MID	238	10	2380	20	103.67	83.67
HLA-DMB	novel	SAS	711	2	1422	59	109.01	50.01
HLA-DMB	novel	SAS	711	5	3555	59	247.78	188.78
HLA-DMB	novel	SAS	711	10	7110	59	445.65	386.65
HLA-DMB	novel	POOLED	7174	2	14348	418	749.3	331.3
HLA-DMB	novel	POOLED	7174	5	35870	418	1489.35	1071.35
HLA-DMB	novel	POOLED	7174	10	71740	418	2173.08	1755.08
HLA-DOA	all	AFR	6063	2	12126	213	351.71	138.71
HLA-DOA	all	AFR	6063	5	30315	213	649.52	436.52
HLA-DOA	all	AFR	6063	10	60630	213	903.7	690.7
HLA-DOA	all	AMR	5389	2	10778	174	273.58	99.58
HLA-DOA	all	AMR	5389	5	26945	174	482.88	308.88
HLA-DOA	all	AMR	5389	10	53890	174	654.06	480.06
HLA-DOA	all	EAS	2914	2	5828	106	161.63	55.63
HLA-DOA	all	EAS	2914	5	14570	106	264.22	158.22
HLA-DOA	all	EAS	2914	10	29140	106	328.77	222.77
HLA-DOA	all	EUR	6010	2	12020	187	294.31	107.31
HLA-DOA	all	EUR	6010	5	30050	187	489.2	302.2
HLA-DOA	all	EUR	6010	10	60100	187	608.18	421.18
HLA-DOA	all	MID	963	2	1926	62	87.09	25.09
HLA-DOA	all	MID	963	5	4815	62	143.46	81.46
HLA-DOA	all	MID	963	10	9630	62	196.13	134.13
HLA-DOA	all	SAS	2462	2	4924	85	125.49	40.49
HLA-DOA	all	SAS	2462	5	12310	85	199.2	114.2
HLA-DOA	all	SAS	2462	10	24620	85	244.43	159.43
HLA-DOA	all	POOLED	23847	2	47694	538	915.12	377.12
HLA-DOA	all	POOLED	23847	5	119235	538	1713.55	1175.55
HLA-DOA	all	POOLED	23847	10	238470	538	2376.25	1838.25
HLA-DOA	known	AFR	4951	2	9902	48	53.82	5.82
HLA-DOA	known	AFR	4951	5	24755	48	56.26	8.26
HLA-DOA	known	AFR	4951	10	49510	48	56.33	8.33
HLA-DOA	known	AMR	4900	2	9800	48	51.15	3.15
HLA-DOA	known	AMR	4900	5	24500	48	54.92	6.92
HLA-DOA	known	AMR	4900	10	49000	48	55.91	7.91
HLA-DOA	known	EAS	2643	2	5286	40	47.52	7.52
HLA-DOA	known	EAS	2643	5	13215	40	55.15	15.15
HLA-DOA	known	EAS	2643	10	26430	40	56.59	16.59
HLA-DOA	known	EUR	5564	2	11128	50	51.89	1.89
HLA-DOA	known	EUR	5564	5	27820	50	52.08	2.08
HLA-DOA	known	EUR	5564	10	55640	50	52.08	2.08
HLA-DOA	known	MID	880	2	1760	36	41.95	5.95
HLA-DOA	known	MID	880	5	4400	36	51.45	15.45
HLA-DOA	known	MID	880	10	8800	36	55.93	19.93
HLA-DOA	known	SAS	2236	2	4472	31	34.15	3.15
HLA-DOA	known	SAS	2236	5	11180	31	37.91	6.91
HLA-DOA	known	SAS	2236	10	22360	31	38.91	7.91
HLA-DOA	known	POOLED	21217	2	42434	62	64.49	2.49
HLA-DOA	known	POOLED	21217	5	106085	62	65.12	3.12
HLA-DOA	known	POOLED	21217	10	212170	62	65.12	3.12
HLA-DOA	novel	AFR	1144	2	2288	165	299.21	134.21
HLA-DOA	novel	AFR	1144	5	5720	165	630.37	465.37
HLA-DOA	novel	AFR	1144	10	11440	165	1003.71	838.71
HLA-DOA	novel	AMR	514	2	1028	126	222.46	96.46
HLA-DOA	novel	AMR	514	5	2570	126	429.75	303.75
HLA-DOA	novel	AMR	514	10	5140	126	606.99	480.99
HLA-DOA	novel	EAS	282	2	564	66	114.27	48.27
HLA-DOA	novel	EAS	282	5	1410	66	214.63	148.63
HLA-DOA	novel	EAS	282	10	2820	66	294.95	228.95
HLA-DOA	novel	EUR	468	2	936	137	244.51	107.51
HLA-DOA	novel	EUR	468	5	2340	137	475.73	338.73
HLA-DOA	novel	EUR	468	10	4680	137	673.78	536.78
HLA-DOA	novel	MID	86	2	172	26	44.09	18.09
HLA-DOA	novel	MID	86	5	430	26	80.8	54.8
HLA-DOA	novel	MID	86	10	860	26	108.81	82.81
HLA-DOA	novel	SAS	232	2	464	54	91.34	37.34
HLA-DOA	novel	SAS	232	5	1160	54	162.12	108.12
HLA-DOA	novel	SAS	232	10	2320	54	209.2	155.2
HLA-DOA	novel	POOLED	2729	2	5458	476	851.69	375.69
HLA-DOA	novel	POOLED	2729	5	13645	476	1673.66	1197.66
HLA-DOA	novel	POOLED	2729	10	27290	476	2402.22	1926.22
HLA-DOB	all	AFR	6029	2	12058	121	192.77	71.77
HLA-DOB	all	AFR	6029	5	30145	121	326.85	205.85
HLA-DOB	all	AFR	6029	10	60290	121	413.46	292.46
HLA-DOB	all	AMR	5385	2	10770	124	199.38	75.38
HLA-DOB	all	AMR	5385	5	26925	124	361.66	237.66
HLA-DOB	all	AMR	5385	10	53850	124	500.93	376.93
HLA-DOB	all	EAS	2921	2	5842	59	82.54	23.54
HLA-DOB	all	EAS	2921	5	14605	59	118.6	59.6
HLA-DOB	all	EAS	2921	10	29210	59	134.23	75.23
HLA-DOB	all	EUR	5987	2	11974	138	214.87	76.87
HLA-DOB	all	EUR	5987	5	29935	138	356.91	218.91
HLA-DOB	all	EUR	5987	10	59870	138	446.67	308.67
HLA-DOB	all	MID	968	2	1936	43	56.55	13.55
HLA-DOB	all	MID	968	5	4840	43	73.6	30.6
HLA-DOB	all	MID	968	10	9680	43	78.57	35.57
HLA-DOB	all	SAS	2464	2	4928	61	91.17	30.17
HLA-DOB	all	SAS	2464	5	12320	61	154.78	93.78
HLA-DOB	all	SAS	2464	10	24640	61	207.13	146.13
HLA-DOB	all	POOLED	23800	2	47600	338	564.58	226.58
HLA-DOB	all	POOLED	23800	5	119000	338	1026.33	688.33
HLA-DOB	all	POOLED	23800	10	238000	338	1381.35	1043.35
HLA-DOB	known	AFR	4449	2	8898	31	35.7	4.7
HLA-DOB	known	AFR	4449	5	22245	31	38.9	7.9
HLA-DOB	known	AFR	4449	10	44490	31	39.16	8.16
HLA-DOB	known	AMR	4534	2	9068	32	36.7	4.7
HLA-DOB	known	AMR	4534	5	22670	32	39.9	7.9
HLA-DOB	known	AMR	4534	10	45340	32	40.16	8.16
HLA-DOB	known	EAS	2433	2	4866	25	30.1	5.1
HLA-DOB	known	EAS	2433	5	12165	25	38.25	13.25
HLA-DOB	known	EAS	2433	10	24330	25	42.1	17.1
HLA-DOB	known	EUR	5226	2	10452	32	33.26	1.26
HLA-DOB	known	EUR	5226	5	26130	32	33.96	1.96
HLA-DOB	known	EUR	5226	10	52260	32	34.0	2.0
HLA-DOB	known	MID	798	2	1596	23	25.07	2.07
HLA-DOB	known	MID	798	5	3990	23	25.66	2.66
HLA-DOB	known	MID	798	10	7980	23	25.66	2.66
HLA-DOB	known	SAS	2115	2	4230	21	22.26	1.26
HLA-DOB	known	SAS	2115	5	10575	21	22.96	1.96
HLA-DOB	known	SAS	2115	10	21150	21	23.0	2.0
HLA-DOB	known	POOLED	19595	2	39190	39	40.05	1.05
HLA-DOB	known	POOLED	19595	5	97975	39	40.12	1.12
HLA-DOB	known	POOLED	19595	10	195950	39	40.12	1.12
HLA-DOB	novel	AFR	1629	2	3258	90	157.41	67.41
HLA-DOB	novel	AFR	1629	5	8145	90	297.57	207.57
HLA-DOB	novel	AFR	1629	10	16290	90	409.75	319.75
HLA-DOB	novel	AMR	890	2	1780	92	163.13	71.13
HLA-DOB	novel	AMR	890	5	4450	92	336.14	244.14
HLA-DOB	novel	AMR	890	10	8900	92	525.69	433.69
HLA-DOB	novel	EAS	501	2	1002	34	52.43	18.43
HLA-DOB	novel	EAS	501	5	2505	34	80.31	46.31
HLA-DOB	novel	EAS	501	10	5010	34	92.1	58.1
HLA-DOB	novel	EUR	788	2	1576	106	181.72	75.72
HLA-DOB	novel	EUR	788	5	3940	106	326.17	220.17
HLA-DOB	novel	EUR	788	10	7880	106	423.49	317.49
HLA-DOB	novel	MID	176	2	352	20	32.04	12.04
HLA-DOB	novel	MID	176	5	880	20	58.76	38.76
HLA-DOB	novel	MID	176	10	1760	20	83.13	63.13
HLA-DOB	novel	SAS	354	2	708	40	69.07	29.07
HLA-DOB	novel	SAS	354	5	1770	40	136.78	96.78
HLA-DOB	novel	SAS	354	10	3540	40	204.8	164.8
HLA-DOB	novel	POOLED	4344	2	8688	299	526.13	227.13
HLA-DOB	novel	POOLED	4344	5	21720	299	1015.75	716.75
HLA-DOB	novel	POOLED	4344	10	43440	299	1437.01	1138.01
HLA-DPA1	all	AFR	6021	2	12042	243	382.3	139.3
HLA-DPA1	all	AFR	6021	5	30105	243	650.4	407.4
HLA-DPA1	all	AFR	6021	10	60210	243	834.21	591.21
HLA-DPA1	all	AMR	5351	2	10702	181	285.15	104.15
HLA-DPA1	all	AMR	5351	5	26755	181	545.94	364.94
HLA-DPA1	all	AMR	5351	10	53510	181	848.74	667.74
HLA-DPA1	all	EAS	2898	2	5796	101	147.9	46.9
HLA-DPA1	all	EAS	2898	5	14490	101	223.64	122.64
HLA-DPA1	all	EAS	2898	10	28980	101	260.17	159.17
HLA-DPA1	all	EUR	5944	2	11888	189	298.53	109.53
HLA-DPA1	all	EUR	5944	5	29720	189	535.54	346.54
HLA-DPA1	all	EUR	5944	10	59440	189	740.99	551.99
HLA-DPA1	all	MID	970	2	1940	72	100.64	28.64
HLA-DPA1	all	MID	970	5	4850	72	144.81	72.81
HLA-DPA1	all	MID	970	10	9700	72	164.23	92.23
HLA-DPA1	all	SAS	2447	2	4894	98	153.26	55.26
HLA-DPA1	all	SAS	2447	5	12235	98	273.14	175.14
HLA-DPA1	all	SAS	2447	10	24470	98	377.6	279.6
HLA-DPA1	all	POOLED	23676	2	47352	553	903.12	350.12
HLA-DPA1	all	POOLED	23676	5	118380	553	1584.12	1031.12
HLA-DPA1	all	POOLED	23676	10	236760	553	2061.06	1508.06
HLA-DPA1	known	AFR	5194	2	10388	81	97.0	16.0
HLA-DPA1	known	AFR	5194	5	25970	81	114.01	33.01
HLA-DPA1	known	AFR	5194	10	51940	81	117.53	36.53
HLA-DPA1	known	AMR	4664	2	9328	79	93.77	14.77
HLA-DPA1	known	AMR	4664	5	23320	79	110.7	31.7
HLA-DPA1	known	AMR	4664	10	46640	79	114.78	35.78
HLA-DPA1	known	EAS	2462	2	4924	49	57.14	8.14
HLA-DPA1	known	EAS	2462	5	12310	49	62.88	13.88
HLA-DPA1	known	EAS	2462	10	24620	49	63.39	14.39
HLA-DPA1	known	EUR	5359	2	10718	70	81.62	11.62
HLA-DPA1	known	EUR	5359	5	26795	70	94.79	24.79
HLA-DPA1	known	EUR	5359	10	53590	70	97.89	27.89
HLA-DPA1	known	MID	846	2	1692	46	55.7	9.7
HLA-DPA1	known	MID	846	5	4230	46	65.3	19.3
HLA-DPA1	known	MID	846	10	8460	46	67.02	21.02
HLA-DPA1	known	SAS	2093	2	4186	45	54.71	9.71
HLA-DPA1	known	SAS	2093	5	10465	45	64.32	19.32
HLA-DPA1	known	SAS	2093	10	20930	45	66.03	21.03
HLA-DPA1	known	POOLED	20655	2	41310	129	151.84	22.84
HLA-DPA1	known	POOLED	20655	5	103275	129	173.41	44.41
HLA-DPA1	known	POOLED	20655	10	206550	129	176.9	47.9
HLA-DPA1	novel	AFR	855	2	1710	162	285.66	123.66
HLA-DPA1	novel	AFR	855	5	4275	162	548.28	386.28
HLA-DPA1	novel	AFR	855	10	8550	162	767.61	605.61
HLA-DPA1	novel	AMR	718	2	1436	102	190.99	88.99
HLA-DPA1	novel	AMR	718	5	3590	102	446.27	344.27
HLA-DPA1	novel	AMR	718	10	7180	102	835.23	733.23
HLA-DPA1	novel	EAS	449	2	898	52	91.22	39.22
HLA-DPA1	novel	EAS	449	5	2245	52	173.21	121.21
HLA-DPA1	novel	EAS	449	10	4490	52	239.54	187.54
HLA-DPA1	novel	EUR	613	2	1226	119	217.21	98.21
HLA-DPA1	novel	EUR	613	5	3065	119	452.07	333.07
HLA-DPA1	novel	EUR	613	10	6130	119	700.82	581.82
HLA-DPA1	novel	MID	124	2	248	26	45.09	19.09
HLA-DPA1	novel	MID	124	5	620	26	84.6	58.6
HLA-DPA1	novel	MID	124	10	1240	26	115.91	89.91
HLA-DPA1	novel	SAS	365	2	730	53	99.01	46.01
HLA-DPA1	novel	SAS	365	5	1825	53	225.82	172.82
HLA-DPA1	novel	SAS	365	10	3650	53	404.23	351.23
HLA-DPA1	novel	POOLED	3132	2	6264	424	752.02	328.02
HLA-DPA1	novel	POOLED	3132	5	15660	424	1434.47	1010.47
HLA-DPA1	novel	POOLED	3132	10	31320	424	1981.38	1557.38
HLA-DPA2	all	AFR	5985	2	11970	149	260.2	111.2
HLA-DPA2	all	AFR	5985	5	29925	149	532.87	383.87
HLA-DPA2	all	AFR	5985	10	59850	149	836.49	687.49
HLA-DPA2	all	AMR	5339	2	10678	118	193.61	75.61
HLA-DPA2	all	AMR	5339	5	26695	118	343.63	225.63
HLA-DPA2	all	AMR	5339	10	53390	118	452.98	334.98
HLA-DPA2	all	EAS	2870	2	5740	84	135.67	51.67
HLA-DPA2	all	EAS	2870	5	14350	84	228.0	144.0
HLA-DPA2	all	EAS	2870	10	28700	84	282.56	198.56
HLA-DPA2	all	EUR	5933	2	11866	124	219.1	95.1
HLA-DPA2	all	EUR	5933	5	29665	124	462.36	338.36
HLA-DPA2	all	EUR	5933	10	59330	124	757.08	633.08
HLA-DPA2	all	MID	961	2	1922	33	45.17	12.17
