gene	category	ancestry	n_haplotypes_observed	factor	n_haplotypes_target	S_obs	extrapolated_richness	additional_alleles_projected
MICA	novel	EUR	1869	10	18690	292	2137.53	1845.53
MICA	novel	MID	338	2	676	66	107.12	41.12
MICA	novel	MID	338	5	1690	66	201.54	135.54
MICA	novel	MID	338	10	3380	66	293.74	227.74
MICA	novel	SAS	940	2	1880	132	232.21	100.21
MICA	novel	SAS	940	5	4700	132	472.9	340.9
MICA	novel	SAS	940	10	9400	132	730.02	598.02
MICA	novel	POOLED	8662	2	17324	1010	1832.62	822.62
MICA	novel	POOLED	8662	5	43310	1010	3723.03	2713.03
MICA	novel	POOLED	8662	10	86620	1010	5571.64	4561.64
MICB	all	AFR	5786	2	11572	335	564.8	229.8
MICB	all	AFR	5786	5	28930	335	1022.92	687.92
MICB	all	AFR	5786	10	57860	335	1359.99	1024.99
MICB	all	AMR	5210	2	10420	348	586.12	238.12
MICB	all	AMR	5210	5	26050	348	1048.83	700.83
MICB	all	AMR	5210	10	52100	348	1372.26	1024.26
MICB	all	EAS	2826	2	5652	181	303.17	122.17
MICB	all	EAS	2826	5	14130	181	537.05	356.05
MICB	all	EAS	2826	10	28260	181	695.73	514.73
MICB	all	EUR	5763	2	11526	389	671.93	282.93
MICB	all	EUR	5763	5	28815	389	1319.32	930.32
MICB	all	EUR	5763	10	57630	389	1946.95	1557.95
MICB	all	MID	935	2	1870	93	140.88	47.88
MICB	all	MID	935	5	4675	93	218.98	125.98
MICB	all	MID	935	10	9350	93	257.42	164.42
MICB	all	SAS	2378	2	4756	173	298.31	125.31
MICB	all	SAS	2378	5	11890	173	595.23	422.23
MICB	all	SAS	2378	10	23780	173	903.99	730.99
MICB	all	POOLED	22942	2	45884	1100	1933.39	833.39
MICB	all	POOLED	22942	5	114710	1100	3787.09	2687.09
MICB	all	POOLED	22942	10	229420	1100	5485.3	4385.3
MICB	known	AFR	569	2	1138	44	50.69	6.69
MICB	known	AFR	569	5	2845	44	53.94	9.94
MICB	known	AFR	569	10	5690	44	54.07	10.07
MICB	known	AMR	854	2	1708	45	53.14	8.14
MICB	known	AMR	854	5	4270	45	58.87	13.87
MICB	known	AMR	854	10	8540	45	59.38	14.38
MICB	known	EAS	444	2	888	28	33.81	5.81
MICB	known	EAS	444	5	2220	28	36.25	8.25
MICB	known	EAS	444	10	4440	28	36.31	8.31
MICB	known	EUR	1193	2	2386	54	67.56	13.56
MICB	known	EUR	1193	5	5965	54	84.61	30.61
MICB	known	EUR	1193	10	11930	54	89.57	35.57
MICB	known	MID	114	2	228	33	39.65	6.65
MICB	known	MID	114	5	570	33	42.87	9.87
MICB	known	MID	114	10	1140	33	42.99	9.99
MICB	known	SAS	288	2	576	30	39.21	9.21
MICB	known	SAS	288	5	1440	30	53.14	23.14
MICB	known	SAS	288	10	2880	30	59.01	29.01
MICB	known	POOLED	3468	2	6936	68	76.28	8.28
MICB	known	POOLED	3468	5	17340	68	79.19	11.19
MICB	known	POOLED	3468	10	34680	68	79.25	11.25
MICB	novel	AFR	5228	2	10456	291	515.15	224.15
MICB	novel	AFR	5228	5	26140	291	996.43	705.43
MICB	novel	AFR	5228	10	52280	291	1407.28	1116.28
MICB	novel	AMR	4367	2	8734	303	533.55	230.55
MICB	novel	AMR	4367	5	21835	303	1006.13	703.13
MICB	novel	AMR	4367	10	43670	303	1373.73	1070.73
MICB	novel	EAS	2388	2	4776	153	270.5	117.5
MICB	novel	EAS	2388	5	11940	153	529.85	376.85
MICB	novel	EAS	2388	10	23880	153	763.85	610.85
MICB	novel	EUR	4582	2	9164	335	604.65	269.65
