gene	category	ancestry	occurrence_k	n_alleles	share_of_S_obs
HLA-A	all	AFR	1	254	0.7115
HLA-A	all	AFR	2	22	0.0616
HLA-A	all	AFR	3	14	0.0392
HLA-A	all	AFR	4	7	0.0196
HLA-A	all	AFR	5	1	0.0028
HLA-A	all	AFR	6	5	0.014
HLA-A	all	AFR	7	1	0.0028
HLA-A	all	AFR	8	3	0.0084
HLA-A	all	AFR	9	2	0.0056
HLA-A	all	AFR	11	4	0.0112
HLA-A	all	AFR	12	1	0.0028
HLA-A	all	AFR	14	3	0.0084
HLA-A	all	AFR	16	2	0.0056
HLA-A	all	AFR	18	1	0.0028
HLA-A	all	AFR	23	1	0.0028
HLA-A	all	AFR	24	2	0.0056
HLA-A	all	AFR	26	1	0.0028
HLA-A	all	AFR	32	1	0.0028
HLA-A	all	AFR	37	1	0.0028
HLA-A	all	AFR	39	1	0.0028
HLA-A	all	AFR	42	1	0.0028
HLA-A	all	AFR	43	1	0.0028
HLA-A	all	AFR	53	1	0.0028
HLA-A	all	AFR	55	1	0.0028
HLA-A	all	AFR	62	1	0.0028
HLA-A	all	AFR	69	1	0.0028
HLA-A	all	AFR	72	1	0.0028
HLA-A	all	AFR	75	1	0.0028
HLA-A	all	AFR	78	1	0.0028
HLA-A	all	AFR	81	1	0.0028
HLA-A	all	AFR	82	1	0.0028
HLA-A	all	AFR	103	1	0.0028
HLA-A	all	AFR	115	1	0.0028
HLA-A	all	AFR	117	1	0.0028
HLA-A	all	AFR	125	1	0.0028
HLA-A	all	AFR	128	1	0.0028
HLA-A	all	AFR	135	1	0.0028
HLA-A	all	AFR	143	1	0.0028
HLA-A	all	AFR	167	1	0.0028
HLA-A	all	AFR	168	1	0.0028
HLA-A	all	AFR	188	1	0.0028
HLA-A	all	AFR	200	1	0.0028
HLA-A	all	AFR	211	1	0.0028
HLA-A	all	AFR	238	1	0.0028
HLA-A	all	AFR	240	1	0.0028
HLA-A	all	AFR	307	1	0.0028
HLA-A	all	AFR	321	1	0.0028
HLA-A	all	AFR	385	1	0.0028
HLA-A	all	AFR	519	1	0.0028
HLA-A	all	AFR	716	1	0.0028
HLA-A	all	AMR	1	207	0.635
HLA-A	all	AMR	2	20	0.0613
HLA-A	all	AMR	3	17	0.0521
HLA-A	all	AMR	4	8	0.0245
HLA-A	all	AMR	5	12	0.0368
HLA-A	all	AMR	6	4	0.0123
HLA-A	all	AMR	7	3	0.0092
HLA-A	all	AMR	8	3	0.0092
HLA-A	all	AMR	9	5	0.0153
HLA-A	all	AMR	10	4	0.0123
HLA-A	all	AMR	11	2	0.0061
HLA-A	all	AMR	12	2	0.0061
HLA-A	all	AMR	13	1	0.0031
HLA-A	all	AMR	14	2	0.0061
HLA-A	all	AMR	17	1	0.0031
HLA-A	all	AMR	18	1	0.0031
HLA-A	all	AMR	19	2	0.0061
HLA-A	all	AMR	22	2	0.0061
HLA-A	all	AMR	23	1	0.0031
HLA-A	all	AMR	24	1	0.0031
HLA-A	all	AMR	25	1	0.0031
HLA-A	all	AMR	28	1	0.0031
HLA-A	all	AMR	34	1	0.0031
HLA-A	all	AMR	43	1	0.0031
HLA-A	all	AMR	45	1	0.0031
HLA-A	all	AMR	46	1	0.0031
HLA-A	all	AMR	56	1	0.0031
HLA-A	all	AMR	58	1	0.0031
HLA-A	all	AMR	67	2	0.0061
HLA-A	all	AMR	72	1	0.0031
HLA-A	all	AMR	73	1	0.0031
HLA-A	all	AMR	78	1	0.0031
HLA-A	all	AMR	114	1	0.0031
HLA-A	all	AMR	127	1	0.0031
HLA-A	all	AMR	129	1	0.0031
HLA-A	all	AMR	132	1	0.0031
HLA-A	all	AMR	137	1	0.0031
HLA-A	all	AMR	144	1	0.0031
HLA-A	all	AMR	157	1	0.0031
HLA-A	all	AMR	170	1	0.0031
HLA-A	all	AMR	190	1	0.0031
HLA-A	all	AMR	214	1	0.0031
HLA-A	all	AMR	221	1	0.0031
HLA-A	all	AMR	291	1	0.0031
HLA-A	all	AMR	339	1	0.0031
HLA-A	all	AMR	531	1	0.0031
HLA-A	all	AMR	1039	1	0.0031
HLA-A	all	EAS	1	127	0.6649
HLA-A	all	EAS	2	12	0.0628
HLA-A	all	EAS	3	4	0.0209
HLA-A	all	EAS	4	7	0.0366
HLA-A	all	EAS	5	2	0.0105
HLA-A	all	EAS	6	6	0.0314
HLA-A	all	EAS	7	5	0.0262
HLA-A	all	EAS	8	2	0.0105
HLA-A	all	EAS	9	2	0.0105
HLA-A	all	EAS	10	4	0.0209
HLA-A	all	EAS	11	1	0.0052
HLA-A	all	EAS	14	1	0.0052
HLA-A	all	EAS	16	1	0.0052
HLA-A	all	EAS	28	1	0.0052
HLA-A	all	EAS	33	1	0.0052
HLA-A	all	EAS	54	2	0.0105
HLA-A	all	EAS	58	1	0.0052
HLA-A	all	EAS	64	1	0.0052
HLA-A	all	EAS	67	1	0.0052
HLA-A	all	EAS	74	1	0.0052
HLA-A	all	EAS	97	1	0.0052
HLA-A	all	EAS	101	1	0.0052
HLA-A	all	EAS	103	1	0.0052
HLA-A	all	EAS	120	1	0.0052
HLA-A	all	EAS	184	1	0.0052
HLA-A	all	EAS	241	1	0.0052
HLA-A	all	EAS	255	1	0.0052
HLA-A	all	EAS	474	1	0.0052
HLA-A	all	EAS	520	1	0.0052
HLA-A	all	EUR	1	235	0.7121
HLA-A	all	EUR	2	24	0.0727
HLA-A	all	EUR	3	12	0.0364
HLA-A	all	EUR	4	6	0.0182
HLA-A	all	EUR	5	3	0.0091
HLA-A	all	EUR	6	5	0.0152
HLA-A	all	EUR	7	3	0.0091
HLA-A	all	EUR	8	2	0.0061
HLA-A	all	EUR	10	1	0.003
HLA-A	all	EUR	11	1	0.003
HLA-A	all	EUR	12	1	0.003
HLA-A	all	EUR	13	1	0.003
HLA-A	all	EUR	14	2	0.0061
HLA-A	all	EUR	19	2	0.0061
HLA-A	all	EUR	20	1	0.003
HLA-A	all	EUR	22	1	0.003
HLA-A	all	EUR	24	1	0.003
HLA-A	all	EUR	28	1	0.003
HLA-A	all	EUR	29	1	0.003
HLA-A	all	EUR	30	1	0.003
HLA-A	all	EUR	31	1	0.003
HLA-A	all	EUR	33	1	0.003
HLA-A	all	EUR	34	1	0.003
HLA-A	all	EUR	38	1	0.003
HLA-A	all	EUR	40	1	0.003
HLA-A	all	EUR	45	1	0.003
HLA-A	all	EUR	47	1	0.003
HLA-A	all	EUR	53	1	0.003
HLA-A	all	EUR	54	1	0.003
HLA-A	all	EUR	68	1	0.003
HLA-A	all	EUR	76	1	0.003
HLA-A	all	EUR	77	1	0.003
HLA-A	all	EUR	79	1	0.003
HLA-A	all	EUR	87	1	0.003
HLA-A	all	EUR	109	1	0.003
HLA-A	all	EUR	122	1	0.003
HLA-A	all	EUR	127	1	0.003
HLA-A	all	EUR	150	1	0.003
HLA-A	all	EUR	156	1	0.003
HLA-A	all	EUR	221	1	0.003
HLA-A	all	EUR	324	1	0.003
HLA-A	all	EUR	326	1	0.003
HLA-A	all	EUR	474	1	0.003
HLA-A	all	EUR	580	1	0.003
HLA-A	all	EUR	806	1	0.003
HLA-A	all	EUR	1194	1	0.003
HLA-A	all	MID	1	61	0.5701
HLA-A	all	MID	2	8	0.0748
HLA-A	all	MID	3	9	0.0841
HLA-A	all	MID	4	2	0.0187
HLA-A	all	MID	6	3	0.028
HLA-A	all	MID	7	1	0.0093
HLA-A	all	MID	9	2	0.0187
HLA-A	all	MID	12	1	0.0093
HLA-A	all	MID	13	1	0.0093
HLA-A	all	MID	14	2	0.0187
HLA-A	all	MID	15	1	0.0093
HLA-A	all	MID	16	1	0.0093
HLA-A	all	MID	19	1	0.0093
HLA-A	all	MID	23	1	0.0093
HLA-A	all	MID	25	1	0.0093
HLA-A	all	MID	26	1	0.0093
HLA-A	all	MID	28	1	0.0093
HLA-A	all	MID	33	1	0.0093
HLA-A	all	MID	34	1	0.0093
HLA-A	all	MID	35	1	0.0093
HLA-A	all	MID	37	1	0.0093
HLA-A	all	MID	38	1	0.0093
HLA-A	all	MID	40	2	0.0187
HLA-A	all	MID	103	1	0.0093
HLA-A	all	MID	109	1	0.0093
HLA-A	all	MID	138	1	0.0093
HLA-A	all	SAS	1	84	0.5753
HLA-A	all	SAS	2	10	0.0685
HLA-A	all	SAS	3	5	0.0342
HLA-A	all	SAS	4	5	0.0342
HLA-A	all	SAS	5	6	0.0411
HLA-A	all	SAS	6	4	0.0274
HLA-A	all	SAS	8	2	0.0137
HLA-A	all	SAS	9	2	0.0137
HLA-A	all	SAS	10	2	0.0137
HLA-A	all	SAS	11	2	0.0137
HLA-A	all	SAS	13	1	0.0068
HLA-A	all	SAS	17	1	0.0068
HLA-A	all	SAS	18	2	0.0137
HLA-A	all	SAS	23	1	0.0068
HLA-A	all	SAS	25	1	0.0068
HLA-A	all	SAS	28	1	0.0068
HLA-A	all	SAS	29	1	0.0068
HLA-A	all	SAS	31	1	0.0068
HLA-A	all	SAS	36	1	0.0068
HLA-A	all	SAS	37	1	0.0068
HLA-A	all	SAS	42	1	0.0068
HLA-A	all	SAS	45	1	0.0068
HLA-A	all	SAS	57	1	0.0068
HLA-A	all	SAS	67	1	0.0068
HLA-A	all	SAS	77	1	0.0068
HLA-A	all	SAS	80	1	0.0068
HLA-A	all	SAS	118	1	0.0068
HLA-A	all	SAS	130	1	0.0068
HLA-A	all	SAS	152	1	0.0068
HLA-A	all	SAS	246	1	0.0068
HLA-A	all	SAS	280	1	0.0068
HLA-A	all	SAS	308	1	0.0068
HLA-A	all	SAS	318	1	0.0068
HLA-A	all	POOLED	1	774	0.7626
HLA-A	all	POOLED	2	47	0.0463
HLA-A	all	POOLED	3	27	0.0266
HLA-A	all	POOLED	4	22	0.0217
HLA-A	all	POOLED	5	11	0.0108
HLA-A	all	POOLED	6	13	0.0128
HLA-A	all	POOLED	7	10	0.0099
HLA-A	all	POOLED	8	6	0.0059
HLA-A	all	POOLED	9	2	0.002
HLA-A	all	POOLED	10	6	0.0059
HLA-A	all	POOLED	11	6	0.0059
HLA-A	all	POOLED	12	4	0.0039
HLA-A	all	POOLED	13	1	0.001
HLA-A	all	POOLED	14	3	0.003
HLA-A	all	POOLED	15	2	0.002
HLA-A	all	POOLED	16	2	0.002
HLA-A	all	POOLED	17	4	0.0039
HLA-A	all	POOLED	18	2	0.002
HLA-A	all	POOLED	19	1	0.001
HLA-A	all	POOLED	20	4	0.0039
HLA-A	all	POOLED	22	2	0.002
HLA-A	all	POOLED	23	2	0.002
HLA-A	all	POOLED	26	2	0.002
HLA-A	all	POOLED	28	1	0.001
HLA-A	all	POOLED	29	1	0.001
HLA-A	all	POOLED	31	2	0.002
HLA-A	all	POOLED	33	1	0.001
HLA-A	all	POOLED	35	2	0.002
HLA-A	all	POOLED	37	1	0.001
HLA-A	all	POOLED	44	1	0.001
HLA-A	all	POOLED	46	1	0.001
HLA-A	all	POOLED	47	1	0.001
HLA-A	all	POOLED	53	1	0.001
HLA-A	all	POOLED	57	2	0.002
HLA-A	all	POOLED	63	1	0.001
HLA-A	all	POOLED	65	1	0.001
HLA-A	all	POOLED	66	1	0.001
HLA-A	all	POOLED	70	1	0.001
HLA-A	all	POOLED	71	1	0.001
HLA-A	all	POOLED	73	1	0.001
HLA-A	all	POOLED	75	1	0.001
HLA-A	all	POOLED	77	1	0.001
HLA-A	all	POOLED	78	1	0.001
HLA-A	all	POOLED	83	1	0.001
HLA-A	all	POOLED	96	1	0.001
HLA-A	all	POOLED	99	1	0.001
HLA-A	all	POOLED	103	1	0.001
HLA-A	all	POOLED	112	1	0.001
HLA-A	all	POOLED	129	1	0.001
HLA-A	all	POOLED	130	1	0.001
HLA-A	all	POOLED	131	1	0.001
HLA-A	all	POOLED	140	1	0.001
HLA-A	all	POOLED	150	1	0.001
HLA-A	all	POOLED	152	1	0.001
HLA-A	all	POOLED	158	1	0.001
HLA-A	all	POOLED	178	1	0.001
HLA-A	all	POOLED	186	1	0.001
HLA-A	all	POOLED	193	1	0.001
HLA-A	all	POOLED	198	1	0.001
HLA-A	all	POOLED	228	1	0.001
HLA-A	all	POOLED	252	1	0.001
HLA-A	all	POOLED	263	1	0.001
HLA-A	all	POOLED	300	1	0.001
HLA-A	all	POOLED	321	1	0.001
HLA-A	all	POOLED	323	1	0.001
HLA-A	all	POOLED	332	1	0.001
HLA-A	all	POOLED	343	1	0.001
HLA-A	all	POOLED	371	1	0.001
HLA-A	all	POOLED	375	1	0.001
HLA-A	all	POOLED	477	1	0.001
HLA-A	all	POOLED	514	1	0.001
HLA-A	all	POOLED	570	1	0.001
HLA-A	all	POOLED	584	1	0.001
HLA-A	all	POOLED	703	1	0.001
HLA-A	all	POOLED	731	1	0.001
HLA-A	all	POOLED	779	1	0.001
HLA-A	all	POOLED	918	1	0.001
HLA-A	all	POOLED	1331	1	0.001
HLA-A	all	POOLED	1481	1	0.001
HLA-A	all	POOLED	1880	1	0.001
HLA-A	all	POOLED	1982	1	0.001
HLA-A	all	POOLED	3457	1	0.001
HLA-A	known	AFR	1	46	0.377
HLA-A	known	AFR	2	16	0.1311
HLA-A	known	AFR	3	7	0.0574
HLA-A	known	AFR	4	5	0.041
HLA-A	known	AFR	5	1	0.0082
HLA-A	known	AFR	6	5	0.041
HLA-A	known	AFR	8	1	0.0082
HLA-A	known	AFR	9	1	0.0082
HLA-A	known	AFR	11	2	0.0164
HLA-A	known	AFR	12	1	0.0082
HLA-A	known	AFR	14	1	0.0082
HLA-A	known	AFR	16	1	0.0082
HLA-A	known	AFR	24	2	0.0164
HLA-A	known	AFR	32	1	0.0082
HLA-A	known	AFR	37	1	0.0082
HLA-A	known	AFR	39	1	0.0082
HLA-A	known	AFR	42	1	0.0082
HLA-A	known	AFR	43	1	0.0082
HLA-A	known	AFR	53	1	0.0082
HLA-A	known	AFR	55	1	0.0082
HLA-A	known	AFR	62	1	0.0082
HLA-A	known	AFR	69	1	0.0082
HLA-A	known	AFR	72	1	0.0082
HLA-A	known	AFR	75	1	0.0082
HLA-A	known	AFR	78	1	0.0082
HLA-A	known	AFR	81	1	0.0082
HLA-A	known	AFR	82	1	0.0082
HLA-A	known	AFR	103	1	0.0082
HLA-A	known	AFR	115	1	0.0082
HLA-A	known	AFR	117	1	0.0082
HLA-A	known	AFR	125	1	0.0082
HLA-A	known	AFR	128	1	0.0082
HLA-A	known	AFR	135	1	0.0082
HLA-A	known	AFR	143	1	0.0082
HLA-A	known	AFR	167	1	0.0082
HLA-A	known	AFR	168	1	0.0082
HLA-A	known	AFR	188	1	0.0082
HLA-A	known	AFR	200	1	0.0082
HLA-A	known	AFR	211	1	0.0082
HLA-A	known	AFR	238	1	0.0082
HLA-A	known	AFR	240	1	0.0082
HLA-A	known	AFR	307	1	0.0082
HLA-A	known	AFR	321	1	0.0082
HLA-A	known	AFR	385	1	0.0082
HLA-A	known	AFR	519	1	0.0082
HLA-A	known	AFR	716	1	0.0082
HLA-A	known	AMR	1	65	0.4194
HLA-A	known	AMR	2	15	0.0968
HLA-A	known	AMR	3	12	0.0774
HLA-A	known	AMR	4	5	0.0323
HLA-A	known	AMR	5	4	0.0258
HLA-A	known	AMR	6	3	0.0194
HLA-A	known	AMR	7	2	0.0129
HLA-A	known	AMR	8	2	0.0129
HLA-A	known	AMR	9	4	0.0258
HLA-A	known	AMR	10	3	0.0194
HLA-A	known	AMR	11	1	0.0065
HLA-A	known	AMR	12	1	0.0065
HLA-A	known	AMR	13	1	0.0065
HLA-A	known	AMR	14	2	0.0129
HLA-A	known	AMR	17	1	0.0065
HLA-A	known	AMR	18	1	0.0065
HLA-A	known	AMR	19	2	0.0129
HLA-A	known	AMR	22	2	0.0129
HLA-A	known	AMR	23	1	0.0065
HLA-A	known	AMR	24	1	0.0065
HLA-A	known	AMR	28	1	0.0065
HLA-A	known	AMR	34	1	0.0065
HLA-A	known	AMR	43	1	0.0065
HLA-A	known	AMR	45	1	0.0065
HLA-A	known	AMR	46	1	0.0065
HLA-A	known	AMR	56	1	0.0065
HLA-A	known	AMR	58	1	0.0065
HLA-A	known	AMR	67	2	0.0129
HLA-A	known	AMR	72	1	0.0065
HLA-A	known	AMR	73	1	0.0065
HLA-A	known	AMR	78	1	0.0065
HLA-A	known	AMR	114	1	0.0065
HLA-A	known	AMR	127	1	0.0065
HLA-A	known	AMR	129	1	0.0065
HLA-A	known	AMR	132	1	0.0065
HLA-A	known	AMR	137	1	0.0065
HLA-A	known	AMR	144	1	0.0065
HLA-A	known	AMR	157	1	0.0065
HLA-A	known	AMR	170	1	0.0065
HLA-A	known	AMR	190	1	0.0065
HLA-A	known	AMR	214	1	0.0065
HLA-A	known	AMR	221	1	0.0065
HLA-A	known	AMR	291	1	0.0065
HLA-A	known	AMR	339	1	0.0065
HLA-A	known	AMR	531	1	0.0065
HLA-A	known	AMR	1039	1	0.0065
HLA-A	known	EAS	1	32	0.3855
HLA-A	known	EAS	2	8	0.0964
HLA-A	known	EAS	3	3	0.0361
HLA-A	known	EAS	4	5	0.0602
HLA-A	known	EAS	5	2	0.0241
HLA-A	known	EAS	6	5	0.0602
HLA-A	known	EAS	7	4	0.0482
HLA-A	known	EAS	8	2	0.0241
HLA-A	known	EAS	9	1	0.012
HLA-A	known	EAS	10	3	0.0361
HLA-A	known	EAS	16	1	0.012
HLA-A	known	EAS	28	1	0.012
HLA-A	known	EAS	33	1	0.012
HLA-A	known	EAS	54	2	0.0241
HLA-A	known	EAS	58	1	0.012
HLA-A	known	EAS	64	1	0.012
HLA-A	known	EAS	67	1	0.012
HLA-A	known	EAS	74	1	0.012
HLA-A	known	EAS	97	1	0.012
HLA-A	known	EAS	101	1	0.012
HLA-A	known	EAS	103	1	0.012
HLA-A	known	EAS	120	1	0.012
HLA-A	known	EAS	184	1	0.012
HLA-A	known	EAS	241	1	0.012
HLA-A	known	EAS	255	1	0.012
HLA-A	known	EAS	474	1	0.012
HLA-A	known	EAS	520	1	0.012
HLA-A	known	EUR	1	47	0.3983
HLA-A	known	EUR	2	17	0.1441
HLA-A	known	EUR	3	6	0.0508
HLA-A	known	EUR	4	5	0.0424
HLA-A	known	EUR	5	3	0.0254
HLA-A	known	EUR	6	4	0.0339
HLA-A	known	EUR	7	1	0.0085
HLA-A	known	EUR	8	1	0.0085
HLA-A	known	EUR	10	1	0.0085
HLA-A	known	EUR	14	2	0.0169
HLA-A	known	EUR	19	2	0.0169
HLA-A	known	EUR	20	1	0.0085
HLA-A	known	EUR	22	1	0.0085
HLA-A	known	EUR	28	1	0.0085
HLA-A	known	EUR	29	1	0.0085
HLA-A	known	EUR	31	1	0.0085
HLA-A	known	EUR	34	1	0.0085
HLA-A	known	EUR	38	1	0.0085
HLA-A	known	EUR	40	1	0.0085
HLA-A	known	EUR	45	1	0.0085
HLA-A	known	EUR	47	1	0.0085
HLA-A	known	EUR	53	1	0.0085
HLA-A	known	EUR	54	1	0.0085
HLA-A	known	EUR	68	1	0.0085
HLA-A	known	EUR	76	1	0.0085
HLA-A	known	EUR	77	1	0.0085
HLA-A	known	EUR	79	1	0.0085
HLA-A	known	EUR	87	1	0.0085
HLA-A	known	EUR	109	1	0.0085
HLA-A	known	EUR	122	1	0.0085
HLA-A	known	EUR	127	1	0.0085
HLA-A	known	EUR	150	1	0.0085
HLA-A	known	EUR	156	1	0.0085
HLA-A	known	EUR	221	1	0.0085
HLA-A	known	EUR	324	1	0.0085
HLA-A	known	EUR	326	1	0.0085
HLA-A	known	EUR	474	1	0.0085
HLA-A	known	EUR	580	1	0.0085
HLA-A	known	EUR	806	1	0.0085
HLA-A	known	EUR	1194	1	0.0085
HLA-A	known	MID	1	27	0.403
HLA-A	known	MID	2	4	0.0597
HLA-A	known	MID	3	8	0.1194
HLA-A	known	MID	4	1	0.0149
HLA-A	known	MID	6	3	0.0448
HLA-A	known	MID	7	1	0.0149
HLA-A	known	MID	9	2	0.0299
HLA-A	known	MID	12	1	0.0149
HLA-A	known	MID	13	1	0.0149
HLA-A	known	MID	14	2	0.0299
HLA-A	known	MID	15	1	0.0149
HLA-A	known	MID	16	1	0.0149
HLA-A	known	MID	19	1	0.0149
HLA-A	known	MID	23	1	0.0149
HLA-A	known	MID	25	1	0.0149
HLA-A	known	MID	26	1	0.0149
HLA-A	known	MID	28	1	0.0149
HLA-A	known	MID	33	1	0.0149
HLA-A	known	MID	34	1	0.0149
HLA-A	known	MID	35	1	0.0149
HLA-A	known	MID	37	1	0.0149
HLA-A	known	MID	38	1	0.0149
HLA-A	known	MID	40	2	0.0299
HLA-A	known	MID	103	1	0.0149
HLA-A	known	MID	109	1	0.0149
HLA-A	known	MID	138	1	0.0149
HLA-A	known	SAS	1	21	0.3088
HLA-A	known	SAS	2	5	0.0735
HLA-A	known	SAS	3	2	0.0294
HLA-A	known	SAS	4	4	0.0588
HLA-A	known	SAS	5	5	0.0735
HLA-A	known	SAS	6	2	0.0294
HLA-A	known	SAS	8	1	0.0147
HLA-A	known	SAS	9	1	0.0147
HLA-A	known	SAS	10	2	0.0294
HLA-A	known	SAS	11	1	0.0147
HLA-A	known	SAS	13	1	0.0147
HLA-A	known	SAS	17	1	0.0147
HLA-A	known	SAS	18	2	0.0294
HLA-A	known	SAS	23	1	0.0147
HLA-A	known	SAS	25	1	0.0147
HLA-A	known	SAS	28	1	0.0147
HLA-A	known	SAS	29	1	0.0147
HLA-A	known	SAS	31	1	0.0147
HLA-A	known	SAS	36	1	0.0147
HLA-A	known	SAS	37	1	0.0147
HLA-A	known	SAS	42	1	0.0147
HLA-A	known	SAS	45	1	0.0147
HLA-A	known	SAS	57	1	0.0147
HLA-A	known	SAS	67	1	0.0147
HLA-A	known	SAS	77	1	0.0147
HLA-A	known	SAS	80	1	0.0147
HLA-A	known	SAS	118	1	0.0147
HLA-A	known	SAS	130	1	0.0147
HLA-A	known	SAS	152	1	0.0147
HLA-A	known	SAS	246	1	0.0147
HLA-A	known	SAS	280	1	0.0147
HLA-A	known	SAS	308	1	0.0147
HLA-A	known	SAS	318	1	0.0147
HLA-A	known	POOLED	1	122	0.4108
HLA-A	known	POOLED	2	30	0.101
HLA-A	known	POOLED	3	19	0.064
HLA-A	known	POOLED	4	17	0.0572
HLA-A	known	POOLED	5	5	0.0168
HLA-A	known	POOLED	6	9	0.0303
HLA-A	known	POOLED	7	7	0.0236
HLA-A	known	POOLED	8	5	0.0168
HLA-A	known	POOLED	9	2	0.0067
HLA-A	known	POOLED	10	6	0.0202
HLA-A	known	POOLED	11	4	0.0135
HLA-A	known	POOLED	12	2	0.0067
HLA-A	known	POOLED	13	1	0.0034
HLA-A	known	POOLED	14	3	0.0101
HLA-A	known	POOLED	15	1	0.0034
HLA-A	known	POOLED	16	1	0.0034
HLA-A	known	POOLED	17	1	0.0034
HLA-A	known	POOLED	18	1	0.0034
HLA-A	known	POOLED	20	3	0.0101
HLA-A	known	POOLED	22	2	0.0067
HLA-A	known	POOLED	23	1	0.0034
HLA-A	known	POOLED	26	1	0.0034
HLA-A	known	POOLED	28	1	0.0034
HLA-A	known	POOLED	29	1	0.0034
HLA-A	known	POOLED	33	1	0.0034
HLA-A	known	POOLED	37	1	0.0034
HLA-A	known	POOLED	44	1	0.0034
HLA-A	known	POOLED	47	1	0.0034
HLA-A	known	POOLED	53	1	0.0034
HLA-A	known	POOLED	57	1	0.0034
HLA-A	known	POOLED	63	1	0.0034
HLA-A	known	POOLED	65	1	0.0034
HLA-A	known	POOLED	70	1	0.0034
HLA-A	known	POOLED	71	1	0.0034
HLA-A	known	POOLED	73	1	0.0034
HLA-A	known	POOLED	75	1	0.0034
HLA-A	known	POOLED	77	1	0.0034
HLA-A	known	POOLED	78	1	0.0034
HLA-A	known	POOLED	83	1	0.0034
HLA-A	known	POOLED	96	1	0.0034
HLA-A	known	POOLED	103	1	0.0034
HLA-A	known	POOLED	112	1	0.0034
HLA-A	known	POOLED	129	1	0.0034
HLA-A	known	POOLED	130	1	0.0034
HLA-A	known	POOLED	131	1	0.0034
HLA-A	known	POOLED	140	1	0.0034
HLA-A	known	POOLED	150	1	0.0034
HLA-A	known	POOLED	152	1	0.0034
HLA-A	known	POOLED	158	1	0.0034
HLA-A	known	POOLED	178	1	0.0034
HLA-A	known	POOLED	186	1	0.0034
HLA-A	known	POOLED	193	1	0.0034
HLA-A	known	POOLED	198	1	0.0034
HLA-A	known	POOLED	228	1	0.0034
HLA-A	known	POOLED	252	1	0.0034
HLA-A	known	POOLED	263	1	0.0034
HLA-A	known	POOLED	300	1	0.0034
HLA-A	known	POOLED	321	1	0.0034
HLA-A	known	POOLED	323	1	0.0034
HLA-A	known	POOLED	332	1	0.0034
HLA-A	known	POOLED	343	1	0.0034
HLA-A	known	POOLED	371	1	0.0034
HLA-A	known	POOLED	375	1	0.0034
HLA-A	known	POOLED	477	1	0.0034
HLA-A	known	POOLED	514	1	0.0034
HLA-A	known	POOLED	570	1	0.0034
HLA-A	known	POOLED	584	1	0.0034
HLA-A	known	POOLED	703	1	0.0034
HLA-A	known	POOLED	731	1	0.0034
HLA-A	known	POOLED	779	1	0.0034
HLA-A	known	POOLED	918	1	0.0034
HLA-A	known	POOLED	1331	1	0.0034
HLA-A	known	POOLED	1481	1	0.0034
HLA-A	known	POOLED	1880	1	0.0034
HLA-A	known	POOLED	1982	1	0.0034
HLA-A	known	POOLED	3457	1	0.0034
HLA-A	novel	AFR	1	208	0.8851
HLA-A	novel	AFR	2	6	0.0255
HLA-A	novel	AFR	3	7	0.0298
HLA-A	novel	AFR	4	2	0.0085
HLA-A	novel	AFR	7	1	0.0043
HLA-A	novel	AFR	8	2	0.0085
HLA-A	novel	AFR	9	1	0.0043
HLA-A	novel	AFR	11	2	0.0085
HLA-A	novel	AFR	14	2	0.0085
HLA-A	novel	AFR	16	1	0.0043
HLA-A	novel	AFR	18	1	0.0043
HLA-A	novel	AFR	23	1	0.0043
HLA-A	novel	AFR	26	1	0.0043
HLA-A	novel	AMR	1	142	0.8304
HLA-A	novel	AMR	2	5	0.0292
HLA-A	novel	AMR	3	5	0.0292
HLA-A	novel	AMR	4	3	0.0175
HLA-A	novel	AMR	5	8	0.0468
HLA-A	novel	AMR	6	1	0.0058
HLA-A	novel	AMR	7	1	0.0058
HLA-A	novel	AMR	8	1	0.0058
HLA-A	novel	AMR	9	1	0.0058
HLA-A	novel	AMR	10	1	0.0058
HLA-A	novel	AMR	11	1	0.0058
HLA-A	novel	AMR	12	1	0.0058
HLA-A	novel	AMR	25	1	0.0058
HLA-A	novel	EAS	1	95	0.8796
HLA-A	novel	EAS	2	4	0.037
HLA-A	novel	EAS	3	1	0.0093
HLA-A	novel	EAS	4	2	0.0185
HLA-A	novel	EAS	6	1	0.0093
HLA-A	novel	EAS	7	1	0.0093
HLA-A	novel	EAS	9	1	0.0093
HLA-A	novel	EAS	10	1	0.0093
HLA-A	novel	EAS	11	1	0.0093
HLA-A	novel	EAS	14	1	0.0093
HLA-A	novel	EUR	1	188	0.8868
HLA-A	novel	EUR	2	7	0.033
HLA-A	novel	EUR	3	6	0.0283
HLA-A	novel	EUR	4	1	0.0047
HLA-A	novel	EUR	6	1	0.0047
HLA-A	novel	EUR	7	2	0.0094
HLA-A	novel	EUR	8	1	0.0047
HLA-A	novel	EUR	11	1	0.0047
HLA-A	novel	EUR	12	1	0.0047
HLA-A	novel	EUR	13	1	0.0047
HLA-A	novel	EUR	24	1	0.0047
HLA-A	novel	EUR	30	1	0.0047
HLA-A	novel	EUR	33	1	0.0047
HLA-A	novel	MID	1	34	0.85
HLA-A	novel	MID	2	4	0.1
HLA-A	novel	MID	3	1	0.025
HLA-A	novel	MID	4	1	0.025
HLA-A	novel	SAS	1	63	0.8077
HLA-A	novel	SAS	2	5	0.0641
HLA-A	novel	SAS	3	3	0.0385
